LONs;LATs;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-14.37972222;14.52972222;0.050052469;55.28158619;19.22082207;25.47218823;1.579672473;0.10736381;0.626809238;3.366639539;6.189111578;26;5;0.159248998;0.257889544;0.408052789;0.43
-14.41972222;14.41972222;0.033811728;58.68071307;17.70401266;23.63311199;1.585903129;0.056278936;0.282049641;3.890416393;5.94007083;27;5;0.144483592;0.235376163;0.393608372;0.43
-14.60972222;14.39972222;0.035216049;56.02407787;16.72055109;27.26597263;1.585752709;0.070526076;0.616245979;3.26521287;6.098775301;28;5;0.169580382;0.266114392;0.407298249;0.43
-14.31972222;14.48972222;0.049018519;59.92702328;14.8264223;25.2320474;1.587550799;0.075715678;0.371661635;3.859063179;6.195137325;29;5;0.154914596;0.243637848;0.395838851;0.43
-12.23972222;14.46972222;0.039388889;35.87934731;31.9463975;32.14931007;1.569527674;0.057152673;0.309921438;3.68380062;6.7494833;30;5;0.195148398;0.321112758;0.426758654;0.23
-15.83972222;13.95972222;0.02325;79.63564647;5.797358867;14.56615634;1.583121871;0.079394408;0.373280678;3.625024116;5.749618527;1;6;0.089332253;0.144086081;0.39383208;2.59
-15.83972222;13.95972222;0.02325;79.63564647;5.797358867;14.56615634;1.583121871;0.079394408;0.373280678;3.625024116;5.749618527;2;6;0.089332253;0.144086081;0.39383208;2.59
-15.78972222;13.75972222;0.01457716;72.31790068;9.913699604;17.76643944;1.50844916;0.059569539;0.841245569;3.219999761;5.888276692;37;6;0.116201332;0.187186432;0.406588885;2.59
-15.87972222;13.77972222;0.040842593;78.41589046;5.157786516;16.43529176;1.630985027;0.14443813;0.318613009;2.787504492;5.523914698;43;6;0.099984627;0.156051129;0.389336483;2.59
-15.44972222;13.92972222;0.009055556;50.36217736;23.47808627;26.15686582;1.553015369;0.120330696;0.547367788;4.075057526;6.331837635;38;7;0.162483171;0.269163665;0.410706502;0.43
-14.85972222;14.19972222;0.050691358;61.85074183;17.10341435;21.03312588;1.581550909;0.106407563;0.748490494;3.508022615;6.203127409;40;7;0.134605629;0.223828224;0.407076867;0.43
-15.17972222;14.24972222;0.022271605;62.68747098;15.36090681;21.96182739;1.582792203;0.086445325;0.713963533;2.961902639;6.02887751;41;7;0.139579495;0.226569018;0.404774004;0.43
-16.29972222;13.89972222;0.019984568;74.39295045;5.967491986;19.62075139;1.554041039;0.057164333;0.407584462;2.994351054;5.318751839;39;8;0.120961114;0.184455288;0.389501203;0.43
-16.45984886;13.8395915;0.0040625;52.75828777;14.36641842;21.57392137;0.789457259;0.134126559;4.453572264;10.05127015;5.233489917;42;8;0.180442489;0.318015992;0.557346538;0.43
-16.57987628;14.07867647;0.001882353;53.72626971;53.72626971;21.23359844;1.14322488;0.173274656;4.935329367;16.73438151;4.911563012;44;8;0.184715207;0.325589845;0.575856279;0.43
