LON,LAT,ELEV,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,No.DB1,Region,SLLL,SDUL,SSAT,SSKS
-16.7275480109739,12.3597736625514,0.0186358024691358,17.9351194784503,9.71703933578673,10.2891684576,0.442194266984648,0.101070782724499,1.37039016232027,3.46882754840668,2.02126801717962,1,1,0.0839247043324253,0.293600567615622,0.471147979326787,0.68
-16.7296082621083,12.4387630579297,0.00441025641025641,40.3282590938622,18.3236399633889,23.350320355987,0.756313461550866,0.193771194765505,3.78159561794147,16.26793660848,4.21337072881913,2,1,0.178175308026661,0.330723951241808,0.551419778079921,1.32
-16.7298280922432,12.5196289308176,0.00139245283018868,13.7753068968688,5.91777987232228,7.31684942132865,0.245452970222297,0.056974152826974,1.31663424198419,4.2879040309613,1.41273387766742,3,1,0.0677865461801289,0.295681372342165,0.468020695004893,0.68
-16.7291210613599,12.6099067164179,0.00438059701492538,39.6472887412984,14.7993813305672,23.0515659386736,0.68989621247092,0.157659433514061,3.9325438217128,11.8478267182448,4.32616648258598,4,1,0.177999078680393,0.33376719480216,0.560343554635544,1.32
-16.7297222222222,12.6897222222222,0.00446296296296297,51.3039189834363,19.1992440163403,29.397902482745,0.905034947378264,0.19450422708008,5.76912525260418,18.8787748711571,5.81255906672047,5,1,0.229864898402676,0.365219357829908,0.563024291537148,0.43
-16.7297222222222,12.7797222222222,0.00237962962962963,49.6877682171174,19.0671236493476,28.5989717943717,0.859286446216669,0.200285372883504,7.02031047904507,20.9955696327408,5.70335074415391,6,1,0.237150139301736,0.38602628911074,0.612941880527049,0.43
-16.7297222222222,12.8597222222222,0.00375925925925926,51.9985912918196,17.3920299001883,26.7413476496054,0.835600495378334,0.204250251193485,6.53906538170673,19.9891148017511,5.78140399703007,7,1,0.226048237834156,0.372506197667497,0.603922887546616,0.43
-16.7297222222222,12.9497222222222,0.0114537037037037,56.2085808989619,17.9164338737916,25.8876486727927,1.28809072907515,0.187088116641156,4.42184728760377,12.473521001128,5.71366214196515,8,1,0.202174778545215,0.325999125002105,0.52698080156078,0.43
-16.7297222222222,13.0297222222222,0.00895061728395062,59.6217162950005,16.3336833357476,24.2117557674911,1.24528975666825,0.178510282081205,3.41257802509909,10.0905156683249,5.71137389864631,9,1,0.183671263914039,0.295430058978317,0.493346664641631,0.43
-16.6397222222222,12.4397222222222,0.00934876543209877,42.7416256118417,28.271818527947,29.0639291107579,0.995667797851511,0.214622531488859,4.51234055309375,14.6446523907791,5.2874589721513,10,1,0.213198372143372,0.354527494913044,0.550563833004604,0.23
-16.6397222222222,12.5197222222222,0.00830864197530864,48.3515257993502,23.7491175442679,27.9022334754396,1.0310678862805,0.218199081451917,3.88446005866626,15.289530813965,5.38347083326249,11,1,0.203962914141319,0.334142036050042,0.520372416591001,0.43
-16.6397222222222,12.6097222222222,0,0,0,0,0,0,0,0,0,12,1,0.01534,0.286875483,0.350483483,0.68
-16.6394051627385,12.6898129442574,0.0014983164983165,1.63412102213721,1.02935190936148,1.00816477146854,0.0338162888187272,0.00889351273545239,0.239218078474435,1.07926562605871,0.187460933411294,13,1,0.0232940070806565,0.290210741796493,0.374496997668792,0.68
-16.63978125,12.7797708333333,0.00226875,47.5160468299032,20.5124772587169,25.4880502509059,0.88070107261228,0.194522313634604,6.53410017613759,31.2522038196809,5.19689338250661,14,1,0.218091772137967,0.37544749463187,0.628251768132577,0.43
-16.639593220339,12.8598097928437,0.00260677966101695,33.5756971924387,13.3304655538229,15.6007061766601,0.556703638657202,0.143222374744667,3.78994332950348,10.2858892802621,3.21215677471352,15,1,0.138818336256037,0.323657395233826,0.591281106957682,0.68
-16.6397222222222,12.9497222222222,0.00211111111111111,0,0,0,0,0,0,0,0,16,1,0.01534,0.286875483,0.350483483,0.68
-16.6397222222222,13.0297222222222,0.0160833333333333,64.5626203092194,14.9950052062101,20.4516821119919,1.37412823973977,0.207751653501896,0.911698606755509,8.13809425018298,5.51549378532191,17,1,0.133199033262391,0.21866672775413,0.410965247939745,0.43
-16.6397222222222,13.1197222222222,0.023462962962963,57.0570775237582,19.6055444457013,23.331304085728,1.38872058731917,0.216489681475762,0.765194760733016,8.77469883868632,5.60069313993595,18,1,0.148311473099868,0.245643349442387,0.410888816635122,0.43
-16.5597222222222,12.4397222222222,0.0178024691358025,43.0655503223766,27.6600658638497,29.2667594242343,1.128675612219,0.220233570392961,1.45511151167718,10.2291594286832,5.04620383009662,19,1,0.188218343343651,0.310590525287214,0.450134097075346,0.23
-16.5597222222222,12.5197222222222,0.0202530864197531,42.6574910653956,28.4833723546159,28.8597265280126,1.09255240803003,0.24335857738026,0.979915133619434,10.294800450957,4.84600439454325,20,1,0.181853641716587,0.302708577224005,0.43538528411468,0.23
-16.5597222222222,12.6097222222222,0.00443827160493827,51.5816191764489,24.4504612470266,23.9608346028367,1.02561099290712,0.194776967409651,3.02335418734248,14.6608346213822,5.22546649518054,21,1,0.176226695255055,0.300134714902702,0.496686011587292,0.43
-16.5594126984127,12.6900456349206,0.00158571428571429,4.99951170193167,2.53090098278691,2.88758994167651,0.0932589056479205,0.0234355257745195,0.80234006425925,3.1405691879423,0.57604252286906,22,1,0.0393574375648696,0.298405907577738,0.426007327757459,0.68
-16.5592988505747,12.779653256705,0.00262413793103448,42.9422534751561,23.6427142110452,21.5696106890904,0.796337389535904,0.201840247353575,6.46799792036286,24.5744293082175,4.71538085518979,23,1,0.198284570832634,0.374918316840624,0.669410819963149,1.32
