LON,LAT,ELEV,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS
-15.5897222222222,12.8297222222222,0.0444969135802469,0.544406158071471,0.223012321817512,0.221431938040414,1.44140361469605,0.117564008774828,1.1173789050128,9.73523098733533,5.43686695734221,0.145527252145697,0.251113939630079,0.426219815076197,0.43
-15.5897222222222,12.8297222222222,0.0444969135802469,0.544406158071471,0.223012321817512,0.221431938040414,1.44140361469605,0.117564008774828,1.1173789050128,9.73523098733533,5.43686695734221,0.145527252145697,0.251113939630079,0.426219815076197,0.43
-15.9697222222222,12.7997222222222,0.0157932098765432,0.506442910792071,0.283529424119443,0.210026372697457,1.43271755471285,0.106321104642223,1.41846783242918,9.84010793565756,5.31987496733243,0.142468614219108,0.258799067716008,0.442465543774908,1.32
-15.8497222222222,12.6997222222222,0.0113981481481482,0.547782372233231,0.263541266124343,0.188629842672402,1.23597506983363,0.105238722086065,1.8086430434837,9.79046524281207,5.4365890632095,0.135381342563828,0.248612152237721,0.455855652837364,2.59
-15.9297222222222,12.6297222222222,0.00730864197530865,0.349447057398632,0.197134132901585,0.161869986229015,0.913457426889702,0.0607715707974265,1.06158700113799,8.35627407308477,3.69749931991738,0.111777112275954,0.26467825907525,0.442155000359422,1.32
-15.8197222222222,12.6997222222222,0.0171882716049383,0.590495138286294,0.237782831481513,0.171719247344007,1.3638647323666,0.110975265214501,1.53907667847499,10.6014397661402,5.56600052475729,0.122659764237133,0.226254935322706,0.442985888989068,2.59
-15.7997222222222,12.7297222222222,0.0159104938271605,0.551345606334002,0.259095914597696,0.189592345326568,1.43159751329479,0.117782752226101,1.81559919978843,11.5455315584345,5.47781457379567,0.13601608574343,0.248480230018989,0.455580523331018,2.59
-15.8097222222222,12.7297222222222,0.0146851851851852,0.527816072252331,0.27368136503956,0.198507735737586,1.42471577691623,0.133092051430754,2.42749094441522,12.2332459926699,5.41707000009427,0.148065978455896,0.269700418115834,0.481870872757555,0.43
-14.9497222222222,12.8597222222222,0.0171327160493827,0.531603070520529,0.24067150827144,0.227556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-14.9497222222222,12.8597222222222,0.0171327160493827,0.531603070520529,0.24067150827144,0.227556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-14.9497222222222,12.8597222222222,0.0171327160493827,0.531603070520529,0.24067150827144,0.227556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,0.549126166156396,0.194604427675681,0.256144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,0.549126166156396,0.194604427675681,0.256144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-14.2397222222222,13.8597222222222,0.0451728395061728,0.596060120070693,0.214586288953245,0.189325508776615,1.58944676624728,0.0702187781494127,0.733809289522418,6.65451657636269,5.9119961599185,0.122269599070714,0.216907262495579,0.409220239168642,2.59
-13.9697222222222,14.1297222222222,0.0316944444444444,0.591476967546715,0.18502124201569,0.223675806334004,1.59055943796403,0.0483980927844688,0.652737224227648,5.23230539292765,5.9973450166361,0.141336154075768,0.234409321432311,0.405453331259059,0.43
-14.3997222222222,13.8497222222222,0.0518487654320988,0.678261393082799,0.145605905540806,0.176030356625227,1.5946604661274,0.073027615985941,0.631638173195937,5.06341032023423,6.06719597049453,0.112563842163647,0.19084196086242,0.401811646143869,2.59
-14.2397222222222,13.8597222222222,0.0451728395061728,0.596060120070693,0.214586288953245,0.189325508776615,1.58944676624728,0.0702187781494127,0.733809289522418,6.65451657636269,5.9119961599185,0.122269599070714,0.216907262495579,0.409220239168642,2.59
-13.9597222222222,13.7697222222222,0.0185030864197531,0.56486116927197,0.200891524334888,0.234264472718502,1.58369547037817,0.0821301346931511,0.727244983983349,7.21460961961181,5.92882782175777,0.148442891086434,0.246532455734543,0.410125036609464,0.43
-14.2497222222222,14.0697222222222,0.0363364197530864,0.687755527696547,0.158614960959458,0.153588225128539,1.59773699717025,0.0470442367334605,0.647269422115197,5.61854328283958,6.22338991694895,0.0994259447961391,0.177062587411776,0.404344943504773,2.59
-14.5597222222222,13.9797222222222,0.0265802469135802,0.485058472131237,0.114646298045382,0.110356907932496,1.14282720898154,0.0472478772471305,0.428128328467311,3.05713578752235,4.5001032473148,0.0733548305587542,0.196326944540217,0.40088354625893,1.32
-14.5797222222222,13.9997368421053,0.0187894736842105,0.661863329259313,0.153094655541205,0.184938886624549,1.59467611076349,0.0752561557158432,0.813508830680607,5.74347741210212,6.16726893174576,0.120409106068232,0.202863558168865,0.408289505112271,2.59
-14.5697222222222,14.0197222222222,0.0244135802469136,0.686130881603078,0.140535025345471,0.173235917939989,1.60514172996795,0.0663779050344852,0.710708018678538,5.48633955555668,6.19770591985356,0.111962563695635,0.189407773067222,0.404534798218632,2.59
-14.5796249561865,14.07963021381,0.0467444794952681,0.706876199583703,0.137597111846892,0.155584170428187,1.59700203391308,0.0535712465993336,0.631274220625359,5.0520567325922,6.29294567762317,0.100200747790579,0.173788226528191,0.402915877252491,2.59
