No.DB1;LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;Region;SLLL;SDUL;SSAT;clust4Org;clust3Org;clust3
127;-15.55972222;12.94972222;0.033469136;0.556425806;0.199868435;0.243717839;1.454949793;0.129822484;1.678932127;8.831598471;5.212990349;2;0.164416918;0.270205875;0.442428473;4;3;2
128;-15.55972222;13.02972222;0.01187037;0.45368185;0.287488319;0.258951005;1.463546852;0.116979927;2.192906045;7.901762095;5.175992574;2;0.176876904;0.303688835;0.474007176;4;3;2
129;-15.55972222;13.11972222;0.032851852;0.583966357;0.192754291;0.223202042;1.49071848;0.092429819;1.6848196;8.61425378;5.291149836;2;0.153265848;0.25539081;0.441725467;4;3;2
130;-15.55972222;13.19972222;0.034851852;0.593483383;0.207727713;0.198786708;1.554948475;0.08976744;0.82445973;7.578591181;5.271530132;2;0.128929314;0.224197594;0.412302244;1;1;1
131;-15.55972222;13.28972222;0.036101852;0.586684023;0.196945928;0.21644334;1.528107564;0.07861167;1.490307812;9.013360585;5.373203255;2;0.14717996;0.247757373;0.435467877;4;3;1
132;-15.47989358;12.51994769;0.048288961;0.551403212;0.223679779;0.224812475;1.401859514;0.122612306;1.725922348;14.654225;5.405990673;2;0.154419449;0.262990447;0.447126302;4;3;2
133;-15.47972222;12.60972222;0.041978395;0.540401419;0.250384476;0.209371354;1.399461342;0.129164015;1.631994606;10.34879011;5.490768713;2;0.144701038;0.256022018;0.446934881;4;3;2
134;-15.47972222;12.68972222;0.011746914;0.458540846;0.294197278;0.247103495;1.24627402;0.095716004;1.613246234;12.00959555;5.403463053;2;0.164835264;0.288117687;0.453398767;4;3;2
135;-15.47973501;12.77944993;0.017177632;0.51062163;0.252227843;0.202868815;1.348440034;0.099113293;1.45455497;9.460019391;5.369229384;2;0.138900777;0.255376711;0.444009213;4;3;2
136;-15.47972222;12.85972222;0.022243827;0.499507511;0.260304074;0.239950081;1.46654463;0.129463006;2.25170616;8.678188247;5.496426519;2;0.167925741;0.288928116;0.471472972;4;3;2
138;-15.47972222;13.02972222;0.025345679;0.521546489;0.243891759;0.234578141;1.48227094;0.14153091;2.054939711;8.333425879;5.297318321;2;0.163183507;0.279091932;0.461777119;4;3;2
139;-15.47972222;13.11972222;0.021509259;0.60916532;0.185676335;0.205100199;1.50228861;0.126951603;2.20602314;8.703593703;5.371492054;2;0.149821187;0.252564505;0.460299624;4;3;1
140;-15.47972222;13.19972222;0.04717284;0.535711731;0.21202655;0.252391332;1.508737238;0.096544101;1.993984043;9.930617898;5.414003949;2;0.172390003;0.283532043;0.454778248;4;3;2
141;-15.47972222;13.28972222;0.030941358;0.574999548;0.212135314;0.212738326;1.533562109;0.089204202;1.55513435;8.264297024;5.305567354;2;0.145828104;0.249444818;0.439599023;4;3;1
142;-15.47972222;13.36972222;0.049435185;0.598556089;0.179689657;0.221601246;1.549519161;0.104510479;1.665466783;10.00417923;5.552223597;2;0.152233917;0.251526388;0.439470841;4;3;1
143;-15.38972222;12.60972222;0.036132716;0.601032897;0.208780984;0.190276626;1.444546209;0.114605451;1.204564645;10.34177252;5.598563242;2;0.128825878;0.226096768;0.42656463;4;3;1
144;-15.38972222;12.68972222;0.036685185;0.524925114;0.233401148;0.241620184;1.459668723;0.136529592;1.397227414;10.90714545;5.553925592;2;0.159976026;0.269783204;0.437173317;4;3;2
145;-15.38972222;12.77972222;0.026858025;0.493762497;0.266492408;0.239800788;1.473311314;0.13162354;1.610118999;8.923156519;5.546171029;2;0.161037013;0.278405088;0.448970831;4;3;2
146;-15.38972222;12.85972222;0.037929012;0.48939334;0.22513119;0.285457178;1.463440623;0.141649903;2.174933913;8.158852639;5.565079471;2;0.191457218;0.308780744;0.463462308;4;3;2
147;-15.38972222;12.94972222;0.043515432;0.522842368;0.221670006;0.255344223;1.449133752;0.148046926;2.01807448;8.738881275;5.33408686;2;0.174097817;0.287486633;0.457159017;4;3;2
149;-15.38972222;13.11972222;0.034391975;0.589944138;0.202176781;0.20787781;1.529152642;0.124617021;2.158377686;8.355989716;5.462947126;2;0.150555027;0.256472668;0.460594546;4;3;1
150;-15.38972222;13.19972222;0.048385802;0.616027795;0.175574465;0.20828152;1.505740112;0.082216908;1.089745871;8.386072243;5.445263937;2;0.137682134;0.23001611;0.419256569;1;1;1
151;-15.38972222;13.28972222;0.049771605;0.630815922;0.196222233;0.173017183;1.541060346;0.064274342;0.82384697;6.925201021;5.531906039;2;0.113751342;0.203110934;0.411625758;1;1;1
152;-15.30972222;12.68972222;0.025768519;0.522821517;0.251263274;0.225781973;1.476185532;0.14588707;1.533864534;11.26974353;5.494438344;2;0.152615979;0.265157654;0.443637848;4;3;2
