LON,LAT,ELEV,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,No.DB1,Region,SLLL,SDUL,SSAT,SSKS
-15.5897230822153,12.8297368421053,0.0444953560371517,54.6124777890438,22.3713024155761,22.2128217747249,1.44594186645437,0.117929778605272,1.12088067932548,9.76635503663925,5.45404643171502,7,2,0.145964884231376,0.251195212438493,0.426132298130032,0.43
-15.5897230822153,12.8297368421053,0.0444953560371517,54.6124777890438,22.3713024155761,22.2128217747249,1.44594186645437,0.117929778605272,1.12088067932548,9.76635503663925,5.45404643171502,8,2,0.145964884231376,0.251195212438493,0.426132298130032,0.43
-15.5897230822153,12.8297368421053,0.0444953560371517,54.6124777890438,22.3713024155761,22.2128217747249,1.44594186645437,0.117929778605272,1.12088067932548,9.76635503663925,5.45404643171502,9,2,0.145964884231376,0.251195212438493,0.426132298130032,0.43
-15.9697222222222,12.7997222222222,0.0157932098765432,50.6442910792071,28.3529424119443,21.0026372697457,1.43271755471285,0.106321104642223,1.41846783242918,9.84010793565756,5.31987496733243,31,2,0.142468614219108,0.258799067716008,0.442465543774908,1.32
-15.8497222222222,12.6997222222222,0.0113981481481482,54.7782372233231,26.3541266124343,18.8629842672402,1.23597506983363,0.105238722086065,1.8086430434837,9.79046524281207,5.4365890632095,32,2,0.135381342563828,0.248612152237721,0.455855652837364,2.59
-15.9291160593792,12.6306747638327,0.00899190283400811,46.1048509679002,26.0117824256399,21.3599960264541,1.20486421688501,0.0802136748869273,1.40162897562314,11.0237994074223,4.87840741792561,33,2,0.144140201924191,0.269071410281758,0.446729419574389,1.32
-15.8197222222222,12.6997222222222,0.0171882716049383,59.0495138286294,23.7782831481513,17.1719247344007,1.3638647323666,0.110975265214501,1.53907667847499,10.6014397661402,5.56600052475729,34,2,0.122659764237133,0.226254935322706,0.442985888989068,2.59
-15.7997222222222,12.7297222222222,0.0159104938271605,55.1345606334002,25.9095914597696,18.9592345326568,1.43159751329479,0.117782752226101,1.81559919978843,11.5455315584345,5.47781457379567,35,2,0.13601608574343,0.248480230018989,0.455580523331018,2.59
-14.9497222222222,12.8597222222222,0.0171327160493827,53.1603070520529,24.067150827144,22.7556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,3,3,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-14.9497222222222,12.8597222222222,0.0171327160493827,53.1603070520529,24.067150827144,22.7556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,4,3,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-14.9497222222222,12.8597222222222,0.0171327160493827,53.1603070520529,24.067150827144,22.7556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,5,3,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-14.9497222222222,12.8597222222222,0.0171327160493827,53.1603070520529,24.067150827144,22.7556332461584,1.48549863524392,0.12969532404783,1.72363128150334,10.1496830458375,5.65613065142787,6,3,0.155771166676032,0.267900737842094,0.449294420095858,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,54.9126166156396,19.4604427675681,25.6144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,10,5,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,54.9126166156396,19.4604427675681,25.6144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,11,5,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,54.9126166156396,19.4604427675681,25.6144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,12,5,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,54.9126166156396,19.4604427675681,25.6144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,13,5,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,54.9126166156396,19.4604427675681,25.6144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,14,5,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-13.9097222222222,13.8297222222222,0.0221512345679012,54.9126166156396,19.4604427675681,25.6144521827713,1.58514950373189,0.0825871274577974,0.765819537750923,8.16754685992651,6.18230475580526,15,5,0.161558246327842,0.261695439349316,0.412852557476331,0.43
-14.2397222222222,13.8597222222222,0.0451728395061728,59.6060120070693,21.4586288953245,18.9325508776615,1.58944676624728,0.0702187781494127,0.733809289522418,6.65451657636269,5.9119961599185,16,5,0.122269599070714,0.216907262495579,0.409220239168642,2.59
