LON;LAT;ELEV/100;SANDu;DILTu;CLAYu;BULKu;COARSEu;Cou;Nu;Phu;-;-;-;SANDm;DILTm;CLAYm;BULKm;COARSEm;Com;Nm;Phm;-;-;-;SANDstd;DILTstd;CLAYstd;BULKstd;COARSEstd;Costd;Nstd;Phstd;-;-;-;SANDmin;DILTmin;CLAYmin;BULKmin;COARSEmin;Comin;Nmin;Phmin;-;-;-;SANDmax;DILTmax;CLAYmax;BULKmax;COARSEmax;Comax;Nmax;Phmax;PointN;Region;SOILTYPE;SLLL;SDUL;SSAT;SSKS
-16.63972222;12.51972222;0.008308642;408.7861702;290.3367895;300.8228347;101.8940375;156.2789434;309.884254;170.7302654;54.95875466;-16.63972222;12.51972222;0.009;405.8809606;290.4652575;301.5260145;100.3069033;156.756371;309.0800662;168.780835;55.11299775;0.002886751;0.002886751;0.003826394;12.4701033;10.44514966;5.178704989;10.4741257;5.968722382;28.577267;9.065350544;1.15988456;-16.64444444;12.515;0.001;386.7449754;271.303566;289.3292955;86.55653141;142.002434;254.1099974;155.8708087;51.77840635;-16.635;12.52444444;0.022;432.7846344;317.0523881;312.4548776;122.4137598;171.0015177;404.7367358;211.7727423;56.41580069;11;1;Clay LOAM;0.205813637;0.339779752;0.505747589;0.23
-16.64373737;12.68811448;0.003030303;126.4683539;105.8718456;98.42454918;29.45847028;47.10058409;128.0315175;79.47162186;18.20429971;-16.64444444;12.68722222;0.003;14.52786072;10.95068789;9.809173686;3.099870382;5.447822072;13.69347176;8.925203986;1.920995487;0.000903021;0.002873152;0.001211529;161.5322348;135.417894;126.1977468;37.64273398;60.01888187;163.7818313;101.5184027;23.27360643;-16.64444444;12.685;0.001;0.003946718;0.003306151;0.003078853;0.000919523;0.001467104;0.003998376;0.002479613;0.000568245;-16.64166667;12.69444444;0.006;433.8959649;361.9713375;337.9734034;100.7751312;160.986456;436.9259978;273.0809901;62.34755974;13;1;Silt LOAM;0.080926055;0.304893297;0.468818865;0.68
-16.63978125;12.77977083;0.00226875;427.9253238;242.2702284;264.9588469;84.91306214;141.3461897;444.9998749;261.7659827;52.92802748;-16.64;12.78;0.002;457.2144298;252.0769823;285.5101626;90.95612254;151.5337542;439.9768774;266.2502736;56.21683563;0.002855646;0.002870711;0.00173737;103.6020184;59.34641241;63.59976834;20.22404827;34.3392375;122.6614636;68.88420757;12.68123313;-16.64444444;12.775;0;13.7300799;9.375864746;8.676647714;2.923998497;4.830954039;14.65177508;9.502995115;1.779825172;-16.635;12.78444444;0.008;506.0860701;330.1356255;307.2575368;102.8007411;177.3857206;646.5888669;354.7412397;62.55335505;14;1;LOAM;0.200489138;0.346957564;0.559540203;1.32
-16.63844703;12.86066925;0.00252093;420.9299314;213.6434108;223.3264523;76.70359426;138.5088979;327.2356398;198.4638776;48.18190279;-16.63777778;12.86111111;0.003;491.9042832;248;259.002537;89.43336429;159.2100668;387.4799239;232.1765639;56.0354229;0.002502161;0.002749334;0.001585058;153.3089597;78.15239744;81.23354373;27.95561372;51.00731473;120.9512726;73.7648473;17.57746769;-16.64444444;12.855;0;2.253466239;1.094930168;1.158544335;0.404351805;0.708751478;1.58107227;0.904118913;0.254423608;-16.635;12.86444444;0.008;574.8673075;286.799317;303.3741942;104.1140348;185.1001217;433.7582139;280.3039133;64.75788879;15;1;LOAM;0.168471478;0.315306587;0.529422676;1.32
-16.63972222;13.02972222;0.016083333;611.1228162;183.4268415;205.1705529;136.1421378;152.1100214;197.8147749;134.9146617;54.31708201;-16.63972222;13.02972222;0.016;608.8678842;185.7641231;207.721509;136.4344565;150.1654683;190.0700171;132.784732;54;0.002886751;0.002886751;0.00271263;12.66232024;10.57104944;7.833244194;2.48168092;14.79141008;29.76210824;9.635808446;0.452935061;-16.64444444;13.025;0.01;583.9774251;164.0580748;185.8151476;130.5216484;122.4888264;149.9496502;122.4129675;53.83911284;-16.635;13.03444444;0.026;637.6558438;200.3607163;221.3816296;141.3230483;177.7451801;303.5149166;163.7763893;55.1989499;17;1;Sandy Clay LOAM;0.147025074;0.247496744;0.451779808;0.43
-16.63972222;13.11972222;0.023462963;528.3064202;262.4142966;209.201859;138.2565225;153.8150188;162.1764722;152.8697078;55.75675922;-16.63972222;13.11972222;0.024;528.2210543;262.2462887;211.3321543;138.6469828;158.4933427;152.5110482;148.6659499;56;0.002886751;0.002886751;0.002974898;7.645044761;8.941377373;6.137753704;1.478125343;18.63922332;31.71680449;14.58430904;0.411706664;-16.64444444;13.115;0.016;506.4526073;245.0373528;193.9767237;134.8196833;121.1646879;113.2567544;135.1427936;54.80649082;-16.635;13.12444444;0.03;544.015685;283.4500741;221.1960837;140.3918301;189.1391348;240.8139179;197.2547526;56.18685343;18;1;Sandy Clay LOAM;0.144429351;0.258091571;0.447996187;0.43
-16.55972222;12.43972222;0.017802469;331.8840352;311.5623063;356.6410081;113.7562018;163.8179869;366.5086239;175.1500255;52.98820457;-16.55972222;12.43972222;0.018;333.3147627;312.6511361;359.7964979;113.9619922;163.3381329;375.5877537;174.6550641;52.9976121;0.002886751;0.002886751;0.004994535;10.12308246;7.022674196;10.6601944;2.128663505;3.529562128;77.23632226;11.82581407;0.677465669;-16.56444444;12.435;0.006;302.4809096;298.0329335;329.5954731;108.2938807;156.0734126;252.9384077;159.5124907;51.76636192;-16.555;12.44444444;0.03;352.8806122;329.9421523;372.7249309;118.2652789;173.962417;555.6666559;255.3381133;56.47960308;19;1;Clay LOAM;0.235160561;0.371598878;0.526679806;0.23
-16.55972222;12.51972222;0.020253086;309.7309311;315.8381271;374.4307154;107.3422772;169.77796;316.7920285;175.4186163;52.34141279;-16.55972222;12.51972222;0.021;298.7081046;316.3867107;388.1062485;106.6960027;167.6823634;301.9882257;174.1997447;52.04887512;0.002886751;0.002886751;0.004722401;25.73172584;5.027449047;27.426858;4.474067013;15.76617916;46.46305723;8.662445971;0.864207025;-16.56444444;12.515;0.006;268.0811029;303.5008679;328.1465589;97.84419897;133.9774047;220.4143254;148.5566899;50.76533348;-16.555;12.52444444;0.036;363.4612962;327.4445952;417.9385243;119.1458825;215.1080184;481.3945996;191.517673;55.32125849;20;1;Clay LOAM;0.240386215;0.374372929;0.515124845;0.23
-16.55972222;12.60972222;0.004438272;485.3014568;247.6445153;267.0293864;102.2157064;122.0994298;298.6430602;166.6697624;55.25497762;-16.55972222;12.60972222;0.004;484.931146;246.8822832;265.0896954;103.0143401;121.6698504;291.5536635;166.7161732;55.32005036;0.002886751;0.002886751;0.001885061;7.428480558;9.015137864;6.787374048;5.131639571;5.837892318;24.39102916;3.066931295;1.243731063;-16.56444444;12.605;0;465.2147271;230.5944522;250.8993261;94.71608069;110.3023255;264.2098195;157.6965427;52.70244882;-16.555;12.61444444;0.012;502.4148386;276.1792991;287.7526165;126.930963;138.3418834;364.9519561;173.8566215;57.35991938;21;1;Sandy Clay LOAM;0.189373513;0.31490918;0.49408382;0.43
-16.56170251;12.68713262;0.003016129;201.096549;130.6267308;138.4861991;41.20016778;70.47109342;311.2411348;110.4542023;26.32400012;-16.56222222;12.68694444;0.003;242.7319837;156.8465638;166.3792639;49.46040291;84.61737145;379.5668676;133.2723245;31.7088149;0.001973491;0.001814047;0.001419905;186.5092155;121.5642807;128.210942;38.21062489;65.14777743;294.5405798;102.5613456;24.43641087;-16.56444444;12.685;0;0.006924191;0.004062824;0.004805831;0.001391162;0.002418724;0.007335216;0.003651799;0.000869476;-16.55555556;12.69055556;0.006;488.2719289;323.5953113;339.7174977;101.3394569;172.7377107;788.8355454;268.3192439;64.48874532;22;1;Silt LOAM;0.120647776;0.335276648;0.580162242;0.68
