LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-16.47972222;12.85972222;0.02129321;0.48663062;0.26369321;0.249773379;1.239749762;0.170248825;2.029993818;12.7071111;5.459125958;33;1;0.170760134;0.291451332;0.464054873;0.43
-16.47972222;12.94972222;0.01562963;0.530391113;0.226900888;0.242589665;1.25472273;0.152431568;3.796967047;13.07102641;5.589198272;34;1;0.186419006;0.313386518;0.520404787;0.43
-16.47972222;13.02972222;0.033512346;0.513535193;0.233675961;0.252776268;1.390469718;0.155510968;2.774511221;15.25210459;5.523776854;35;1;0.18042204;0.301207278;0.48490758;0.43
-16.47972222;13.11972222;0.025089506;0.513720851;0.25682837;0.229414506;1.397210567;0.146052426;2.787753354;12.78081094;5.496067937;36;1;0.168322585;0.29205274;0.491084476;0.43
-16.38972222;12.43972222;0.019246914;0.34528202;0.319881814;0.334716312;1.102889479;0.169485633;3.225075658;18.98260585;5.340420957;37;1;0.222023194;0.359898166;0.516484313;0.23
-16.3897076;12.5197076;0.013619195;0.396054941;0.30111655;0.298428222;1.133598558;0.152405122;3.733185558;15.38499827;5.399102031;38;1;0.209365019;0.349410019;0.529978561;0.23
-16.39185185;12.61046296;0.002958333;0.082646377;0.052698455;0.054412898;0.174396273;0.028811642;0.784534976;5.265880997;1.042606851;39;1;0.052413781;0.294306331;0.42825612;0.68
-16.38972222;12.68972222;0.019700617;0.488666566;0.229602568;0.281683361;1.251533176;0.153235047;3.024362167;15.64125195;5.568767059;40;1;0.197380424;0.320592464;0.490849661;0.43
-16.38972222;12.77972222;0.016027778;0.490505219;0.240970968;0.268624465;1.229231714;0.172718963;2.710730252;14.62241746;5.483710364;41;1;0.187634435;0.310150425;0.483460328;0.43
-16.38972222;12.85972222;0.016731481;0.474254542;0.267865371;0.241793959;1.193716168;0.156948063;2.479782745;14.33286055;5.355374557;42;1;0.170913101;0.298183389;0.483764414;1.32
-16.38972222;12.94972222;0.024990741;0.53373549;0.255904079;0.210168874;1.30611457;0.178587573;2.616843926;13.69804018;5.598102814;43;1;0.156575055;0.277286316;0.485855364;0.43
-16.38972222;13.02972222;0.023589506;0.575162754;0.234622715;0.190242841;1.36365315;0.160889296;2.512046796;11.6739874;5.511625028;44;1;0.145241916;0.258826904;0.480292603;2.59
-16.38972222;13.11972222;0.02842284;0.456246126;0.282130924;0.261465993;1.414488889;0.14617288;2.077899324;14.26547996;5.381376217;45;1;0.177157034;0.302405;0.469168881;1.32
