LONs;LATs;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-14.37972222;14.52972222;0.050052469;61.29418289;19.35121531;19.35858621;1.589493526;0.06393543;0.588932474;4.66626283;6.412265127;26;5;0.12280479;0.212757132;0.402593776;2.59
-14.41972222;14.41972222;0.033811728;63.35233765;19.23023796;17.42925003;1.600495064;0.03710577;0.592623368;5.345477715;6.167209498;27;5;0.111350161;0.198300603;0.402610088;2.59
-14.60972222;14.39972222;0.035216049;62.93452718;18.09831121;18.98093812;1.595028607;0.038915556;0.654565185;4.364664304;6.203450896;28;5;0.121332255;0.208745598;0.404182407;2.59
-14.31972222;14.48972222;0.049018519;64.77961059;16.23481914;18.98564958;1.579058963;0.054960071;0.554407654;5.309347866;6.406946052;29;5;0.119915349;0.202967109;0.39954978;2.59
-12.23972222;14.46972222;0.039388889;30.27983473;28.55710963;41.15615525;1.596643257;0.039047491;0.522214826;4.910154298;6.659226067;30;5;0.247422266;0.373151391;0.456920872;0.06
-15.83972222;13.95972222;0.02325;87.88840282;5.26876399;6.843764538;1.686861296;0.056074148;0.627728023;6.626835769;5.831110677;1;6;0.045650566;0.090840565;0.422911935;6.11
-15.83972222;13.95972222;0.02325;87.88840282;5.26876399;6.843764538;1.686861296;0.056074148;0.627728023;6.626835769;5.831110677;2;6;0.045650566;0.090840565;0.422911935;6.11
-15.78972222;13.75972222;0.01457716;79.21998146;9.392356201;11.38417575;1.612401042;0.049713511;0.657200751;5.579815048;5.86754003;37;6;0.074788275;0.133861743;0.409722326;2.59
-15.87972222;13.77972222;0.040842593;86.99885001;5.156352012;7.844293138;1.712465992;0.076692166;0.554915569;5.524802772;5.518129673;43;6;0.050529343;0.096206679;0.416857439;6.11
-15.44972222;13.92972222;0.009055556;54.49637922;26.06352396;19.43895372;1.635984765;0.080448213;0.707426725;6.812270196;6.268345807;38;7;0.125160119;0.229491851;0.411511195;2.59
-14.85972222;14.19972222;0.050691358;66.41063193;17.75473483;15.83272853;1.614084828;0.069448647;0.592602982;5.295239484;6.248801939;40;7;0.101659714;0.183374398;0.402576367;2.59
-15.17972222;14.24972222;0.022271605;69.75508036;16.80609979;13.4304303;1.610262215;0.041652513;0.567009579;4.246511055;6.244795445;41;7;0.086687735;0.162880772;0.403323084;2.59
-16.29972222;13.89972222;0.019984568;81.05377915;7.337336788;11.59744117;1.646381348;0.041658879;0.73080334;5.676154544;5.390275658;39;8;0.077082035;0.132901664;0.411965557;2.59
-16.45984886;13.8395915;0.0040625;53.88301338;15.96272525;18.81779747;0.785183573;0.110550562;3.158940546;12.40034519;5.178677547;42;8;0.151629889;0.278932795;0.513110468;2.59
-16.57987628;14.07867647;0.001882353;52.7538825;52.7538825;20.86698418;1.152349908;0.123712258;3.328700488;15.41400329;5.230298168;44;8;0.163961261;0.292338317;0.515487753;0.43
