Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,7.6,12,12.9,22.9,45.8,0.15,35.9,25.8,30.6,32.3,18.7,30.6,32.3,297,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,3.3,12,12.9,24.1,48.2,0.1,34.8,24.4,29.4,31.1,17.9,29.4,31.1,320,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,2.7,12,12.9,9.8,19.6,0.63,36.3,24.4,30.1,32,16.4,30.1,32,222,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,0.9,12,12.9,24.6,49.2,0.08,36.5,25.3,30.7,32.5,16.8,30.7,32.5,169,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,1.1,12,12.9,24.2,48.4,0.1,36.6,25.1,30.6,32.5,17.7,30.6,32.5,279,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,1.6,12,12.9,20.2,40.4,0.24,32.5,25.6,28.9,30,19.6,28.9,30,353,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,0.7,12,12.9,24.2,48.4,0.09,36.9,24.8,30.6,32.6,16.2,30.6,32.6,296,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,0.4,12,12.9,15.5,31,0.42,35.2,25.1,29.9,31.6,17.5,29.9,31.6,291,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0.4,12,12.9,24.5,49,0.08,39.7,24.8,31.9,34.3,15.2,31.9,34.3,135,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,3.9,12,12.9,23.9,47.8,0.1,40.1,25.4,32.4,34.8,15.8,32.4,34.8,200,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,6,12,12.9,19.2,38.4,0.28,32,25.8,28.8,29.8,21,28.8,29.8,383,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,5.8,12,12.9,22.5,45,0.15,35.9,24.4,29.9,31.8,19,29.9,31.8,299,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,3.1,12,12.9,20.2,40.4,0.24,33.3,24.9,28.9,30.3,19.3,28.9,30.3,246,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,1.6,12,12.9,20.8,41.6,0.22,35.4,24.1,29.5,31.3,17.3,29.5,31.3,169,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,12,12,12.9,24.2,48.4,0.09,35.9,25.5,30.5,32.2,18.6,30.5,32.2,122,393.8,0,0,NA,2012-06-15
16,CRDA1201,RICER048,1,1,2012-06-16,16,9.1,12,12.9,23,46,0.14,33.8,24.5,28.9,30.5,19.3,28.9,30.5,301,393.8,0,0,NA,2012-06-16
17,CRDA1201,RICER048,1,1,2012-06-17,17,11.5,12,12.9,21.7,43.4,0.18,31,24.8,27.8,28.8,21.2,27.8,28.8,358,393.8,0,0,NA,2012-06-17
18,CRDA1201,RICER048,1,1,2012-06-18,18,8.7,12,12.9,15.1,30.2,0.43,30.6,24.2,27.3,28.3,20.7,27.3,28.3,293,393.8,0,0,NA,2012-06-18
19,CRDA1201,RICER048,1,1,2012-06-19,19,10.2,12,12.9,20.8,41.6,0.22,31.3,23.8,27.4,28.6,19.8,27.4,28.6,171,393.8,0,0,NA,2012-06-19
20,CRDA1201,RICER048,1,1,2012-06-20,20,7,12,12.9,22.1,44.2,0.17,32.1,24.3,28,29.3,20,28,29.3,143,393.8,0,0,NA,2012-06-20
21,CRDA1201,RICER048,1,1,2012-06-21,21,6.7,12,12.9,22.6,45.2,0.15,33.5,23.8,28.4,30,18.9,28.4,30,182,393.8,0,0,NA,2012-06-21
