Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,21.6,32.8,23.7,NA,6.311,0,6.311,6.311,0,6.311,0,0,6.31,6.31,0,6.31,0,0,NA,NA,NA,1.677,1.156,1.043,0.725,0.571,0.62,0.521,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.6,33.2,23.3,NA,7.253,0,7.253,7.072,0,7.072,0,0,13.56,13.38,0,13.38,0,0,NA,NA,NA,1.908,1.295,1.161,0.807,0.634,0.688,0.578,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,18.4,31.6,23.8,NA,5.32,0,5.32,5.32,0,5.32,0,0,18.88,18.7,0,18.7,0,0,NA,NA,NA,1.378,0.978,0.888,0.621,0.485,0.527,0.442,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,15.8,31.6,23,NA,4.546,0,4.546,4.546,0,4.546,0,0,23.43,23.25,0,23.25,0,0,NA,NA,NA,1.17,0.836,0.765,0.532,0.414,0.451,0.379,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,23.2,36.1,23.4,NA,7.347,0,7.347,6.689,0,6.689,0,0,30.78,29.94,0,29.94,0,0,NA,NA,NA,1.685,1.237,1.138,0.785,0.613,0.669,0.562,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,23.4,34.7,24.8,NA,6.992,0,6.992,6.68,0,6.68,0,0,37.77,36.62,0,36.62,0,0,NA,NA,NA,1.736,1.232,1.125,0.769,0.603,0.66,0.556,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,19.9,34.7,24.4,NA,5.976,0,5.976,5.976,0,5.976,0,0,43.75,42.59,0,42.59,0,0,NA,NA,NA,1.653,1.127,0.987,0.666,0.51,0.56,0.473,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,15,30.9,23.9,NA,4.336,0,4.336,4.336,0,4.336,0,0,48.08,46.93,0,46.93,0,0,NA,NA,NA,1.215,0.831,0.718,0.487,0.361,0.392,0.332,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,22.9,37.5,23.7,NA,7.888,0,7.888,6.912,0,6.912,0,0,55.97,53.84,0,53.84,0,0,NA,NA,NA,1.821,1.312,1.181,0.813,0.606,0.638,0.541,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,23.3,34,24.5,NA,6.916,0,6.916,6.609,0,6.609,0,0,62.89,60.45,0,60.45,0,0,NA,NA,NA,1.633,1.248,1.154,0.803,0.607,0.63,0.535,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,23.6,33.1,24.1,NA,6.9,0,6.9,1.308,0,1.308,0,0,69.79,61.76,0,61.76,0,0,NA,NA,NA,1.087,0.139,0.047,0.017,0.008,0.006,0.004,0,0
