Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,23.1,36,24.4,NA,7.323,0,7.323,7.323,0,7.323,0,0,7.32,7.32,0,7.32,0,0,NA,NA,NA,1.991,1.395,1.181,0.823,0.649,0.7,0.584,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,19.3,37.1,24.9,NA,6.527,0,6.527,6.527,0,6.527,0,0,13.85,13.85,0,13.85,0,0,NA,NA,NA,1.76,1.244,1.056,0.737,0.58,0.627,0.523,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,23.8,38.3,22.7,NA,8.382,0,8.382,1.488,0,1.488,0,0,22.23,15.34,0,15.34,0,0,NA,NA,NA,1.241,0.16,0.049,0.018,0.009,0.007,0.004,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,20.8,36.8,23.6,NA,6.805,0,6.805,1.403,0,1.403,0,0,29.04,16.74,0,16.74,0,0,NA,NA,NA,1.157,0.159,0.049,0.018,0.009,0.007,0.004,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,20.7,37.7,23.8,NA,7.079,0,7.079,1.34,0,1.34,0,0,36.12,18.08,0,18.08,0,0,NA,NA,NA,1.095,0.158,0.049,0.018,0.009,0.007,0.004,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,20.1,36.1,24.5,NA,6.345,0,6.345,1.335,0,1.335,0,0,42.46,19.42,0,19.42,0,0,NA,NA,NA,1.091,0.157,0.049,0.018,0.009,0.007,0.004,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,23.7,36.7,25.1,NA,7.765,0,7.765,1.335,0,1.335,0,0,50.23,20.75,0,20.75,0,0,NA,NA,NA,1.091,0.156,0.049,0.018,0.009,0.007,0.004,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,21.7,36.7,25.3,NA,7.108,0,7.108,1.287,0,1.287,0,0,57.33,22.04,0,22.04,0,0,NA,NA,NA,1.045,0.155,0.049,0.018,0.009,0.007,0.004,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,20.4,37,24.2,NA,6.723,0,6.723,1.24,0,1.24,0,0,64.06,23.28,0,23.28,0,0,NA,NA,NA,0.998,0.154,0.049,0.018,0.009,0.007,0.004,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,21.4,35.9,24.3,NA,6.651,0,6.651,1.253,0,1.253,0,0,70.71,24.53,0,24.53,0,0,NA,NA,NA,1.013,0.153,0.049,0.018,0.009,0.007,0.004,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,23.2,37.7,24.3,NA,7.938,0,7.938,1.26,0,1.26,0,0,78.65,25.79,0,25.79,0,0,NA,NA,NA,1.021,0.152,0.049,0.018,0.009,0.007,0.004,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,24.1,39.2,23.9,NA,8.834,0,8.834,1.238,0,1.238,0,0,87.48,27.03,0,27.03,0,0,NA,NA,NA,1,0.152,0.049,0.018,0.009,0.007,0.004,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,22.7,38.4,24.9,NA,8.059,0,8.059,1.308,0,1.308,0,0,95.54,28.34,0,28.34,0,0,NA,NA,NA,1.071,0.151,0.048,0.018,0.009,0.007,0.004,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,22.2,36,25.9,NA,7.054,0,7.054,1.376,0,1.376,0,0,102.59,29.71,0,29.71,0,0,NA,NA,NA,1.14,0.15,0.048,0.018,0.009,0.007,0.004,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,23.9,39,24.6,NA,8.767,0,8.767,1.324,0,1.324,0,0,111.36,31.04,0,31.04,0,0,NA,NA,NA,1.089,0.149,0.048,0.018,0.009,0.007,0.004,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,24.3,39.5,23.7,NA,9.038,0,9.038,1.22,0,1.22,0,0,120.4,32.26,0,32.26,0,0,NA,NA,NA,0.986,0.148,0.048,0.018,0.009,0.007,0.004,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,22.6,38.5,24.9,NA,8.042,0,8.042,1.136,0,1.136,0,0,128.44,33.39,0,33.39,0,0,NA,NA,NA,0.902,0.147,0.048,0.018,0.009,0.007,0.004,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,21.8,37.2,25.7,NA,7.287,0,7.287,1.087,0,1.087,0,0,135.73,34.48,0,34.48,0,0,NA,NA,NA,0.855,0.146,0.048,0.018,0.009,0.007,0.004,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,23.2,38.9,25.1,NA,8.396,0,8.396,1.058,0,1.058,0,0,144.12,35.54,0,35.54,0,0,NA,NA,NA,0.826,0.145,0.048,0.018,0.009,0.007,0.004,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,22.8,35.3,26.6,NA,6.918,0,6.918,1.087,0,1.087,0,0,151.04,36.62,0,36.62,0,0,NA,NA,NA,0.857,0.144,0.048,0.018,0.009,0.007,0.004,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,18.6,36.6,25.4,NA,6.024,0,6.024,1.095,0,1.095,0,0,157.06,37.72,0,37.72,0,0,NA,NA,NA,0.866,0.143,0.048,0.018,0.009,0.007,0.004,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,20.6,38,25.4,NA,7.143,0,7.143,1.045,0,1.045,0,0,164.21,38.76,0,38.76,0,0,NA,NA,NA,0.817,0.143,0.048,0.018,0.009,0.007,0.004,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,19.5,34,25.9,NA,5.734,0,5.734,1.118,0,1.118,0,0,169.94,39.88,0,39.88,0,0,NA,NA,NA,0.891,0.142,0.048,0.018,0.009,0.007,0.004,0,0
