Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,8.2,12,12.9,21.3,42.6,0.21,34.1,24.6,29.1,30.7,19.8,29.1,30.7,102,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,5.2,12,12.9,21.6,43.2,0.19,36,25,30.3,32.1,19.1,30.3,32.1,112,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,0.7,12,12.9,22.3,44.6,0.17,36.3,23.1,29.4,31.6,16.4,29.4,31.6,123,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,1.2,12,12.9,22.1,44.2,0.17,34.6,23.9,29,30.8,18.5,29,30.8,126,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,1.5,12,12.9,21.3,42.6,0.2,36.4,23.8,29.8,31.9,17.7,29.8,31.9,97,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,3.7,12,12.9,18.9,37.8,0.29,33.3,24.8,28.9,30.2,20.1,28.9,30.2,117,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,1.3,12,12.9,22.6,45.2,0.15,34.5,25.1,29.6,31.1,20.2,29.6,31.1,104,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,2.1,12,12.9,19,38,0.29,35.3,25.4,30.1,31.7,20,30.1,31.7,153,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,1.2,12,12.9,19.7,39.4,0.26,34.7,24.8,29.5,31.1,19.4,29.5,31.1,163,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,2.7,12,12.9,19.1,38.2,0.28,34.4,24.6,29.3,30.9,19.7,29.3,30.9,131,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,1.3,12,12.9,21.1,42.2,0.21,36,24.4,29.9,31.8,18.8,29.9,31.8,102,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,2.1,12,12.9,24.1,48.2,0.09,37.5,23.9,30.4,32.6,17,30.4,32.6,99,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,4.1,12,12.9,21,42,0.21,36.7,24.7,30.4,32.4,18.1,30.4,32.4,90,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,1.7,12,12.9,19.5,39,0.27,33.2,25.5,29.2,30.4,20.3,29.2,30.4,118,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,0,12,12.9,24,48,0.1,37.7,24.8,31,33.1,17.1,31,33.1,106,393.8,0,0,NA,2012-06-15
16,CRDA1201,RICER048,1,1,2012-06-16,16,0,12,12.9,23.8,47.6,0.1,37.2,23.7,30.2,32.4,17.1,30.2,32.4,119,393.8,0,0,NA,2012-06-16
17,CRDA1201,RICER048,1,1,2012-06-17,17,0.3,12,12.9,21.3,42.6,0.2,35.9,24.8,30.1,31.9,18.7,30.1,31.9,105,393.8,0,0,NA,2012-06-17
18,CRDA1201,RICER048,1,1,2012-06-18,18,0.9,12,12.9,20.9,41.8,0.21,34,25.6,29.6,31,19.2,29.6,31,88,393.8,0,0,NA,2012-06-18
19,CRDA1201,RICER048,1,1,2012-06-19,19,1,12,12.9,24,48,0.1,36.4,24.6,30.2,32.2,18.1,30.2,32.2,173,393.8,0,0,NA,2012-06-19
20,CRDA1201,RICER048,1,1,2012-06-20,20,2.9,12,12.9,21.8,43.6,0.18,33.3,26.2,29.6,30.8,21.3,29.6,30.8,149,393.8,0,0,NA,2012-06-20
21,CRDA1201,RICER048,1,1,2012-06-21,21,0.8,12,12.9,18.8,37.6,0.29,33.8,25.5,29.5,30.8,20.7,29.5,30.8,124,393.8,0,0,NA,2012-06-21
22,CRDA1201,RICER048,1,1,2012-06-22,22,2.7,12,12.9,21.8,43.6,0.18,35.5,25,30,31.7,19.4,30,31.7,109,393.8,0,0,NA,2012-06-22
23,CRDA1201,RICER048,1,1,2012-06-23,23,3.6,12,12.9,19.4,38.8,0.27,32.5,25.7,29,30.1,21.4,29,30.1,98,393.8,0,0,NA,2012-06-23
24,CRDA1201,RICER048,1,1,2012-06-24,24,154.4,12,12.9,21.1,42.2,0.21,29.5,24.5,26.9,27.7,22.6,26.9,27.7,134,393.8,0,0,NA,2012-06-24
25,CRDA1201,RICER048,1,1,2012-06-25,25,20.9,12,12.9,18.9,37.8,0.29,30.4,24,27.1,28.1,21.4,27.1,28.1,156,393.8,0,0,NA,2012-06-25
26,CRDA1201,RICER048,1,1,2012-06-26,26,49.9,12,12.9,21.5,43,0.19,30.4,23.6,26.9,28,21.3,26.9,28,125,393.8,0,0,NA,2012-06-26
27,CRDA1201,RICER048,1,1,2012-06-27,27,3.3,12,12.9,22.3,44.6,0.16,31.5,23.6,27.4,28.7,20.5,27.4,28.7,142,393.8,0,0,NA,2012-06-27
28,CRDA1201,RICER048,1,1,2012-06-28,28,0.4,12,12.9,23.1,46.2,0.13,31.9,23.1,27.3,28.7,19.7,27.3,28.7,127,393.8,0,0,NA,2012-06-28
29,CRDA1201,RICER048,1,1,2012-06-29,29,2.8,12,12.9,19.3,38.6,0.28,32.3,23.2,27.6,29,19.7,27.6,29,97,393.8,0,0,NA,2012-06-29
30,CRDA1201,RICER048,1,1,2012-06-30,30,3.2,12,12.9,15.7,31.4,0.41,29.2,24.2,26.6,27.4,21.7,26.6,27.4,114,393.8,0,0,NA,2012-06-30
31,CRDA1201,RICER048,1,1,2012-07-01,31,12.4,12,12.9,15.4,30.8,0.42,29.5,24.7,27,27.8,22.5,27,27.8,127,393.8,0,0,NA,2012-07-01
32,CRDA1201,RICER048,1,1,2012-07-02,32,5.4,12,12.9,17.6,35.2,0.34,29.8,24,26.8,27.7,21.3,26.8,27.7,65,393.8,0,0,NA,2012-07-02
33,CRDA1201,RICER048,1,1,2012-07-03,33,9.2,12,12.9,16.5,33,0.38,28.2,24.4,26.2,26.8,22.9,26.2,26.8,96,393.8,0,0,NA,2012-07-03
34,CRDA1201,RICER048,1,1,2012-07-04,34,1.4,12,12.9,21.1,42.2,0.21,30.7,24.5,27.5,28.5,22,27.5,28.5,79,393.8,0,0,NA,2012-07-04
35,CRDA1201,RICER048,1,1,2012-07-05,35,2.3,12,12.9,18.3,36.6,0.32,33,24.8,28.7,30.1,21.4,28.7,30.1,98,393.8,0,0,NA,2012-07-05
