Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,14.8,33.2,26.9,NA,4.438,0,4.438,4.438,0,4.438,0,0,4.44,4.44,0,4.44,0,0,NA,NA,NA,1.146,0.75,0.762,0.53,0.417,0.453,0.38,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.7,40.5,26.7,NA,10.091,0,10.091,5.998,0,5.998,0,0,14.53,10.44,0,10.44,0,0,NA,NA,NA,1.471,1.016,1.053,0.732,0.575,0.626,0.526,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,23.4,41.2,25.3,NA,9.605,0,9.605,1.011,0,1.011,0,0,24.13,11.45,0,11.45,0,0,NA,NA,NA,0.833,0.104,0.041,0.015,0.008,0.006,0.004,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,20.6,38.3,27.2,NA,7.439,0,7.439,0.99,0,0.99,0,0,31.57,12.44,0,12.44,0,0,NA,NA,NA,0.812,0.104,0.041,0.015,0.008,0.006,0.004,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,24.5,36.1,27.6,NA,7.942,0,7.942,5.755,0,5.755,0,0,39.52,18.19,0,18.19,0,0,NA,NA,NA,1.33,0.98,1.025,0.716,0.566,0.619,0.52,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,22.6,38.8,27.6,NA,8.418,0,8.418,5.754,0,5.754,0,0,47.93,23.95,0,23.95,0,0,NA,NA,NA,1.383,0.981,1.008,0.701,0.557,0.61,0.514,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,25,37.6,26.6,NA,8.736,0,8.736,5.735,0,5.735,0,0,56.67,29.68,0,29.68,0,0,NA,NA,NA,1.409,0.986,0.995,0.687,0.547,0.602,0.508,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,23.5,40.6,27.1,NA,9.513,0,9.513,5.563,0,5.563,0,0,66.18,35.24,0,35.24,0,0,NA,NA,NA,1.316,0.963,0.976,0.673,0.539,0.594,0.503,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,20.9,39.4,26.4,NA,7.907,0,7.907,0.962,0,0.962,0,0,74.09,36.21,0,36.21,0,0,NA,NA,NA,0.795,0.099,0.038,0.014,0.007,0.006,0.003,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,19,38.5,26.8,NA,6.918,0,6.918,5.491,0,5.491,0,0,81.01,41.7,0,41.7,0,0,NA,NA,NA,1.33,0.943,0.946,0.658,0.53,0.586,0.497,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,21.6,38.8,26.9,NA,8.016,0,8.016,1.016,0,1.016,0,0,89.02,42.71,0,42.71,0,0,NA,NA,NA,0.848,0.101,0.037,0.014,0.007,0.005,0.003,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,25.4,41.1,27.1,NA,10.466,0,10.466,0.957,0,0.957,0,0,99.49,43.67,0,43.67,0,0,NA,NA,NA,0.79,0.1,0.037,0.014,0.007,0.005,0.003,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,23.6,38.3,28.1,NA,8.553,0,8.553,5.477,0,5.477,0,0,108.04,49.15,0,49.15,0,0,NA,NA,NA,1.351,0.966,0.925,0.644,0.521,0.578,0.492,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,24.5,36.7,26.1,NA,8.18,0,8.18,5.459,0,5.459,0,0,116.22,54.61,0,54.61,0,0,NA,NA,NA,1.375,0.977,0.907,0.631,0.512,0.571,0.486,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,24.4,42,26.6,NA,10.426,0,10.426,0.941,0,0.941,0,0,126.65,55.55,0,55.55,0,0,NA,NA,NA,0.774,0.102,0.036,0.013,0.007,0.005,0.003,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,25.4,42,25.9,NA,10.759,0,10.759,0.871,0,0.871,0,0,137.41,56.42,0,56.42,0,0,NA,NA,NA,0.705,0.102,0.036,0.013,0.007,0.005,0.003,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,21.9,40.5,28.6,NA,8.786,0,8.786,0.821,0,0.821,0,0,146.19,57.24,0,57.24,0,0,NA,NA,NA,0.656,0.101,0.036,0.013,0.007,0.005,0.003,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,19.7,40.3,29.3,NA,7.849,0,7.849,0.779,0,0.779,0,0,154.04,58.02,0,58.02,0,0,NA,NA,NA,0.615,0.1,0.035,0.013,0.007,0.005,0.003,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,25.4,41.6,28.3,NA,10.633,0,10.633,0.751,0,0.751,0,0,164.67,58.77,0,58.77,0,0,NA,NA,NA,0.587,0.1,0.035,0.013,0.007,0.005,0.003,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,24.8,40.8,27.4,NA,9.957,0,9.957,0.769,0,0.769,0,0,174.63,59.54,0,59.54,0,0,NA,NA,NA,0.606,0.099,0.035,0.013,0.007,0.005,0.003,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,19.8,39.7,27.7,NA,7.592,0,7.592,0.768,0,0.768,0,0,182.22,60.3,0,60.3,0,0,NA,NA,NA,0.605,0.099,0.035,0.013,0.007,0.005,0.003,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,24.2,40.8,26.9,NA,9.685,0,9.685,0.727,0,0.727,0,0,191.91,61.03,0,61.03,0,0,NA,NA,NA,0.565,0.098,0.035,0.013,0.007,0.005,0.003,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,22.7,37.1,28.2,NA,7.651,0,7.651,0.787,0,0.787,0,0,199.56,61.82,0,61.82,0,0,NA,NA,NA,0.626,0.098,0.035,0.013,0.007,0.005,0.003,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,21.2,34,26.2,NA,6.306,0,6.306,5.823,0,5.823,0,0,205.87,67.64,0,67.64,0,0,NA,NA,NA,1.453,1.129,1.017,0.675,0.507,0.562,0.48,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,22.6,35.7,24.7,NA,7.171,0,7.171,6.56,0,6.56,0,0,213.04,74.2,0,74.2,0,0,NA,NA,NA,1.775,1.307,1.159,0.753,0.536,0.555,0.475,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,23,33.2,24.4,NA,6.871,0,6.871,6.351,0,6.351,0,0,219.91,80.55,0,80.55,0,0,NA,NA,NA,1.66,1.158,1.142,0.779,0.58,0.562,0.47,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,21.8,35,23.7,NA,6.556,0,6.556,5.862,0,5.862,0,0,226.46,86.41,0,86.41,0,0,NA,NA,NA,1.369,1.034,1.068,0.745,0.581,0.598,0.468,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,24.8,38.4,23.6,NA,8.798,0,8.798,5.849,0,5.849,0,0,235.26,92.26,0,92.26,0,0,NA,NA,NA,1.398,1.011,1.047,0.733,0.575,0.619,0.466,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,20.5,35.4,24.9,NA,6.343,0,6.343,5.858,0,5.858,0,0,241.6,98.12,0,98.12,0,0,NA,NA,NA,1.452,1.005,1.038,0.72,0.57,0.611,0.461,0,0
30,CRDA1201,RICER048,1,1,2012-06-30,30,15.3,35.1,25.4,NA,4.645,0,4.645,4.645,0,4.645,0,0,246.25,102.77,0,102.77,0,0,NA,NA,NA,1.091,0.808,0.838,0.579,0.461,0.495,0.374,0,0
31,CRDA1201,RICER048,1,1,2012-07-01,31,12.8,32.3,26.5,NA,3.781,0,3.781,3.781,0,3.781,0,0,250.03,106.55,0,106.55,0,0,NA,NA,NA,0.978,0.68,0.659,0.451,0.352,0.376,0.285,0,0
32,CRDA1201,RICER048,1,1,2012-07-02,32,23.2,32.1,25.4,NA,6.93,0,6.93,6.457,0,6.457,0,0,256.96,113,0,113,0,0,NA,NA,NA,1.807,1.185,1.101,0.746,0.572,0.598,0.448,0,0
33,CRDA1201,RICER048,1,1,2012-07-03,33,16.4,32.9,24.9,NA,4.858,0,4.858,4.858,0,4.858,0,0,261.82,117.86,0,117.86,0,0,NA,NA,NA,1.288,0.882,0.841,0.582,0.452,0.47,0.344,0,0
34,CRDA1201,RICER048,1,1,2012-07-04,34,24.2,34.5,25,NA,7.374,0,7.374,6.074,0,6.074,0,0,269.19,123.94,0,123.94,0,0,NA,NA,NA,1.532,1.077,1.071,0.749,0.586,0.618,0.44,0,0
35,CRDA1201,RICER048,1,1,2012-07-05,35,23.6,38.8,25,NA,8.661,0,8.661,5.777,0,5.777,0,0,277.85,129.71,0,129.71,0,0,NA,NA,NA,1.35,1.014,1.037,0.732,0.581,0.625,0.437,0,0
36,CRDA1201,RICER048,1,1,2012-07-06,36,19.9,34.2,25.3,NA,5.931,0,5.931,5.529,0,5.529,0,0,283.78,135.24,0,135.24,0,0,NA,NA,NA,1.213,0.964,1.007,0.718,0.571,0.623,0.433,0,0
37,CRDA1201,RICER048,1,1,2012-07-07,37,21,33.1,25,NA,6.147,0,6.147,0.858,0,0.858,0,0,289.93,136.1,0,136.1,0,0,NA,NA,NA,0.694,0.095,0.038,0.015,0.008,0.006,0.003,0,0
38,CRDA1201,RICER048,1,1,2012-07-08,38,20.7,34,24.6,NA,6.102,0,6.102,0.861,0,0.861,0,0,296.03,136.96,0,136.96,0,0,NA,NA,NA,0.697,0.094,0.038,0.015,0.008,0.006,0.003,0,0
39,CRDA1201,RICER048,1,1,2012-07-09,39,23,34.7,24.6,NA,6.825,0,6.825,0.863,0,0.863,0,0,302.86,137.82,0,137.82,0,0,NA,NA,NA,0.699,0.094,0.038,0.015,0.008,0.006,0.003,0,0
40,CRDA1201,RICER048,1,1,2012-07-10,40,21,37.3,25.4,NA,7.104,0,7.104,0.882,0,0.882,0,0,309.96,138.7,0,138.7,0,0,NA,NA,NA,0.718,0.094,0.038,0.015,0.008,0.006,0.003,0,0
41,CRDA1201,RICER048,1,1,2012-07-11,41,24.4,40.2,26.3,NA,9.571,0,9.571,0.883,0,0.883,0,0,319.53,139.59,0,139.59,0,0,NA,NA,NA,0.72,0.094,0.038,0.015,0.008,0.006,0.003,0,0
42,CRDA1201,RICER048,1,1,2012-07-12,42,19,40.5,26.1,NA,7.534,0,7.534,0.861,0,0.861,0,0,327.07,140.45,0,140.45,0,0,NA,NA,NA,0.699,0.093,0.038,0.015,0.008,0.006,0.003,0,0
43,CRDA1201,RICER048,1,1,2012-07-13,43,14.7,36.1,26.2,NA,4.692,0,4.692,0.875,0,0.875,0,0,331.76,141.32,0,141.32,0,0,NA,NA,NA,0.713,0.093,0.038,0.015,0.008,0.006,0.003,0,0
