Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,7.6,12,12.9,24.2,48.4,0.1,34.8,25.1,29.7,31.3,18.2,29.7,31.3,260,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,2.7,12,12.9,25.3,50.6,0.06,35.9,24.7,30.1,31.9,17,30.1,31.9,313,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,3.8,12,12.9,23.4,46.8,0.13,34.2,24.7,29.2,30.8,18.2,29.2,30.8,420,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,1.5,12,12.9,22.3,44.6,0.17,33,24.1,28.4,29.8,18.3,28.4,29.8,324,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,0.2,12,12.9,23.9,47.8,0.11,37.9,24.4,30.9,33.1,16.3,30.9,33.1,188,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,4.3,12,12.9,23.6,47.2,0.12,35.1,26.1,30.4,31.9,18.6,30.4,31.9,281,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,10.1,12,12.9,20.1,40.2,0.25,34,25.3,29.5,30.9,20.7,29.5,30.9,186,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,6.1,12,12.9,17.2,34.4,0.36,32.7,24.8,28.6,29.9,19.9,28.6,29.9,188,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0.4,12,12.9,22.3,44.6,0.16,38.9,24.4,31.3,33.7,16.2,31.3,33.7,132,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,1.2,12,12.9,23.4,46.8,0.12,35.8,25.8,30.6,32.2,19.4,30.6,32.2,336,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,3.1,12,12.9,23.7,47.4,0.11,34,25.2,29.4,30.8,19.3,29.4,30.8,188,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,3.3,12,12.9,23.5,47,0.12,36.4,24.9,30.4,32.3,17.7,30.4,32.3,316,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,4.2,12,12.9,18.4,36.8,0.31,34.3,24.6,29.2,30.8,19.7,29.2,30.8,367,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,1.8,12,12.9,21.3,42.6,0.2,34.6,24.9,29.5,31.1,19.4,29.5,31.1,204,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,2.4,12,12.9,24.6,49.2,0.08,35.6,24.7,29.9,31.7,18.4,29.9,31.7,284,393.8,0,0,NA,2012-06-15
