Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,8.5,12,12.9,16.5,33,0.39,33.2,24.8,28.8,30.2,19.1,28.8,30.2,143,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,2.9,12,12.9,24.3,48.6,0.09,36.3,24.6,30.2,32.1,17.3,30.2,32.1,244,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,0.1,12,12.9,22.1,44.2,0.17,35.1,23.4,29,30.9,14.8,29,30.9,273,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,0,12,12.9,23.2,46.4,0.13,34.4,23.3,28.6,30.4,15.8,28.6,30.4,207,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,0,12,12.9,24.5,49,0.08,37.9,22.9,30.1,32.5,13.9,30.1,32.5,188,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,0.5,12,12.9,23.2,46.4,0.13,39.1,23.9,31.2,33.6,15.4,31.2,33.6,234,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,7,12,12.9,15.5,31,0.42,30.8,25.4,28,28.9,21.1,28,28.9,232,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,2.2,12,12.9,19.2,38.4,0.28,32.5,24.6,28.4,29.7,19.8,28.4,29.7,146,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0.2,12,12.9,22.9,45.8,0.14,38.8,24.1,31.1,33.5,15.7,31.1,33.5,195,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,10.8,12,12.9,21.3,42.6,0.2,35.9,24.9,30.2,32,18.8,30.2,32,259,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,6.2,12,12.9,19.4,38.8,0.27,35.8,25.1,30.2,32,19.6,30.2,32,195,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,6.8,12,12.9,23.8,47.6,0.11,36.7,24.2,30.2,32.2,17.5,30.2,32.2,230,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,2.2,12,12.9,21.3,42.6,0.2,35.5,23.6,29.3,31.2,18.1,29.3,31.2,285,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,2.4,12,12.9,23.5,47,0.12,35.2,23.9,29.3,31.1,18.3,29.3,31.1,156,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,3.3,12,12.9,23.2,46.4,0.13,35,24.3,29.4,31.2,18.7,29.4,31.2,243,393.8,0,0,NA,2012-06-15
16,CRDA1201,RICER048,1,1,2012-06-16,16,0.9,12,12.9,21.6,43.2,0.19,33.3,23.9,28.4,29.9,18.4,28.4,29.9,247,393.8,0,0,NA,2012-06-16
17,CRDA1201,RICER048,1,1,2012-06-17,17,7,12,12.9,20.3,40.6,0.24,33,24.5,28.6,29.9,19.9,28.6,29.9,173,393.8,0,0,NA,2012-06-17
18,CRDA1201,RICER048,1,1,2012-06-18,18,3.8,12,12.9,16.1,32.2,0.39,34,24.4,29,30.6,18.7,29,30.6,194,393.8,0,0,NA,2012-06-18
19,CRDA1201,RICER048,1,1,2012-06-19,19,0.2,12,12.9,24.9,49.8,0.06,36.7,23.1,29.6,31.8,16.6,29.6,31.8,189,393.8,0,0,NA,2012-06-19
20,CRDA1201,RICER048,1,1,2012-06-20,20,0.4,12,12.9,22.8,45.6,0.14,35.7,24.5,29.9,31.7,18.5,29.9,31.7,248,393.8,0,0,NA,2012-06-20
21,CRDA1201,RICER048,1,1,2012-06-21,21,0.1,12,12.9,24.2,48.4,0.09,34.1,24.7,29.2,30.7,19,29.2,30.7,265,393.8,0,0,NA,2012-06-21
22,CRDA1201,RICER048,1,1,2012-06-22,22,0.1,12,12.9,24.4,48.8,0.08,36.3,23.4,29.6,31.7,16.7,29.6,31.7,241,393.8,0,0,NA,2012-06-22
23,CRDA1201,RICER048,1,1,2012-06-23,23,0,12,12.9,24.4,48.8,0.08,37,24,30.2,32.3,17,30.2,32.3,260,393.8,0,0,NA,2012-06-23
24,CRDA1201,RICER048,1,1,2012-06-24,24,0.4,12,12.9,22.4,44.8,0.16,35,24.4,29.5,31.2,18.1,29.5,31.2,296,393.8,0,0,NA,2012-06-24
25,CRDA1201,RICER048,1,1,2012-06-25,25,0.8,12,12.9,18.4,36.8,0.31,32.2,23.7,27.8,29.1,18.7,27.8,29.1,250,393.8,0,0,NA,2012-06-25
26,CRDA1201,RICER048,1,1,2012-06-26,26,0.2,12,12.9,18.9,37.8,0.29,34.6,23.8,29,30.7,17.6,29,30.7,247,393.8,0,0,NA,2012-06-26
27,CRDA1201,RICER048,1,1,2012-06-27,27,2.2,12,12.9,14.5,29,0.46,33.8,24.2,28.8,30.4,18.2,28.8,30.4,173,393.8,0,0,NA,2012-06-27
28,CRDA1201,RICER048,1,1,2012-06-28,28,4.2,12,12.9,15,30,0.44,34,23.7,28.6,30.3,17.3,28.6,30.3,195,393.8,0,0,NA,2012-06-28
29,CRDA1201,RICER048,1,1,2012-06-29,29,10.8,12,12.9,18.4,36.8,0.31,33.2,24.7,28.8,30.1,19.9,28.8,30.1,249,393.8,0,0,NA,2012-06-29
30,CRDA1201,RICER048,1,1,2012-06-30,30,6.7,12,12.9,18.4,36.8,0.31,33.7,24,28.6,30.2,19.2,28.6,30.2,180,393.8,0,0,NA,2012-06-30
31,CRDA1201,RICER048,1,1,2012-07-01,31,9.3,12,12.9,20.3,40.6,0.24,30,24.8,27.3,28.1,21.4,27.3,28.1,188,393.8,0,0,NA,2012-07-01
32,CRDA1201,RICER048,1,1,2012-07-02,32,10.2,12,12.9,22.1,44.2,0.17,30.3,24.5,27.3,28.2,21.6,27.3,28.2,141,393.8,0,0,NA,2012-07-02
33,CRDA1201,RICER048,1,1,2012-07-03,33,5.6,12,12.9,24.4,48.8,0.09,33.7,24.6,29,30.4,19.9,29,30.4,189,393.8,0,0,NA,2012-07-03
34,CRDA1201,RICER048,1,1,2012-07-04,34,3.9,12,12.9,20.6,41.2,0.23,32.1,24.3,28,29.3,20.8,28,29.3,259,393.8,0,0,NA,2012-07-04
35,CRDA1201,RICER048,1,1,2012-07-05,35,3.6,12,12.9,20.4,40.8,0.24,30.4,24.2,27.2,28.2,21.5,27.2,28.2,195,393.8,0,0,NA,2012-07-05
36,CRDA1201,RICER048,1,1,2012-07-06,36,2.7,12,12.9,18.9,37.8,0.29,31.1,24.4,27.6,28.7,20.8,27.6,28.7,142,393.8,0,0,NA,2012-07-06
37,CRDA1201,RICER048,1,1,2012-07-07,37,4.5,12,12.9,17.4,34.8,0.35,33.3,23.9,28.4,29.9,19.4,28.4,29.9,166,393.8,0,0,NA,2012-07-07
38,CRDA1201,RICER048,1,1,2012-07-08,38,3.6,12,12.9,18.6,37.2,0.31,31.3,24.5,27.8,28.9,21,27.8,28.9,147,393.8,0,0,NA,2012-07-08
39,CRDA1201,RICER048,1,1,2012-07-09,39,3.9,12,12.9,21.3,42.6,0.21,31.2,24.2,27.5,28.7,20.2,27.5,28.7,334,393.8,0,0,NA,2012-07-09
40,CRDA1201,RICER048,1,1,2012-07-10,40,2,12,12.9,18.2,36.4,0.32,31.8,23.2,27.3,28.7,19.1,27.3,28.7,273,393.8,0,0,NA,2012-07-10
41,CRDA1201,RICER048,1,1,2012-07-11,41,3.1,12,12.9,23.7,47.4,0.12,32.7,22.9,27.6,29.2,18.1,27.6,29.2,170,393.8,0,0,NA,2012-07-11
42,CRDA1201,RICER048,1,1,2012-07-12,42,10.5,12,12.9,22.1,44.2,0.18,30.1,23.5,26.7,27.7,20.4,26.7,27.7,160,393.8,0,0,NA,2012-07-12
43,CRDA1201,RICER048,1,1,2012-07-13,43,5.1,12,12.9,19.3,38.6,0.28,32.1,22.7,27.2,28.7,18.8,27.2,28.7,127,393.8,0,0,NA,2012-07-13
44,CRDA1201,RICER048,1,1,2012-07-14,44,3.5,12,12.9,20.2,40.4,0.25,33,24.6,28.6,30,20.6,28.6,30,266,393.8,0,0,NA,2012-07-14
45,CRDA1201,RICER048,1,1,2012-07-15,45,5.3,12,12.9,20.7,41.4,0.23,30.4,24.2,27.2,28.2,21.3,27.2,28.2,224,394.1,0,0,NA,2012-07-15
46,CRDA1201,RICER048,1,1,2012-07-16,46,5.6,12,12.9,18.8,37.6,0.3,29.4,24,26.6,27.5,21.5,26.6,27.5,194,394.1,0,0,NA,2012-07-16
47,CRDA1201,RICER048,1,1,2012-07-17,47,8.5,12,12.9,19.9,39.8,0.26,31.8,23.3,27.4,28.7,20.3,27.4,28.7,205,394.1,0,0,NA,2012-07-17
48,CRDA1201,RICER048,1,1,2012-07-18,48,4.3,12,12.9,22.5,45,0.17,32.2,24.3,28.1,29.4,21.2,28.1,29.4,211,394.1,0,0,NA,2012-07-18
49,CRDA1201,RICER048,1,1,2012-07-19,49,11.6,12,12.9,20.9,41.8,0.23,28.5,24.4,26.4,27,22.7,26.4,27,141,394.1,0,0,NA,2012-07-19
50,CRDA1201,RICER048,1,1,2012-07-20,50,13.1,12,12.9,14.6,29.2,0.46,30.2,23.5,26.7,27.8,21,26.7,27.8,164,394.1,0,0,NA,2012-07-20
51,CRDA1201,RICER048,1,1,2012-07-21,51,17.9,12,12.9,17.2,34.4,0.37,30.6,23.5,26.9,28.1,20.9,26.9,28.1,286,394.1,0,0,NA,2012-07-21
52,CRDA1201,RICER048,1,1,2012-07-22,52,9.6,12,12.9,15.5,31,0.43,29.7,23.6,26.5,27.5,21.3,26.5,27.5,201,394.1,0,0,NA,2012-07-22
53,CRDA1201,RICER048,1,1,2012-07-23,53,3.6,12,12.9,19.9,39.8,0.27,30.6,23.3,26.8,28,20.6,26.8,28,134,394.1,0,0,NA,2012-07-23
54,CRDA1201,RICER048,1,1,2012-07-24,54,4.8,12,12.9,14.6,29.2,0.46,30.4,24.1,27.1,28.1,21.8,27.1,28.1,175,394.1,0,0,NA,2012-07-24
55,CRDA1201,RICER048,1,1,2012-07-25,55,8.9,12,12.9,18.2,36.4,0.33,30.1,24.1,27,27.9,21.4,27,27.9,153,394.1,0,0,NA,2012-07-25
56,CRDA1201,RICER048,1,1,2012-07-26,56,3.7,12,12.8,19.5,39,0.29,27.5,23.6,25.5,26.1,22.2,25.5,26.1,257,394.1,0,0,NA,2012-07-26
57,CRDA1201,RICER048,1,1,2012-07-27,57,1.3,12,12.8,18.2,36.4,0.34,31.9,22.4,26.9,28.5,19.2,26.9,28.5,156,394.1,0,0,NA,2012-07-27
58,CRDA1201,RICER048,1,1,2012-07-28,58,4,12,12.8,19.8,39.6,0.28,31.9,23.7,27.6,29,20.8,27.6,29,259,394.1,0,0,NA,2012-07-28
59,CRDA1201,RICER048,1,1,2012-07-29,59,14.5,12,12.8,18.6,37.2,0.32,29.6,24.6,27,27.8,22.5,27,27.8,233,394.1,0,0,NA,2012-07-29
60,CRDA1201,RICER048,1,1,2012-07-30,60,25.4,12,12.8,17.5,35,0.36,29.1,24.4,26.6,27.4,22.9,26.6,27.4,224,394.1,0,0,NA,2012-07-30
61,CRDA1201,RICER048,1,1,2012-07-31,61,9,12,12.8,16.4,32.8,0.4,27.7,23.9,25.7,26.3,22.1,25.7,26.3,215,394.1,0,0,NA,2012-07-31
62,CRDA1201,RICER048,1,1,2012-08-01,62,23.4,12,12.8,19.7,39.4,0.29,28.5,23.4,25.8,26.7,21.3,25.8,26.7,168,394.1,0,0,NA,2012-08-01
63,CRDA1201,RICER048,1,1,2012-08-02,63,8.3,12,12.8,19.3,38.6,0.3,30.8,22.5,26.5,27.8,19.9,26.5,27.8,184,394.1,0,0,NA,2012-08-02
64,CRDA1201,RICER048,1,1,2012-08-03,64,5.8,12,12.8,18.7,37.4,0.32,30.6,22.9,26.6,27.8,20.4,26.6,27.8,180,394.1,0,0,NA,2012-08-03
65,CRDA1201,RICER048,1,1,2012-08-04,65,12.4,12,12.8,19.4,38.8,0.3,29.7,24.1,26.8,27.7,22.1,26.8,27.7,144,394.1,0,0,NA,2012-08-04
66,CRDA1201,RICER048,1,1,2012-08-05,66,9.5,12,12.8,13.8,27.6,0.5,27.9,23.9,25.8,26.5,22.2,25.8,26.5,191,394.1,0,0,NA,2012-08-05
67,CRDA1201,RICER048,1,1,2012-08-06,67,10.1,12,12.8,12.6,25.2,0.55,29.5,23.3,26.3,27.3,21.2,26.3,27.3,148,394.1,0,0,NA,2012-08-06
68,CRDA1201,RICER048,1,1,2012-08-07,68,0.8,12,12.8,20.3,40.6,0.27,30.5,23.1,26.6,27.8,20.6,26.6,27.8,198,394.1,0,0,NA,2012-08-07
69,CRDA1201,RICER048,1,1,2012-08-08,69,26.4,12,12.8,13.2,26.4,0.53,29.2,23.5,26.2,27.2,21.7,26.2,27.2,213,394.1,0,0,NA,2012-08-08
70,CRDA1201,RICER048,1,1,2012-08-09,70,16.7,12,12.8,18.6,37.2,0.33,29.1,24,26.4,27.3,22.1,26.4,27.3,165,394.1,0,0,NA,2012-08-09
71,CRDA1201,RICER048,1,1,2012-08-10,71,22.4,12,12.8,9.7,19.4,0.65,27.4,23.7,25.5,26.1,22.5,25.5,26.1,215,394.1,0,0,NA,2012-08-10
72,CRDA1201,RICER048,1,1,2012-08-11,72,33.4,12,12.8,14.5,29,0.48,27.9,23.8,25.8,26.4,22.6,25.8,26.4,206,394.1,0,0,NA,2012-08-11
73,CRDA1201,RICER048,1,1,2012-08-12,73,45.5,12,12.8,13.3,26.6,0.53,28.9,24.1,26.4,27.2,22.5,26.4,27.2,232,394.1,0,0,NA,2012-08-12
74,CRDA1201,RICER048,1,1,2012-08-13,74,14.6,12,12.8,15,30,0.47,28.3,23.4,25.7,26.5,21.9,25.7,26.5,226,394.1,0,0,NA,2012-08-13
75,CRDA1201,RICER048,1,1,2012-08-14,75,4.9,12,12.8,20.1,40.2,0.29,30.4,23.1,26.6,27.8,20.7,26.6,27.8,140,394.1,0,0,NA,2012-08-14
