Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,21.3,34.1,24.6,NA,6.346,0,6.346,6.346,0,6.346,0,0,6.35,6.35,0,6.35,0,0,NA,NA,NA,1.852,1.269,0.97,0.675,0.531,0.572,0.477,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,21.6,36,25,NA,6.925,0,6.925,6.897,0,6.897,0,0,13.27,13.24,0,13.24,0,0,NA,NA,NA,2.078,1.371,1.041,0.722,0.567,0.612,0.505,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,22.3,36.3,23.1,NA,7.155,0,7.155,6.601,0,6.601,0,0,20.43,19.84,0,19.84,0,0,NA,NA,NA,1.849,1.336,1.029,0.719,0.562,0.607,0.499,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,22.1,34.6,23.9,NA,6.56,0,6.56,1.364,0,1.364,0,0,26.99,21.21,0,21.21,0,0,NA,NA,NA,1.144,0.148,0.04,0.015,0.007,0.006,0.003,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,21.3,36.4,23.8,NA,6.841,0,6.841,1.367,0,1.367,0,0,33.83,22.57,0,22.57,0,0,NA,NA,NA,1.147,0.149,0.04,0.015,0.007,0.006,0.003,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,18.9,33.3,24.8,NA,5.572,0,5.572,5.572,0,5.572,0,0,39.4,28.15,0,28.15,0,0,NA,NA,NA,1.523,1.13,0.875,0.616,0.479,0.52,0.429,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,22.6,34.5,25.1,NA,6.776,0,6.776,6.342,0,6.342,0,0,46.18,34.49,0,34.49,0,0,NA,NA,NA,1.747,1.284,0.989,0.697,0.544,0.592,0.489,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,19,35.3,25.4,NA,5.809,0,5.809,1.358,0,1.358,0,0,51.98,35.85,0,35.85,0,0,NA,NA,NA,1.145,0.145,0.038,0.014,0.007,0.005,0.003,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,19.7,34.7,24.8,NA,5.895,0,5.895,1.375,0,1.375,0,0,57.88,37.22,0,37.22,0,0,NA,NA,NA,1.16,0.146,0.038,0.014,0.007,0.005,0.003,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,19.1,34.4,24.6,NA,5.686,0,5.686,1.396,0,1.396,0,0,63.56,38.62,0,38.62,0,0,NA,NA,NA,1.179,0.149,0.038,0.014,0.007,0.005,0.003,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,21.1,36,24.4,NA,6.679,0,6.679,6.282,0,6.282,0,0,70.24,44.9,0,44.9,0,0,NA,NA,NA,1.735,1.307,0.956,0.681,0.535,0.584,0.483,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,24.1,37.5,23.9,NA,8.19,0,8.19,1.356,0,1.356,0,0,78.43,46.25,0,46.25,0,0,NA,NA,NA,1.142,0.147,0.037,0.014,0.007,0.005,0.003,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,21,36.7,24.7,NA,6.9,0,6.9,6.264,0,6.264,0,0,85.33,52.52,0,52.52,0,0,NA,NA,NA,1.783,1.299,0.935,0.667,0.526,0.576,0.478,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,19.5,33.2,25.5,NA,5.786,0,5.786,5.786,0,5.786,0,0,91.12,58.31,0,58.31,0,0,NA,NA,NA,1.65,1.204,0.858,0.613,0.486,0.533,0.443,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,24,37.7,24.8,NA,8.298,0,8.298,1.303,0,1.303,0,0,99.42,59.61,0,59.61,0,0,NA,NA,NA,1.094,0.145,0.036,0.013,0.007,0.005,0.003,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,23.8,37.2,23.7,NA,7.93,0,7.93,1.199,0,1.199,0,0,107.35,60.81,0,60.81,0,0,NA,NA,NA,0.991,0.144,0.036,0.013,0.007,0.005,0.003,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,21.3,35.9,24.8,NA,6.652,0,6.652,1.119,0,1.119,0,0,114,61.93,0,61.93,0,0,NA,NA,NA,0.912,0.143,0.036,0.013,0.007,0.005,0.003,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,20.9,34,25.6,NA,6.17,0,6.17,1.089,0,1.089,0,0,120.17,63.02,0,63.02,0,0,NA,NA,NA,0.883,0.142,0.036,0.013,0.007,0.005,0.003,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,24,36.4,24.6,NA,7.668,0,7.668,1.095,0,1.095,0,0,127.84,64.11,0,64.11,0,0,NA,NA,NA,0.889,0.141,0.035,0.013,0.007,0.005,0.003,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,21.8,33.3,26.2,NA,6.42,0,6.42,1.193,0,1.193,0,0,134.26,65.3,0,65.3,0,0,NA,NA,NA,0.989,0.14,0.035,0.013,0.007,0.005,0.003,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,18.8,33.8,25.5,NA,5.581,0,5.581,1.273,0,1.273,0,0,139.84,66.58,0,66.58,0,0,NA,NA,NA,1.07,0.139,0.035,0.013,0.007,0.005,0.003,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,21.8,35.5,25,NA,6.703,0,6.703,1.317,0,1.317,0,0,146.54,67.89,0,67.89,0,0,NA,NA,NA,1.113,0.14,0.035,0.013,0.007,0.005,0.003,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,19.4,32.5,25.7,NA,5.712,0,5.712,5.712,0,5.712,0,0,152.25,73.61,0,73.61,0,0,NA,NA,NA,1.665,1.171,0.829,0.601,0.479,0.527,0.44,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,21.1,29.5,24.5,NA,5.981,0,5.981,5.981,0,5.981,0,0,158.23,79.59,0,79.59,0,0,NA,NA,NA,1.835,1.207,0.903,0.642,0.49,0.5,0.403,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,18.9,30.4,24,NA,5.507,0,5.507,5.507,0,5.507,0,0,163.74,85.09,0,85.09,0,0,NA,NA,NA,1.563,1.128,0.891,0.625,0.478,0.46,0.362,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,21.5,30.4,23.6,NA,6.174,0,6.174,6.174,0,6.174,0,0,169.91,91.27,0,91.27,0,0,NA,NA,NA,1.66,1.259,0.994,0.697,0.552,0.557,0.454,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,22.3,31.5,23.6,NA,6.476,0,6.476,6.476,0,6.476,0,0,176.39,97.74,0,97.74,0,0,NA,NA,NA,1.748,1.269,1.007,0.727,0.586,0.616,0.523,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,23.1,31.9,23.1,NA,6.678,0,6.678,6.678,0,6.678,0,0,183.07,104.42,0,104.42,0,0,NA,NA,NA,1.727,1.309,1.045,0.758,0.617,0.659,0.563,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,19.3,32.3,23.2,NA,5.564,0,5.564,5.564,0,5.564,0,0,188.63,109.99,0,109.99,0,0,NA,NA,NA,1.426,1.101,0.875,0.627,0.51,0.552,0.473,0,0
30,CRDA1201,RICER048,1,1,2012-06-30,30,15.7,29.2,24.2,NA,4.42,0,4.42,4.42,0,4.42,0,0,193.05,114.41,0,114.41,0,0,NA,NA,NA,1.188,0.873,0.687,0.487,0.393,0.427,0.365,0,0
31,CRDA1201,RICER048,1,1,2012-07-01,31,15.4,29.5,24.7,NA,4.377,0,4.377,4.377,0,4.377,0,0,197.43,118.78,0,118.78,0,0,NA,NA,NA,1.266,0.88,0.663,0.463,0.369,0.398,0.338,0,0
32,CRDA1201,RICER048,1,1,2012-07-02,32,17.6,29.8,24,NA,5.042,0,5.042,5.042,0,5.042,0,0,202.47,123.83,0,123.83,0,0,NA,NA,NA,1.522,1.022,0.757,0.522,0.41,0.439,0.371,0,0
33,CRDA1201,RICER048,1,1,2012-07-03,33,16.5,28.2,24.4,NA,4.618,0,4.618,4.618,0,4.618,0,0,207.09,128.44,0,128.44,0,0,NA,NA,NA,1.378,0.925,0.694,0.486,0.382,0.409,0.344,0,0
34,CRDA1201,RICER048,1,1,2012-07-04,34,21.1,30.7,24.5,NA,6.141,0,6.141,6.141,0,6.141,0,0,213.23,134.58,0,134.58,0,0,NA,NA,NA,1.82,1.242,0.922,0.647,0.51,0.544,0.456,0,0
35,CRDA1201,RICER048,1,1,2012-07-05,35,18.3,33,24.8,NA,5.407,0,5.407,5.407,0,5.407,0,0,218.64,139.99,0,139.99,0,0,NA,NA,NA,1.522,1.096,0.829,0.585,0.463,0.495,0.415,0,0
36,CRDA1201,RICER048,1,1,2012-07-06,36,17.7,30.9,24.7,NA,5.102,0,5.102,5.102,0,5.102,0,0,223.74,145.09,0,145.09,0,0,NA,NA,NA,1.391,1.035,0.79,0.561,0.446,0.478,0.401,0,0
37,CRDA1201,RICER048,1,1,2012-07-07,37,18.1,30.7,24.9,NA,5.193,0,5.193,1.251,0,1.251,0,0,228.93,146.34,0,146.34,0,0,NA,NA,NA,1.045,0.139,0.038,0.014,0.007,0.006,0.003,0,0
38,CRDA1201,RICER048,1,1,2012-07-08,38,20.5,31.2,24.4,NA,5.883,0,5.883,1.254,0,1.254,0,0,234.81,147.6,0,147.6,0,0,NA,NA,NA,1.048,0.138,0.038,0.014,0.007,0.006,0.003,0,0
39,CRDA1201,RICER048,1,1,2012-07-09,39,18,30.8,24.4,NA,5.153,0,5.153,1.281,0,1.281,0,0,239.97,148.88,0,148.88,0,0,NA,NA,NA,1.075,0.138,0.038,0.014,0.007,0.006,0.003,0,0
40,CRDA1201,RICER048,1,1,2012-07-10,40,20.6,31.1,24.4,NA,5.917,0,5.917,1.307,0,1.307,0,0,245.89,150.19,0,150.19,0,0,NA,NA,NA,1.1,0.139,0.038,0.014,0.007,0.006,0.003,0,0
41,CRDA1201,RICER048,1,1,2012-07-11,41,18.2,32.9,24.7,NA,5.347,0,5.347,5.347,0,5.347,0,0,251.23,155.53,0,155.53,0,0,NA,NA,NA,1.476,1.077,0.818,0.585,0.467,0.502,0.422,0,0
42,CRDA1201,RICER048,1,1,2012-07-12,42,20.6,32.2,25.1,NA,6.023,0,6.023,1.32,0,1.32,0,0,257.25,156.85,0,156.85,0,0,NA,NA,NA,1.114,0.14,0.037,0.014,0.007,0.005,0.003,0,0
43,CRDA1201,RICER048,1,1,2012-07-13,43,15,29.6,25.1,NA,4.266,0,4.266,1.313,0,1.313,0,0,261.52,158.17,0,158.17,0,0,NA,NA,NA,1.106,0.14,0.037,0.014,0.007,0.005,0.003,0,0
44,CRDA1201,RICER048,1,1,2012-07-14,44,17.1,28.7,24.8,NA,4.805,0,4.805,4.805,0,4.805,0,0,266.33,162.97,0,162.97,0,0,NA,NA,NA,1.425,0.968,0.716,0.502,0.4,0.431,0.363,0,0
45,CRDA1201,RICER048,1,1,2012-07-15,45,16.1,29.8,24.3,NA,4.627,0,4.627,4.627,0,4.627,0,0,270.95,167.6,0,167.6,0,0,NA,NA,NA,1.419,0.979,0.695,0.466,0.362,0.385,0.32,0,0
46,CRDA1201,RICER048,1,1,2012-07-16,46,13.7,27.2,24.4,NA,3.832,0,3.832,3.832,0,3.832,0,0,274.78,171.43,0,171.43,0,0,NA,NA,NA,1.137,0.803,0.597,0.402,0.308,0.321,0.263,0,0
47,CRDA1201,RICER048,1,1,2012-07-17,47,20.7,31.1,23.6,NA,5.996,0,5.996,5.996,0,5.996,0,0,280.78,177.43,0,177.43,0,0,NA,NA,NA,1.766,1.245,0.923,0.637,0.492,0.512,0.421,0,0
48,CRDA1201,RICER048,1,1,2012-07-18,48,9.8,27.9,23.8,NA,2.743,0,2.743,2.743,0,2.743,0,0,283.52,180.17,0,180.17,0,0,NA,NA,NA,0.803,0.562,0.42,0.293,0.229,0.239,0.197,0,0
49,CRDA1201,RICER048,1,1,2012-07-19,49,19.1,32.1,23.2,NA,5.586,0.011,5.575,5.586,0.011,5.575,0,0,289.11,185.75,0.01,185.74,0,0,NA,NA,NA,1.586,1.126,0.86,0.605,0.479,0.502,0.417,0.001,0.298
50,CRDA1201,RICER048,1,1,2012-07-20,50,21.4,31.5,24.2,NA,6.197,0.018,6.18,6.197,0.018,6.18,0,0,295.31,191.95,0.03,191.92,0,0,NA,NA,NA,1.773,1.236,0.947,0.667,0.528,0.56,0.468,0.002,0.298
51,CRDA1201,RICER048,1,1,2012-07-21,51,13.4,31,24.4,NA,3.884,0.014,3.87,3.884,0.014,3.87,0,0,299.19,195.84,0.04,195.79,0,0,NA,NA,NA,1.149,0.775,0.584,0.408,0.323,0.343,0.287,0.001,0.297
52,CRDA1201,RICER048,1,1,2012-07-22,52,17.5,30.7,24.7,NA,5.081,0.023,5.058,5.081,0.023,5.058,0,0,304.27,200.92,0.07,200.85,0,0,NA,NA,NA,1.515,1.025,0.763,0.529,0.416,0.441,0.369,0.002,0.296
53,CRDA1201,RICER048,1,1,2012-07-23,53,21.4,29,24.5,NA,6.084,0.035,6.049,6.083,0.035,6.049,0,0,310.36,207,0.1,206.9,0,0,NA,NA,NA,1.795,1.228,0.919,0.637,0.499,0.528,0.442,0.003,0.296
54,CRDA1201,RICER048,1,1,2012-07-24,54,20.6,31.6,23.5,NA,5.968,0.041,5.927,5.968,0.041,5.927,0,0,316.32,212.97,0.14,212.83,0,0,NA,NA,NA,1.757,1.192,0.902,0.627,0.493,0.521,0.435,0.004,0.297
55,CRDA1201,RICER048,1,1,2012-07-25,55,7.6,31.2,24.2,NA,2.203,0.018,2.185,2.203,0.018,2.185,0,0,318.53,215.17,0.16,215.01,0,0,NA,NA,NA,0.641,0.436,0.334,0.233,0.184,0.195,0.163,0.002,0.298
