Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,L_SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,EWAD,CWAD,G_AD,GWGD,HIAD,T_AD,WSPD,WSGD,EWSD,NSTD,KSTD,LN_D,SH_D,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,SNW0C,SNW1C,DTTC
1,CRDA1201,RICER048,1,1,2012-07-13,43,0,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,17
2,CRDA1201,RICER048,1,1,2012-07-14,44,1,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,34
3,CRDA1201,RICER048,1,1,2012-07-15,45,2,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,52
4,CRDA1201,RICER048,1,1,2012-07-16,46,3,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,70
5,CRDA1201,RICER048,1,1,2012-07-17,47,4,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,88
6,CRDA1201,RICER048,1,1,2012-07-18,48,5,1,1,0.01,2,1,0,1,0,3,0,0,0,60,0,0,0,0,0,0,0,279.3,0,0,0.07,0.73,0.5,0,0,0,0,0,106
7,CRDA1201,RICER048,1,1,2012-07-19,49,6,1,1,0.01,3,1,0,1,0,4,0,0,0,60,0,0,0,0,0,0,0,239.9,0,0,0.07,0.73,0.5,0,0,0,0,0,124
8,CRDA1201,RICER048,1,1,2012-07-20,50,7,2,1,0.01,5,1,0,1,0,5,0,0,0,60,0,0,0,0,0,0,0,222.9,0,0,0.11,0.73,0.5,0,0,0,0,0,141
9,CRDA1201,RICER048,1,1,2012-07-21,51,8,2,1,0.01,6,1,0,2,0,7,0,0,0,60,0,0,0,0,0,0,0,212.8,0,0,0.14,0.73,0.5,0,0,0,0,0,158
10,CRDA1201,RICER048,1,1,2012-07-22,52,9,2,1,0.02,8,1,0,2,0,8,0,0,0,60,0,0,0,0,0,0,0,206,0,0,0.17,0.73,0.5,0,0,0,0,0,176
11,CRDA1201,RICER048,1,1,2012-07-23,53,10,3,1,0.02,10,1,0,4,0,10,0,0,0,60,0,0,0,0,0,0,0,201.5,0,0,0.2,0.73,0.5,0,0,0,0,0,193
12,CRDA1201,RICER048,1,1,2012-07-24,54,11,3,1,0.02,12,1,0,4,0,12,0,0,0,60,0,0,0,0,0,0,0,198.2,0,0,0.23,0.73,0.5,0,0,0,0,0,209
13,CRDA1201,RICER048,1,1,2012-07-25,55,12,4,1,0.03,14,1,0,6,0,15,0,0,0,60,0,0,0,0,0,0,0,195.5,0,0,0.26,0.73,0.5,0.01,0,0,0,0,227
14,CRDA1201,RICER048,1,1,2012-07-26,56,13,4,2,0.03,17,1,0,7,0,18,0,0,0,60,0,0,0,0,0,0,0,190.8,0,0,0.29,0.74,0.51,0.01,0,0,0,0,245
15,CRDA1201,RICER048,1,1,2012-07-27,57,14,4,2,0.04,19,1,0,9,0,21,0,0,0,60,0,0,0,0,0,0,0,187.3,0,0,0.32,0.74,0.51,0.02,0,0,0,0,262
16,CRDA1201,RICER048,1,1,2012-07-28,58,15,5,2,0.04,23,2,0,11,0,24,0,0,0,60,0,0,0,0,0,0,0,184.5,0,0,0.35,0.74,0.51,0.02,0,0,0,0,279
17,CRDA1201,RICER048,1,1,2012-07-29,59,16,5,2,0.05,25,2,0,14,0,28,0,0,0,60,0,0,0,0,0,0,0,182.5,0,0,0.38,0.74,0.52,0.03,0.01,0,0,0,297
18,CRDA1201,RICER048,1,1,2012-07-30,60,17,5,2,0.05,28,3,0,18,0,31,0,0,0,60,0,0,0,0,0,0,0,180.9,0,0,0.42,0.75,0.52,0.04,0.01,0,0,0,314
19,CRDA1201,RICER048,1,1,2012-07-31,61,18,5,2,0.06,31,3,0,23,0,34,0,0,0,60,0,0,0,0,0,0,0,179.6,0,0,0.45,0.75,0.53,0.05,0.02,0,0,0,330
20,CRDA1201,RICER048,1,1,2012-08-01,62,19,6,2,0.07,35,7,0,25,0,42,0,0,0,75,0,0,0,0,0,0,0,188.3,0,0,0.47,0.76,0.54,0.06,0.03,0,0,0,346
21,CRDA1201,RICER048,1,1,2012-08-02,63,20,6,2,0.07,39,10,0,26,0,49,0,0,0,82,0,0,0,0,0,0,0,187.7,0,0,0.5,0.76,0.54,0.06,0.04,0,0,0,363
22,CRDA1201,RICER048,1,1,2012-08-03,64,21,6,2,0.08,44,14,0,28,0,59,0,0,0,86,0,0,0,0,0,0,0,185.3,0,0,0.53,0.76,0.54,0.06,0.04,0,0,0,380
