Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,0.3,12,12.9,23.9,47.8,0.11,40.3,26.9,33.3,35.5,12.3,33.3,35.5,269,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,0.1,12,12.9,24.8,49.6,0.07,39.5,25.8,32.4,34.6,12.8,32.4,34.6,401,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,0.7,12,12.9,16.8,33.6,0.37,41.2,25.9,33.2,35.7,11.9,33.2,35.7,248,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,2.7,12,12.9,24.5,49,0.08,40.6,28,34,36.1,14.9,34,36.1,229,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,0.1,12,12.9,25.7,51.4,0.04,40.6,26.4,33.2,35.5,14.8,33.2,35.5,334,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,0.2,12,12.9,26.2,52.4,0.02,40.4,26.5,33.1,35.4,14.1,33.1,35.4,388,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,0,12,12.9,25.5,51,0.05,41.1,25.7,33.1,35.6,10.9,33.1,35.6,291,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,0,12,12.9,23.4,46.8,0.12,38.3,25.3,31.5,33.6,12.5,31.5,33.6,336,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,0.1,12,12.9,23.8,47.6,0.11,40.4,26.6,33.2,35.4,14.3,33.2,35.4,262,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,2.1,12,12.9,24.4,48.8,0.08,41.7,27.2,34.1,36.5,14.8,34.1,36.5,273,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,2.1,12,12.9,22.5,45,0.16,39.1,27.4,33,34.9,17.3,33,34.9,430,393.6,0,0,NA,2012-06-11
