Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,19.5,32.2,27.2,NA,5.8,0,5.8,5.8,0,5.8,0,0,5.8,5.8,0,5.8,0,0,NA,NA,NA,1.532,1.076,0.959,0.665,0.523,0.567,0.477,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,25.6,40.5,26.6,NA,10.365,0,10.365,6.89,0,6.89,0,0,16.16,12.69,0,12.69,0,0,NA,NA,NA,1.741,1.278,1.156,0.81,0.635,0.69,0.58,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,25.1,41,26.2,NA,10.241,0,10.241,1.249,0,1.249,0,0,26.41,13.94,0,13.94,0,0,NA,NA,NA,1.026,0.139,0.047,0.017,0.009,0.007,0.004,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,20,37,27.8,NA,6.778,0,6.778,1.227,0,1.227,0,0,33.18,15.17,0,15.17,0,0,NA,NA,NA,1.005,0.138,0.047,0.017,0.009,0.007,0.004,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,25,35.3,27.2,NA,7.727,0,7.727,1.31,0,1.31,0,0,40.91,16.48,0,16.48,0,0,NA,NA,NA,1.087,0.14,0.047,0.017,0.009,0.007,0.004,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,25.3,39,27.2,NA,9.501,0,9.501,6.782,0,6.782,0,0,50.41,23.26,0,23.26,0,0,NA,NA,NA,1.718,1.255,1.137,0.792,0.625,0.681,0.574,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,25.8,38.3,26.7,NA,9.324,0,9.324,6.701,0,6.701,0,0,59.74,29.96,0,29.96,0,0,NA,NA,NA,1.71,1.235,1.127,0.776,0.615,0.672,0.567,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,23.1,40.6,27.4,NA,9.355,0,9.355,1.309,0,1.309,0,0,69.09,31.27,0,31.27,0,0,NA,NA,NA,1.09,0.137,0.046,0.017,0.009,0.007,0.004,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,23.4,38.6,26.5,NA,8.54,0,8.54,1.282,0,1.282,0,0,77.63,32.55,0,32.55,0,0,NA,NA,NA,1.063,0.137,0.046,0.017,0.009,0.007,0.004,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,23.5,37.7,26.6,NA,8.224,0,8.224,6.638,0,6.638,0,0,85.85,39.19,0,39.19,0,0,NA,NA,NA,1.704,1.234,1.112,0.759,0.604,0.663,0.561,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,22.6,38.6,26.8,NA,8.311,0,8.311,6.511,0,6.511,0,0,94.17,45.7,0,45.7,0,0,NA,NA,NA,1.661,1.212,1.091,0.744,0.594,0.654,0.555,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,19.8,40.4,26.6,NA,7.867,0,7.867,1.254,0,1.254,0,0,102.03,46.95,0,46.95,0,0,NA,NA,NA,1.043,0.132,0.044,0.016,0.008,0.006,0.004,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,23.4,37.3,27.2,NA,8.049,0,8.049,6.608,0,6.608,0,0,110.08,53.56,0,53.56,0,0,NA,NA,NA,1.801,1.22,1.079,0.728,0.585,0.646,0.549,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,24.8,37.5,25.9,NA,8.644,0,8.644,6.565,0,6.565,0,0,118.73,60.13,0,60.13,0,0,NA,NA,NA,1.778,1.243,1.077,0.713,0.575,0.637,0.542,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,24.6,41.8,26.7,NA,10.444,0,10.444,1.252,0,1.252,0,0,129.17,61.38,0,61.38,0,0,NA,NA,NA,1.038,0.137,0.044,0.015,0.008,0.006,0.004,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,25.8,41.4,26.3,NA,10.686,0,10.686,1.16,0,1.16,0,0,139.86,62.54,0,62.54,0,0,NA,NA,NA,0.947,0.136,0.044,0.015,0.008,0.006,0.004,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,23.5,39.1,28.5,NA,8.843,0,8.843,1.108,0,1.108,0,0,148.7,63.65,0,63.65,0,0,NA,NA,NA,0.896,0.135,0.044,0.015,0.008,0.006,0.004,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,23.2,37.9,28.8,NA,8.244,0,8.244,1.075,0,1.075,0,0,156.94,64.72,0,64.72,0,0,NA,NA,NA,0.864,0.134,0.044,0.015,0.008,0.006,0.004,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,25.5,40.7,27.6,NA,10.25,0,10.25,1.041,0,1.041,0,0,167.19,65.76,0,65.76,0,0,NA,NA,NA,0.83,0.134,0.044,0.015,0.008,0.006,0.004,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,25.4,40.5,27.2,NA,10.082,0,10.082,1.046,0,1.046,0,0,177.28,66.81,0,66.81,0,0,NA,NA,NA,0.837,0.133,0.044,0.015,0.008,0.006,0.004,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,19.6,38.6,28.1,NA,7.166,0,7.166,1.028,0,1.028,0,0,184.44,67.84,0,67.84,0,0,NA,NA,NA,0.819,0.132,0.044,0.015,0.008,0.006,0.004,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,23.9,39.6,26.6,NA,9.051,0,9.051,0.965,0,0.965,0,0,193.49,68.8,0,68.8,0,0,NA,NA,NA,0.757,0.131,0.044,0.015,0.008,0.006,0.004,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,20.9,38.5,27.8,NA,7.547,0,7.547,1.038,0,1.038,0,0,201.04,69.84,0,69.84,0,0,NA,NA,NA,0.831,0.13,0.044,0.015,0.008,0.006,0.004,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,23.6,33,26.3,NA,6.962,0,6.962,6.792,0,6.792,0,0,208,76.63,0,76.63,0,0,NA,NA,NA,1.71,1.342,1.192,0.781,0.603,0.628,0.536,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,24.3,33.5,25.2,NA,7.279,0,7.279,7.279,0,7.279,0,0,215.28,83.91,0,83.91,0,0,NA,NA,NA,1.922,1.464,1.277,0.846,0.633,0.626,0.512,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,23.5,32.1,24.6,NA,6.905,0,6.905,6.905,0,6.905,0,0,222.18,90.82,0,90.82,0,0,NA,NA,NA,1.809,1.353,1.182,0.815,0.624,0.631,0.491,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,22.3,34.1,23.8,NA,6.655,0,6.655,6.655,0,6.655,0,0,228.84,97.47,0,97.47,0,0,NA,NA,NA,1.633,1.242,1.142,0.808,0.639,0.665,0.526,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,25.4,36.8,23.7,NA,8.33,0,8.33,7.201,0,7.201,0,0,237.17,104.67,0,104.67,0,0,NA,NA,NA,1.815,1.354,1.21,0.852,0.673,0.715,0.583,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,23.1,33.6,24.6,NA,6.895,0,6.895,6.895,0,6.895,0,0,244.06,111.57,0,111.57,0,0,NA,NA,NA,1.807,1.282,1.141,0.798,0.631,0.676,0.56,0,0
30,CRDA1201,RICER048,1,1,2012-06-30,30,18.6,33.9,24.9,NA,5.551,0,5.551,5.551,0,5.551,0,0,249.62,117.12,0,117.12,0,0,NA,NA,NA,1.382,1.023,0.936,0.656,0.52,0.563,0.47,0,0
31,CRDA1201,RICER048,1,1,2012-07-01,31,18.9,32.2,25.9,NA,5.561,0,5.561,5.561,0,5.561,0,0,255.18,122.68,0,122.68,0,0,NA,NA,NA,1.442,1.043,0.922,0.642,0.506,0.548,0.458,0,0
32,CRDA1201,RICER048,1,1,2012-07-02,32,23.9,31.4,25,NA,7.005,0,7.005,7.005,0,7.005,0,0,262.18,129.68,0,129.68,0,0,NA,NA,NA,1.91,1.329,1.143,0.788,0.617,0.664,0.555,0,0
33,CRDA1201,RICER048,1,1,2012-07-03,33,20.5,32.6,24.6,NA,6.018,0,6.018,6.018,0,6.018,0,0,268.2,135.7,0,135.7,0,0,NA,NA,NA,1.599,1.116,0.987,0.692,0.545,0.588,0.492,0,0
34,CRDA1201,RICER048,1,1,2012-07-04,34,24.4,33,24.9,NA,7.256,0,7.256,6.961,0,6.961,0,0,275.46,142.66,0,142.66,0,0,NA,NA,NA,1.809,1.29,1.146,0.808,0.639,0.691,0.578,0,0
35,CRDA1201,RICER048,1,1,2012-07-05,35,25,37.5,24.6,NA,8.556,0,8.556,6.647,0,6.647,0,0,284.01,149.31,0,149.31,0,0,NA,NA,NA,1.626,1.226,1.115,0.792,0.63,0.684,0.573,0,0
