Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-14.23972222,13.85972222,2022,1,1,1,2022-01-01,20.98,33.58,17.32,23.72,5.68,32.88,0,3.05,69.38,0.38,0.42,0.43
2,-14.23972222,13.85972222,2022,1,2,2,2022-01-02,21.4,34.55,16.15,24.36,5.19,29.69,0,3.41,63.88,0.38,0.41,0.43
3,-14.23972222,13.85972222,2022,1,3,3,2022-01-03,19.58,34.23,15.21,24.09,5.07,28.94,0,2.77,65.81,0.38,0.41,0.42
4,-14.23972222,13.85972222,2022,1,4,4,2022-01-04,20.23,34.01,15.15,23.73,5.62,32.69,0,2.76,79.94,0.38,0.41,0.42
5,-14.23972222,13.85972222,2022,1,5,5,2022-01-05,21.23,34.48,15.39,24.12,5.25,29.88,0,3.08,62.94,0.37,0.41,0.41
6,-14.23972222,13.85972222,2022,1,6,6,2022-01-06,20.34,33.55,15.57,23.59,4.7,28.06,0,3.13,51.81,0.36,0.41,0.41
7,-14.23972222,13.85972222,2022,1,7,7,2022-01-07,20.74,33.87,15.73,23.9,4.7,27.88,0,2.58,49.31,0.36,0.4,0.41
8,-14.23972222,13.85972222,2022,1,8,8,2022-01-08,20.75,33.88,15.95,24.48,5.31,29.31,0,2.41,70.94,0.35,0.4,0.41
9,-14.23972222,13.85972222,2022,1,9,9,2022-01-09,18.18,32.29,18.38,24.28,4.64,25.88,0,3.57,56,0.35,0.4,0.41
10,-14.23972222,13.85972222,2022,1,10,10,2022-01-10,15.32,31.65,17.56,23.78,4.64,26.38,0,3.5,36.06,0.34,0.4,0.41
11,-14.23972222,13.85972222,2022,1,11,11,2022-01-11,19.43,34.36,16.5,25.35,4.94,26.19,0,2,45.69,0.33,0.39,0.4
12,-14.23972222,13.85972222,2022,1,12,12,2022-01-12,20.57,35.33,18.13,26.67,5.49,28,0,1.99,72.12,0.32,0.39,0.4
13,-14.23972222,13.85972222,2022,1,13,13,2022-01-13,17.04,35.76,18.7,26.44,5.86,29.38,0,1.7,141.31,0.31,0.39,0.4
14,-14.23972222,13.85972222,2022,1,14,14,2022-01-14,20.29,37.17,19.79,27.83,6.16,28.44,0,2.1,181.88,0.3,0.39,0.4
15,-14.23972222,13.85972222,2022,1,15,15,2022-01-15,18.91,35.68,20.59,27.46,8.18,37.12,0,3.44,118.81,0.3,0.38,0.39
16,-14.23972222,13.85972222,2022,1,16,16,2022-01-16,9.98,33.91,21.11,26.97,11.29,53.19,0,2,145.75,0.3,0.38,0.39
17,-14.23972222,13.85972222,2022,1,17,17,2022-01-17,20.52,35.9,21.01,27.47,7.14,34.19,0,2.5,96.06,0.29,0.38,0.39
18,-14.23972222,13.85972222,2022,1,18,18,2022-01-18,21.85,37.05,19.39,27.16,4.27,20.56,0,3.58,83,0.27,0.38,0.39
