Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-13.90972222,13.82972222,2013,1,1,1,2013-01-01,18.22,32.56,14.21,22.48,3.17,21,0,4.23,67.75,0.21,0.37,0.38
2,-13.90972222,13.82972222,2013,1,2,2,2013-01-02,21.24,32.34,14.65,22.88,3.11,19.56,0,3.68,74.38,0.21,0.37,0.38
3,-13.90972222,13.82972222,2013,1,3,3,2013-01-03,20.22,34.52,16.08,24.76,2.99,16.62,0,3.74,69.69,0.2,0.37,0.38
4,-13.90972222,13.82972222,2013,1,4,4,2013-01-04,19.15,33.6,17.19,24.2,2.87,16.56,0,4.31,66.12,0.2,0.37,0.38
5,-13.90972222,13.82972222,2013,1,5,5,2013-01-05,13.98,29.14,16.23,21.88,2.93,18.88,0,4.5,66.38,0.2,0.37,0.38
6,-13.90972222,13.82972222,2013,1,6,6,2013-01-06,16.77,29.1,16.33,21.69,3.3,21.62,0,3.6,69.31,0.2,0.37,0.38
7,-13.90972222,13.82972222,2013,1,7,7,2013-01-07,18.79,31.73,15.5,22.03,3.05,20.38,0,3.52,69.06,0.2,0.37,0.38
8,-13.90972222,13.82972222,2013,1,8,8,2013-01-08,20.11,33.65,14.01,22.98,3.11,19.12,0,3.44,65.62,0.19,0.37,0.38
9,-13.90972222,13.82972222,2013,1,9,9,2013-01-09,16.74,34.48,17.52,25.32,3.78,19.75,0,3.46,76.19,0.18,0.37,0.38
10,-13.90972222,13.82972222,2013,1,10,10,2013-01-10,16.9,34.48,19.23,26.06,4.21,21.31,0,3.23,71.75,0.18,0.37,0.38
11,-13.90972222,13.82972222,2013,1,11,11,2013-01-11,18.91,36.87,20.21,27.65,3.3,15.19,0,3.52,56.25,0.17,0.37,0.38
12,-13.90972222,13.82972222,2013,1,12,12,2013-01-12,19.32,36.83,21.58,28.33,3.36,14.69,0,4.07,64.81,0.17,0.37,0.37
13,-13.90972222,13.82972222,2013,1,13,13,2013-01-13,20.77,38.06,20.87,28.23,3.36,14.94,0,4.09,63.06,0.16,0.37,0.37
14,-13.90972222,13.82972222,2013,1,14,14,2013-01-14,20.61,37.52,18.77,27.13,2.75,13.31,0,3.77,63.94,0.16,0.37,0.37
15,-13.90972222,13.82972222,2013,1,15,15,2013-01-15,22.01,37.44,17.26,26.46,2.14,10.81,0,4.12,66.44,0.16,0.37,0.37
16,-13.90972222,13.82972222,2013,1,16,16,2013-01-16,22.11,35.35,15.83,24.61,1.77,9.81,0,5.21,67.81,0.15,0.37,0.37
17,-13.90972222,13.82972222,2013,1,17,17,2013-01-17,21.45,34.5,16.5,24.01,1.83,10.69,0,4.64,62.38,0.15,0.37,0.37
18,-13.90972222,13.82972222,2013,1,18,18,2013-01-18,21.08,35.76,15.48,24.5,1.65,9.12,0,3.9,57.44,0.14,0.37,0.37
