Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-15.78972222,13.75972222,2015,1,1,1,2015-01-01,17.51,31.8,13.41,21.43,3.17,21.75,0,3.17,57.44,0.34,0.42,0.53
2,-15.78972222,13.75972222,2015,1,2,2,2015-01-02,14.74,30.33,15.89,21.77,3.54,22.56,0,3.29,70.06,0.34,0.42,0.53
3,-15.78972222,13.75972222,2015,1,3,3,2015-01-03,14.58,31.56,15.08,21.94,3.91,24.19,0,2.98,72.5,0.34,0.42,0.53
4,-15.78972222,13.75972222,2015,1,4,4,2015-01-04,15.79,34.57,15.95,24.4,4.27,23.94,0,2.78,65.81,0.34,0.42,0.53
5,-15.78972222,13.75972222,2015,1,5,5,2015-01-05,16.04,33.07,18.15,24.08,3.42,20,0,3.62,42.81,0.34,0.42,0.53
6,-15.78972222,13.75972222,2015,1,6,6,2015-01-06,18.64,33.68,15.02,23.31,3.17,19.81,0,3.08,48.44,0.33,0.42,0.53
7,-15.78972222,13.75972222,2015,1,7,7,2015-01-07,20.34,32.91,15.75,22.58,3.11,19.56,0,2.52,32.25,0.33,0.41,0.53
8,-15.78972222,13.75972222,2015,1,8,8,2015-01-08,15.12,28.41,16.3,20.9,3.17,21.44,0,2.67,27.69,0.34,0.41,0.53
9,-15.78972222,13.75972222,2015,1,9,9,2015-01-09,18.24,33.34,13.62,22.92,3.97,23.38,0,2.22,121.88,0.34,0.41,0.53
10,-15.78972222,13.75972222,2015,1,10,10,2015-01-10,10.04,33.22,16.5,24.48,6.23,33.81,0,1.67,196.12,0.34,0.41,0.53
11,-15.78972222,13.75972222,2015,1,11,11,2015-01-11,11.45,34.48,17.08,25.15,5.37,29.62,0,1.81,111.25,0.34,0.41,0.53
12,-15.78972222,13.75972222,2015,1,12,12,2015-01-12,11.8,33.23,18.04,24.44,5.07,28.44,0,1.71,59,0.34,0.41,0.53
13,-15.78972222,13.75972222,2015,1,13,13,2015-01-13,15.07,33.29,15.28,23.46,4.15,25,0,1.89,135.25,0.34,0.41,0.52
14,-15.78972222,13.75972222,2015,1,14,14,2015-01-14,19.14,33.75,15.83,24.18,4.33,25.19,0,2.09,57,0.34,0.41,0.52
15,-15.78972222,13.75972222,2015,1,15,15,2015-01-15,14.65,31.94,17.26,24.08,4.15,24.06,0,1.52,83.5,0.34,0.41,0.52
16,-15.78972222,13.75972222,2015,1,16,16,2015-01-16,14.68,33.93,16.65,25.1,4.27,24,0,1.45,111.69,0.34,0.41,0.52
17,-15.78972222,13.75972222,2015,1,17,17,2015-01-17,19.28,34.97,15.49,24.27,3.78,22.5,0,2.45,30.5,0.33,0.41,0.52
18,-15.78972222,13.75972222,2015,1,18,18,2015-01-18,18.88,34.81,15.65,24.12,3.78,21.81,0,3.27,32.31,0.32,0.41,0.52
19,-15.78972222,13.75972222,2015,1,19,19,2015-01-19,18.3,33.76,15.71,24.17,4.09,23.38,0,2.89,40.38,0.32,0.41,0.52
20,-15.78972222,13.75972222,2015,1,20,20,2015-01-20,20.62,33.81,15.9,24.12,3.78,21.88,0,2.16,81.62,0.32,0.41,0.52
21,-15.78972222,13.75972222,2015,1,21,21,2015-01-21,19.99,31.32,17.35,23.55,5.37,31.44,0,2.29,32.81,0.32,0.41,0.52
22,-15.78972222,13.75972222,2015,1,22,22,2015-01-22,11.85,31.66,18.5,23.83,4.7,26.81,0,2.55,45.62,0.32,0.41,0.52
23,-15.78972222,13.75972222,2015,1,23,23,2015-01-23,18.88,34.27,19.42,25.98,4.76,24.06,0,2.65,38.94,0.32,0.41,0.52
24,-15.78972222,13.75972222,2015,1,24,24,2015-01-24,15.87,35.06,19.55,26.01,4.09,20.5,0,2.99,22.88,0.31,0.41,0.52
25,-15.78972222,13.75972222,2015,1,25,25,2015-01-25,21.42,35.76,17.85,25.5,3.36,17.94,0,2.85,21.44,0.3,0.41,0.52
26,-15.78972222,13.75972222,2015,1,26,26,2015-01-26,20.52,35.28,16.38,24.94,3.05,16.88,0,3.46,47.62,0.3,0.41,0.52
27,-15.78972222,13.75972222,2015,1,27,27,2015-01-27,20.88,34.22,16.98,24.41,2.44,14.06,0,3.74,43.62,0.3,0.41,0.52
28,-15.78972222,13.75972222,2015,1,28,28,2015-01-28,19.28,34.31,17.44,24.86,2.08,11.5,0,3.76,49.44,0.29,0.41,0.52
