Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-14.94972222,12.85972222,2012,1,1,1,2012-01-01,16.72,29.79,15.41,21.07,3.91,25.88,0,3.52,48.94,0.36,0.4,0.56
2,-14.94972222,12.85972222,2012,1,2,2,2012-01-02,18.93,33.55,14.87,23.09,4.39,26.25,0,2.92,50,0.35,0.4,0.56
3,-14.94972222,12.85972222,2012,1,3,3,2012-01-03,17.09,34.59,16.81,24.77,4.76,25.31,0,2.95,51.06,0.35,0.4,0.56
4,-14.94972222,12.85972222,2012,1,4,4,2012-01-04,15.21,33.7,18.06,24.67,5.37,27.62,0,2.77,51.94,0.35,0.4,0.56
5,-14.94972222,12.85972222,2012,1,5,5,2012-01-05,18.7,35.73,18.67,26.1,5.31,26.06,0,3.06,56.06,0.35,0.4,0.56
6,-14.94972222,12.85972222,2012,1,6,6,2012-01-06,19.63,34.87,17.41,25.5,5.55,29,0,2.4,80.31,0.35,0.4,0.56
7,-14.94972222,12.85972222,2012,1,7,7,2012-01-07,20.02,34.52,17.4,24.86,5.74,31.12,0,2.26,48.06,0.35,0.4,0.55
8,-14.94972222,12.85972222,2012,1,8,8,2012-01-08,20.14,35.83,18.64,26.15,5.37,27.06,0,2.18,54.38,0.34,0.4,0.55
9,-14.94972222,12.85972222,2012,1,9,9,2012-01-09,20.89,35.79,16.57,25.45,5.13,28.38,0,2.27,52.69,0.34,0.4,0.55
10,-14.94972222,12.85972222,2012,1,10,10,2012-01-10,19.86,36.53,15.9,25.21,4.46,25,0,2.44,52.44,0.34,0.4,0.55
11,-14.94972222,12.85972222,2012,1,11,11,2012-01-11,20.66,35.79,17.6,25.26,5.49,29.12,0,1.42,136.88,0.34,0.4,0.55
12,-14.94972222,12.85972222,2012,1,12,12,2012-01-12,20.44,36.92,17.4,26,6.9,37.5,0,1.55,242.5,0.34,0.4,0.55
13,-14.94972222,12.85972222,2012,1,13,13,2012-01-13,21.96,37.4,16.17,26.22,5.19,27.94,0,2.59,63.56,0.34,0.4,0.55
