Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-15.80972222,12.72972222,2017,1,1,1,2017-01-01,20.34,31.82,15.08,23.28,8.85,51.25,0,1.8,56.31,0.6,0.6,0.79
2,-15.80972222,12.72972222,2017,1,2,2,2017-01-02,21.21,31.58,15.39,23.08,8.42,50.19,0,1.84,61.06,0.6,0.6,0.79
3,-15.80972222,12.72972222,2017,1,3,3,2017-01-03,21.1,31.88,14.56,22.89,8.61,51.31,0,1.91,60.12,0.6,0.6,0.78
4,-15.80972222,12.72972222,2017,1,4,4,2017-01-04,22.12,30.93,14.01,21.44,7.2,47.44,0,2.4,45.06,0.59,0.6,0.78
5,-15.80972222,12.72972222,2017,1,5,5,2017-01-05,22.06,30.12,12.69,21.44,6.53,43,0,1.85,86.5,0.59,0.59,0.78
6,-15.80972222,12.72972222,2017,1,6,6,2017-01-06,21.38,31.25,12.9,21.95,7.2,46.19,0,1.57,145.62,0.59,0.59,0.78
7,-15.80972222,12.72972222,2017,1,7,7,2017-01-07,20.93,31.5,14.07,21.85,8.42,52.88,0,1.41,143.62,0.59,0.59,0.78
8,-15.80972222,12.72972222,2017,1,8,8,2017-01-08,17.38,32.41,17.82,23.69,10.13,58.62,0,0.95,208.12,0.59,0.59,0.77
9,-15.80972222,12.72972222,2017,1,9,9,2017-01-09,14.11,26.65,16.21,21.56,9.09,57.44,0,1.48,114.25,0.59,0.59,0.77
10,-15.80972222,12.72972222,2017,1,10,10,2017-01-10,18.93,29.83,16.68,21.76,7.08,44.81,0,2.49,45.06,0.59,0.59,0.77
11,-15.80972222,12.72972222,2017,1,11,11,2017-01-11,8.55,29.81,15.21,21.01,6.47,43.5,0,2.41,52.06,0.59,0.59,0.77
12,-15.80972222,12.72972222,2017,1,12,12,2017-01-12,22.03,30.12,13.54,21.55,6.47,42.69,0,2.02,39.12,0.59,0.59,0.77
13,-15.80972222,12.72972222,2017,1,13,13,2017-01-13,20.69,30.51,12.48,21.69,7.75,48.31,0,1.57,65.06,0.59,0.59,0.77
14,-15.80972222,12.72972222,2017,1,14,14,2017-01-14,20.02,30.67,13.55,22.2,7.63,48.06,0,1.66,102.25,0.59,0.59,0.77
15,-15.80972222,12.72972222,2017,1,15,15,2017-01-15,17.63,31.18,14.48,22.72,8.42,51.38,0,1.35,135.75,0.59,0.59,0.77
16,-15.80972222,12.72972222,2017,1,16,16,2017-01-16,20.55,31.62,16.29,23.66,9.28,54.06,0,1.34,153.06,0.58,0.59,0.77
