Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-16.29972222,13.89972222,2015,1,1,1,2015-01-01,16.36,31.13,13.35,21.3,3.54,24.31,0,2.84,56.81,0.33,0.42,0.57
2,-16.29972222,13.89972222,2015,1,2,2,2015-01-02,14.16,29.48,15.98,21.64,3.85,24.62,0,2.98,69.25,0.33,0.42,0.57
3,-16.29972222,13.89972222,2015,1,3,3,2015-01-03,15.92,30.53,15.8,21.68,4.15,26.06,0,2.88,71.81,0.33,0.42,0.57
4,-16.29972222,13.89972222,2015,1,4,4,2015-01-04,16.27,33.76,15.74,24.12,4.64,26.19,0,2.51,61,0.33,0.42,0.57
5,-16.29972222,13.89972222,2015,1,5,5,2015-01-05,16.75,32.44,18.02,23.94,3.91,22.81,0,3.38,37.75,0.32,0.41,0.57
6,-16.29972222,13.89972222,2015,1,6,6,2015-01-06,18.57,32.71,15.14,22.95,3.6,22.56,0,2.94,43.81,0.32,0.41,0.57
7,-16.29972222,13.89972222,2015,1,7,7,2015-01-07,20.36,32.55,16.68,22.7,3.48,21.62,0,2.57,26.5,0.31,0.41,0.57
8,-16.29972222,13.89972222,2015,1,8,8,2015-01-08,13.69,29.01,16.8,21.18,3.85,25.75,0,2.68,25,0.31,0.41,0.57
9,-16.29972222,13.89972222,2015,1,9,9,2015-01-09,17.86,32.39,13.81,22.56,4.03,25.25,0,2.25,115.94,0.32,0.41,0.57
10,-16.29972222,13.89972222,2015,1,10,10,2015-01-10,12.39,33.11,15.69,23.56,7.81,47.69,0,1.75,181.94,0.32,0.41,0.57
11,-16.29972222,13.89972222,2015,1,11,11,2015-01-11,9.97,33.04,17.57,24.15,6.47,38.44,0,1.98,123.25,0.33,0.41,0.57
12,-16.29972222,13.89972222,2015,1,12,12,2015-01-12,10.5,32.98,17.79,24.08,5.37,29.94,0,1.61,114.75,0.33,0.41,0.57
13,-16.29972222,13.89972222,2015,1,13,13,2015-01-13,13.82,32.41,15.71,23.19,4.46,27.38,0,2.03,137.44,0.32,0.41,0.57
14,-16.29972222,13.89972222,2015,1,14,14,2015-01-14,19.26,33.12,16.02,23.89,5.55,34.19,0,2.09,179.94,0.32,0.41,0.57
15,-16.29972222,13.89972222,2015,1,15,15,2015-01-15,15.31,30.9,16.5,23.36,6.23,41.12,0,1.83,113.19,0.33,0.41,0.57
16,-16.29972222,13.89972222,2015,1,16,16,2015-01-16,12.72,33.65,16.21,24.51,4.39,25.44,0,1.7,102.12,0.33,0.41,0.57
17,-16.29972222,13.89972222,2015,1,17,17,2015-01-17,19.98,34.36,15.6,24.09,4.09,24.19,0,2.46,28.81,0.32,0.41,0.56
18,-16.29972222,13.89972222,2015,1,18,18,2015-01-18,19.5,33.97,15.61,23.64,4.46,26.19,0,3.17,43.75,0.31,0.41,0.56
19,-16.29972222,13.89972222,2015,1,19,19,2015-01-19,20.51,33.4,16.12,23.87,4.76,28.31,0,3.09,29.75,0.31,0.41,0.56
20,-16.29972222,13.89972222,2015,1,20,20,2015-01-20,21.33,33.48,16.13,23.8,4.39,26.06,0,2.38,120.31,0.3,0.41,0.56
21,-16.29972222,13.89972222,2015,1,21,21,2015-01-21,18.83,31.08,17.2,23.37,6.04,36.38,0,2.41,30.88,0.31,0.41,0.56
22,-16.29972222,13.89972222,2015,1,22,22,2015-01-22,10.7,30.87,18.05,23.58,5.25,30.19,0,2.39,40,0.31,0.41,0.56
23,-16.29972222,13.89972222,2015,1,23,23,2015-01-23,16.78,33.96,18.79,25.66,5.19,26.81,0,2.59,45.25,0.31,0.41,0.56
24,-16.29972222,13.89972222,2015,1,24,24,2015-01-24,16.35,33.89,19.14,25.42,4.76,24.94,0,2.97,107.25,0.3,0.41,0.56
25,-16.29972222,13.89972222,2015,1,25,25,2015-01-25,22.55,34.94,17.37,24.9,4.94,28.81,0,2.82,131.12,0.3,0.41,0.56
26,-16.29972222,13.89972222,2015,1,26,26,2015-01-26,21.32,34.61,16.05,24.55,3.72,21.19,0,3.13,39.75,0.3,0.41,0.56
