Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-15.96972222,12.79972222,2017,1,1,1,2017-01-01,20.34,33.73,16.16,24.37,7.75,43.38,0,0.93,59.94,0.59,0.62,0.77
2,-15.96972222,12.79972222,2017,1,2,2,2017-01-02,21.21,33.62,16.59,24.21,7.63,43.38,0,0.95,56,0.59,0.62,0.77
3,-15.96972222,12.79972222,2017,1,3,3,2017-01-03,21.1,34.05,15.74,24.15,7.45,42.62,0,0.99,63.88,0.59,0.62,0.77
4,-15.96972222,12.79972222,2017,1,4,4,2017-01-04,22.12,32.28,16.08,23.05,5.92,36.25,0,1.1,45.44,0.58,0.62,0.77
5,-15.96972222,12.79972222,2017,1,5,5,2017-01-05,22.06,31.69,14.33,22.72,5.25,33.12,0,0.94,62.06,0.58,0.62,0.77
6,-15.96972222,12.79972222,2017,1,6,6,2017-01-06,21.38,33.61,13.98,22.73,6.1,38.69,0,0.8,117.38,0.58,0.62,0.77
7,-15.96972222,12.79972222,2017,1,7,7,2017-01-07,20.93,34.19,14.97,22.98,7.2,44.75,0,0.8,136.75,0.58,0.61,0.77
8,-15.96972222,12.79972222,2017,1,8,8,2017-01-08,17.38,34.74,18.23,24.65,9.16,53.19,0,0.52,222.19,0.58,0.61,0.77
9,-15.96972222,12.79972222,2017,1,9,9,2017-01-09,14.11,28.94,17.31,22.94,8,47.56,0,0.81,92.94,0.58,0.61,0.77
10,-15.96972222,12.79972222,2017,1,10,10,2017-01-10,18.93,29.22,18.03,22.69,5.74,34.81,0,1.04,46.94,0.57,0.61,0.77
11,-15.96972222,12.79972222,2017,1,11,11,2017-01-11,8.55,32.3,16.57,23.4,5.19,30.56,0,1.12,37.88,0.57,0.61,0.77
12,-15.96972222,12.79972222,2017,1,12,12,2017-01-12,22.03,31.45,15.74,22.76,5.43,33.88,0,1.02,41.19,0.57,0.61,0.77
13,-15.96972222,12.79972222,2017,1,13,13,2017-01-13,20.69,32.59,13.09,22.64,6.16,38.12,0,0.88,74.12,0.57,0.61,0.77
14,-15.96972222,12.79972222,2017,1,14,14,2017-01-14,20.02,32.8,14.4,23.11,6.77,41.88,0,0.84,106.81,0.57,0.61,0.76
