Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-15.58972222,12.82972222,2012,1,1,1,2012-01-01,17.22,29.21,14.13,20.32,4.64,33,0,3.16,46.06,0.5,0.55,0.75
2,-15.58972222,12.82972222,2012,1,2,2,2012-01-02,19.44,31.88,14.56,22.23,5.13,32,0,2.82,48.06,0.5,0.55,0.75
3,-15.58972222,12.82972222,2012,1,3,3,2012-01-03,17.01,33.61,15.71,23.74,5.8,33.88,0,2.52,47.81,0.5,0.55,0.75
4,-15.58972222,12.82972222,2012,1,4,4,2012-01-04,15.18,31.33,17.33,23.55,6.41,36.38,0,2.36,46.81,0.5,0.55,0.75
5,-15.58972222,12.82972222,2012,1,5,5,2012-01-05,18.66,34.82,17.35,25.27,6.41,33.69,0,2.68,58.06,0.5,0.55,0.75
6,-15.58972222,12.82972222,2012,1,6,6,2012-01-06,19.46,33.96,16.06,24.37,6.35,36,0,2.35,102.44,0.49,0.55,0.75
7,-15.58972222,12.82972222,2012,1,7,7,2012-01-07,20.15,33.49,16.96,24.34,6.47,36.62,0,2.09,61.19,0.49,0.55,0.74
8,-15.58972222,12.82972222,2012,1,8,8,2012-01-08,20.4,35.59,17.37,25.9,6.29,33.06,0,2.03,75.75,0.48,0.54,0.74
9,-15.58972222,12.82972222,2012,1,9,9,2012-01-09,21.2,35.13,16.18,25.2,5.92,33.38,0,2.16,43.69,0.48,0.54,0.74
10,-15.58972222,12.82972222,2012,1,10,10,2012-01-10,19.19,35.9,15.63,25.32,5.37,30.06,0,2.16,50.69,0.48,0.54,0.74
11,-15.58972222,12.82972222,2012,1,11,11,2012-01-11,20.72,35.79,18.82,25.37,6.71,37,0,1.39,172.88,0.48,0.54,0.74
12,-15.58972222,12.82972222,2012,1,12,12,2012-01-12,21,36.8,17.23,25.26,8.06,46.5,0,1.76,214.88,0.47,0.54,0.74
13,-15.58972222,12.82972222,2012,1,13,13,2012-01-13,21.94,36.56,16.66,26.04,6.96,38.5,0,2.23,132.25,0.46,0.54,0.74
14,-15.58972222,12.82972222,2012,1,14,14,2012-01-14,20.84,35.64,16.33,25.75,6.35,33.56,0,2.14,81.56,0.45,0.54,0.74
15,-15.58972222,12.82972222,2012,1,15,15,2012-01-15,21.6,35.31,15.3,25.02,5.37,30.44,0,2.8,68.56,0.45,0.54,0.74
16,-15.58972222,12.82972222,2012,1,16,16,2012-01-16,21.25,35.33,16.45,25.12,4.64,25.94,0,3.01,67.75,0.44,0.54,0.74
17,-15.58972222,12.82972222,2012,1,17,17,2012-01-17,21.11,31.83,17.87,24.44,5.68,31.06,0,1.45,132.38,0.44,0.54,0.74
18,-15.58972222,12.82972222,2012,1,18,18,2012-01-18,21.32,35.55,18.65,26.11,6.16,32.12,0,2.02,82.75,0.44,0.54,0.74
19,-15.58972222,12.82972222,2012,1,19,19,2012-01-19,21.08,33.42,16.16,23.68,5.13,31.12,0,3.1,21.81,0.43,0.53,0.74
20,-15.58972222,12.82972222,2012,1,20,20,2012-01-20,20.49,28.75,14.31,20.65,4.33,30.5,0,4.28,35.5,0.43,0.53,0.74
21,-15.58972222,12.82972222,2012,1,21,21,2012-01-21,17.98,27.78,13.87,20.1,4.52,32.38,0,3.74,38.62,0.43,0.53,0.74
22,-15.58972222,12.82972222,2012,1,22,22,2012-01-22,18.85,31.14,14.08,22.01,5.19,32.75,0,3.09,45.38,0.43,0.53,0.73
