Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-14.94972222,12.85972222,2014,1,1,1,2014-01-01,20.03,32.76,15.22,23.7,7.08,42.19,0,1.89,122,0.44,0.45,0.62
2,-14.94972222,12.85972222,2014,1,2,2,2014-01-02,20.66,33.4,15.37,23.5,7.2,41.56,0,2.95,52.44,0.43,0.45,0.62
3,-14.94972222,12.85972222,2014,1,3,3,2014-01-03,19.07,33.65,16.85,24.63,7.57,40.88,0,2.8,62.44,0.43,0.45,0.62
4,-14.94972222,12.85972222,2014,1,4,4,2014-01-04,20.49,33.98,17.26,24.51,7.51,41.56,0,2.8,61.88,0.42,0.45,0.62
5,-14.94972222,12.85972222,2014,1,5,5,2014-01-05,20.25,33.26,17.44,24.97,7.02,37.19,0,2.65,75.25,0.42,0.45,0.62
6,-14.94972222,12.85972222,2014,1,6,6,2014-01-06,15.1,30.83,16.6,23.24,6.77,41.25,0,2.31,89.44,0.42,0.45,0.62
7,-14.94972222,12.85972222,2014,1,7,7,2014-01-07,16.62,32.19,16.23,24.1,6.77,39.19,0,1.59,142.81,0.42,0.45,0.62
8,-14.94972222,12.85972222,2014,1,8,8,2014-01-08,19.82,29.62,18.84,23.65,7.63,43.06,0,1.21,157.12,0.43,0.45,0.62
9,-14.94972222,12.85972222,2014,1,9,9,2014-01-09,20.07,33.18,17.44,24.17,7.51,42.69,0,1.66,234.5,0.42,0.45,0.62
10,-14.94972222,12.85972222,2014,1,10,10,2014-01-10,18.11,29.39,17.03,22.28,8.36,51.88,0,2.55,165.75,0.42,0.45,0.62
11,-14.94972222,12.85972222,2014,1,11,11,2014-01-11,20.28,32.23,15.59,23.37,7.2,43,0,2.07,116.31,0.42,0.45,0.62
12,-14.94972222,12.85972222,2014,1,12,12,2014-01-12,20.76,35.57,15.94,24.86,7.39,40,0,2.73,42.56,0.41,0.45,0.61
13,-14.94972222,12.85972222,2014,1,13,13,2014-01-13,20.66,36.29,17.72,26.28,8.48,42.81,0,2.16,74.19,0.41,0.44,0.61
14,-14.94972222,12.85972222,2014,1,14,14,2014-01-14,20.81,35.12,18.88,26.05,9.58,47.81,0,1.38,163.56,0.41,0.44,0.61
15,-14.94972222,12.85972222,2014,1,15,15,2014-01-15,20.83,35.33,18.69,26.36,8.91,45.94,0,1.25,201.88,0.41,0.44,0.61
16,-14.94972222,12.85972222,2014,1,16,16,2014-01-16,21.34,34.4,17.16,24.94,7.14,39.31,0,1.35,149.88,0.41,0.44,0.61
17,-14.94972222,12.85972222,2014,1,17,17,2014-01-17,21.72,32.3,15.03,22.76,6.84,43.5,0,2.01,271.62,0.41,0.44,0.61
18,-14.94972222,12.85972222,2014,1,18,18,2014-01-18,20.68,32.34,15.19,22.94,6.77,41.88,0,2.4,216.5,0.41,0.44,0.6
