Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-13.90972222,13.82972222,2014,1,1,1,2014-01-01,19.99,36.48,17.66,26.32,3.78,18.62,0,3.22,55,0.23,0.37,0.38
2,-13.90972222,13.82972222,2014,1,2,2,2014-01-02,19.67,35.98,18.14,26.38,4.7,23.56,0,3.89,50.81,0.23,0.37,0.38
3,-13.90972222,13.82972222,2014,1,3,3,2014-01-03,17.81,36.84,20.08,27.5,4.58,21.44,0,3.89,65.94,0.22,0.37,0.38
4,-13.90972222,13.82972222,2014,1,4,4,2014-01-04,19.99,36.32,19.46,26.78,4.15,20.25,0,3.96,60.12,0.21,0.37,0.38
5,-13.90972222,13.82972222,2014,1,5,5,2014-01-05,21.17,36.17,19.82,26.69,3.42,16.88,0,3.91,72.88,0.21,0.37,0.38
6,-13.90972222,13.82972222,2014,1,6,6,2014-01-06,17.66,34.64,18.48,24.9,3.23,18.19,0,3.12,82.12,0.2,0.37,0.38
7,-13.90972222,13.82972222,2014,1,7,7,2014-01-07,16.2,34.62,18.12,25.46,3.72,19.75,0,2.22,79.31,0.2,0.37,0.38
8,-13.90972222,13.82972222,2014,1,8,8,2014-01-08,19.31,32.33,19.8,25.31,4.15,21.38,0,1.53,165.75,0.2,0.37,0.38
9,-13.90972222,13.82972222,2014,1,9,9,2014-01-09,20.15,35.12,19.81,26.51,4.27,20.94,0,2.24,222.69,0.2,0.37,0.38
10,-13.90972222,13.82972222,2014,1,10,10,2014-01-10,17.06,29.92,18.82,23.73,5.86,32.81,0,3.02,206.38,0.2,0.37,0.38
11,-13.90972222,13.82972222,2014,1,11,11,2014-01-11,20.38,35.25,18.87,25.99,4.46,22.25,0,2.66,37.31,0.2,0.37,0.38
12,-13.90972222,13.82972222,2014,1,12,12,2014-01-12,20.73,38.76,18.62,27.81,4.27,19.56,0,3.57,46.19,0.19,0.37,0.38
13,-13.90972222,13.82972222,2014,1,13,13,2014-01-13,20.76,40.12,20.15,29.16,4.64,20.5,0,3.45,68.69,0.18,0.37,0.38
14,-13.90972222,13.82972222,2014,1,14,14,2014-01-14,21.48,39.1,19.65,28.62,3.85,17.19,0,2.99,75.06,0.17,0.37,0.38
15,-13.90972222,13.82972222,2014,1,15,15,2014-01-15,21.19,37.94,18.96,27.65,3.97,18.75,0,2.81,68.06,0.17,0.37,0.38
16,-13.90972222,13.82972222,2014,1,16,16,2014-01-16,21.38,36.96,17.91,26.85,3.72,18.25,0,2,192.19,0.16,0.37,0.38
17,-13.90972222,13.82972222,2014,1,17,17,2014-01-17,21.59,35.33,18.01,25.57,3.23,17.19,0,2.38,248.94,0.16,0.37,0.37
18,-13.90972222,13.82972222,2014,1,18,18,2014-01-18,19.29,34.76,16.79,25.13,4.03,21.12,0,3.16,155.88,0.16,0.37,0.37
