Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-15.17972222,14.24972222,2015,1,1,1,2015-01-01,14.8,31.9,14.79,22.17,2.75,17.88,0,3.61,58.75,0.27,0.36,0.4
2,-15.17972222,14.24972222,2015,1,2,2,2015-01-02,15.52,31,16.29,22.33,3.17,19.12,0,3.66,71.94,0.27,0.36,0.4
3,-15.17972222,14.24972222,2015,1,3,3,2015-01-03,15.06,32.19,15.73,23.02,3.42,20,0,3.33,74.62,0.27,0.35,0.4
4,-15.17972222,14.24972222,2015,1,4,4,2015-01-04,13.33,34.9,17.42,25.27,3.66,19.5,0,3.09,68.75,0.27,0.35,0.4
5,-15.17972222,14.24972222,2015,1,5,5,2015-01-05,15.46,33.16,18.93,24.6,2.99,16.5,0,3.8,47.44,0.26,0.35,0.4
6,-15.17972222,14.24972222,2015,1,6,6,2015-01-06,17.23,34.18,16.1,24.25,2.75,16.12,0,3.3,52.44,0.26,0.35,0.4
7,-15.17972222,14.24972222,2015,1,7,7,2015-01-07,18.8,33.26,16.51,23.51,2.69,15.81,0,2.61,38.38,0.25,0.35,0.4
8,-15.17972222,14.24972222,2015,1,8,8,2015-01-08,12.07,28.94,16.94,21.8,2.75,17.56,0,2.75,34.62,0.25,0.35,0.4
9,-15.17972222,14.24972222,2015,1,9,9,2015-01-09,18.09,34.67,14.3,23.73,3.97,21.75,0,2.55,122.19,0.25,0.35,0.4
10,-15.17972222,14.24972222,2015,1,10,10,2015-01-10,12.74,33.72,18.62,25.86,5.31,26.5,0,2.01,129.06,0.25,0.35,0.4
11,-15.17972222,14.24972222,2015,1,11,11,2015-01-11,8.46,34.83,17.65,25.9,4.33,22.12,0,2.08,105.06,0.25,0.35,0.39
12,-15.17972222,14.24972222,2015,1,12,12,2015-01-12,11.46,33.66,18.83,25.05,4.46,24.38,0,1.78,68.5,0.25,0.35,0.39
13,-15.17972222,14.24972222,2015,1,13,13,2015-01-13,12.95,34.1,16.8,24.53,3.48,19.5,0,1.96,42.94,0.25,0.35,0.39
14,-15.17972222,14.24972222,2015,1,14,14,2015-01-14,19.25,34.67,17.12,25.07,3.6,19.88,0,2.18,36.81,0.24,0.35,0.39
15,-15.17972222,14.24972222,2015,1,15,15,2015-01-15,14.48,32.47,18.33,24.79,3.3,18.06,0,1.59,60.25,0.24,0.35,0.39
16,-15.17972222,14.24972222,2015,1,16,16,2015-01-16,16.65,34.56,17.79,25.91,3.66,19.25,0,1.48,167.62,0.23,0.35,0.39
17,-15.17972222,14.24972222,2015,1,17,17,2015-01-17,18.59,35.62,16.64,25.31,3.3,18.12,0,2.5,30.5,0.23,0.35,0.39
18,-15.17972222,14.24972222,2015,1,18,18,2015-01-18,19.05,35.51,16.83,25.34,3.36,17.81,0,3.51,34.75,0.23,0.35,0.39
19,-15.17972222,14.24972222,2015,1,19,19,2015-01-19,19.81,33.15,16.89,24.52,3.54,19.56,0,3,49.69,0.23,0.35,0.39
