Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-16.57972222,14.07972222,2016,1,1,1,2016-01-01,18.96,29.46,19.61,23.93,9.34,51.81,0,2.83,102.44,0.4,0.41,0.65
2,-16.57972222,14.07972222,2016,1,2,2,2016-01-02,12.87,26.95,19.55,23.36,9.52,53.88,0,3.12,65.19,0.4,0.41,0.65
3,-16.57972222,14.07972222,2016,1,3,3,2016-01-03,8.58,26.29,19.99,23.4,10.01,56.5,0,3.03,72.56,0.41,0.41,0.65
4,-16.57972222,14.07972222,2016,1,4,4,2016-01-04,14.01,25.79,20.81,22.58,10.01,59.25,0.57,3.59,74.62,0.41,0.41,0.65
5,-16.57972222,14.07972222,2016,1,5,5,2016-01-05,20.22,28.83,19.14,23.45,11.96,68.94,0,2.62,145.94,0.41,0.41,0.64
6,-16.57972222,14.07972222,2016,1,6,6,2016-01-06,20.36,28.09,18.47,22.8,11.84,71.44,0,3.02,151,0.4,0.41,0.64
7,-16.57972222,14.07972222,2016,1,7,7,2016-01-07,21.26,28.35,19.1,23.12,11.11,65.31,0,3.16,160.31,0.4,0.41,0.64
8,-16.57972222,14.07972222,2016,1,8,8,2016-01-08,21.52,29.52,19.3,23.5,11.9,69.62,0,3.27,141.44,0.4,0.41,0.64
9,-16.57972222,14.07972222,2016,1,9,9,2016-01-09,21.26,30.06,19.44,24.12,11.9,67.25,0,3.46,51.75,0.39,0.41,0.64
10,-16.57972222,14.07972222,2016,1,10,10,2016-01-10,20.67,31.78,19.56,24.88,10.44,55.81,0,3.49,78.56,0.39,0.4,0.64
11,-16.57972222,14.07972222,2016,1,11,11,2016-01-11,20.97,31.33,20.55,25.08,9.77,50.31,0,3.39,87.56,0.38,0.4,0.64
12,-16.57972222,14.07972222,2016,1,12,12,2016-01-12,14,31.2,21.12,25.8,9.77,48.5,0,2.81,112.56,0.38,0.4,0.64
13,-16.57972222,14.07972222,2016,1,13,13,2016-01-13,19.21,31.12,23.22,25.86,11.9,58.5,0,2.86,144.69,0.38,0.4,0.63
14,-16.57972222,14.07972222,2016,1,14,14,2016-01-14,20.69,29.78,21.91,24.98,13.98,72.69,0.01,2,212.62,0.38,0.4,0.63
15,-16.57972222,14.07972222,2016,1,15,15,2016-01-15,20.56,31.7,20.94,25.33,11.72,61.69,0,2.02,176.44,0.38,0.39,0.63
16,-16.57972222,14.07972222,2016,1,16,16,2016-01-16,21.43,31.66,19.98,25.22,8.85,45.88,0,2.98,137.12,0.38,0.39,0.63
17,-16.57972222,14.07972222,2016,1,17,17,2016-01-17,21.54,31.66,19.86,25.26,8.61,44.38,0,3.41,96.44,0.38,0.39,0.63
18,-16.57972222,14.07972222,2016,1,18,18,2016-01-18,21.87,31.37,19.56,24.29,9.52,52.38,0,3.26,149.62,0.38,0.39,0.63
19,-16.57972222,14.07972222,2016,1,19,19,2016-01-19,21.33,30.41,18.96,23.73,11.23,65.81,0,2.77,137.81,0.38,0.39,0.63
20,-16.57972222,14.07972222,2016,1,20,20,2016-01-20,20.21,30.42,19.56,24.78,9.77,51.06,0,2.51,99.44,0.38,0.39,0.63
21,-16.57972222,14.07972222,2016,1,21,21,2016-01-21,18.84,30.14,22.26,25.6,10.93,54.19,0,1.95,134.69,0.38,0.39,0.63
22,-16.57972222,14.07972222,2016,1,22,22,2016-01-22,20.86,30.8,22.23,25.74,10.8,53.81,0,2.09,111.38,0.38,0.38,0.63
23,-16.57972222,14.07972222,2016,1,23,23,2016-01-23,22.01,29.97,19.87,25.13,9.7,49.81,0,3.22,126.06,0.37,0.38,0.62
24,-16.57972222,14.07972222,2016,1,24,24,2016-01-24,20.7,30.94,20.48,25.34,9.09,45.94,0,4.17,70.19,0.37,0.38,0.62
25,-16.57972222,14.07972222,2016,1,25,25,2016-01-25,21.31,29.93,20.94,25.54,8.79,43.81,0,3.61,62.88,0.36,0.38,0.62
26,-16.57972222,14.07972222,2016,1,26,26,2016-01-26,16.77,29.54,20.42,25.26,8.97,45.94,0,3.02,73.75,0.37,0.38,0.62
27,-16.57972222,14.07972222,2016,1,27,27,2016-01-27,15.45,29.19,20.41,24.78,9.4,48.88,0,3.61,60,0.36,0.38,0.62
28,-16.57972222,14.07972222,2016,1,28,28,2016-01-28,20.09,30.78,22.27,25.81,10.5,51.69,0,3.18,123.75,0.36,0.38,0.62
29,-16.57972222,14.07972222,2016,1,29,29,2016-01-29,21.91,30.23,21.13,25.5,10.93,55.31,0,4.06,74.31,0.36,0.38,0.62
30,-16.57972222,14.07972222,2016,1,30,30,2016-01-30,21.12,29.88,21.01,25.25,9.28,47.31,0,4.65,61.69,0.35,0.38,0.62
31,-16.57972222,14.07972222,2016,1,31,31,2016-01-31,21.71,29.65,20.95,25.35,8.24,41.94,0,4.27,67,0.34,0.38,0.62
32,-16.57972222,14.07972222,2016,2,1,32,2016-02-01,19.2,28.62,20.53,24.22,7.93,42.88,0,4.33,49.62,0.35,0.38,0.62
