Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-13.96972222,14.12972222,2021,1,1,1,2021-01-01,19.99,37.33,21.12,28.18,8.79,40,0,2.75,44.44,0.34,0.41,0.42
2,-13.96972222,14.12972222,2021,1,2,2,2021-01-02,20.57,35.98,19.24,26.72,8.48,41.75,0,2.47,33.88,0.34,0.41,0.42
3,-13.96972222,14.12972222,2021,1,3,3,2021-01-03,21.09,35.9,18.49,26.44,7.69,38.19,0,2.27,92.81,0.34,0.41,0.41
4,-13.96972222,14.12972222,2021,1,4,4,2021-01-04,20.77,36.83,18.56,26.65,6.71,33.75,0,2.7,39.31,0.33,0.41,0.41
5,-13.96972222,14.12972222,2021,1,5,5,2021-01-05,20.61,37.39,18.06,26.91,6.53,32.75,0,3.68,51.31,0.32,0.4,0.41
6,-13.96972222,14.12972222,2021,1,6,6,2021-01-06,20.48,35.91,21.08,27.05,7.08,33.56,0,3.09,60.56,0.32,0.4,0.41
7,-13.96972222,14.12972222,2021,1,7,7,2021-01-07,21.52,37.31,18.74,27.2,7.02,34.56,0,2.51,80.12,0.31,0.4,0.41
8,-13.96972222,14.12972222,2021,1,8,8,2021-01-08,20.37,37.3,17.81,27.04,7.02,35.25,0,1.59,68.38,0.31,0.4,0.41
9,-13.96972222,14.12972222,2021,1,9,9,2021-01-09,20.85,37.03,19.03,27.13,8,39.69,0,3.85,73.94,0.31,0.4,0.41
10,-13.96972222,14.12972222,2021,1,10,10,2021-01-10,20.74,35.6,19.38,26.65,7.26,35.75,0,4.88,55.06,0.3,0.4,0.41
11,-13.96972222,14.12972222,2021,1,11,11,2021-01-11,20.2,33.83,17.49,24.86,6.23,34.88,0,4.29,40,0.3,0.39,0.41
12,-13.96972222,14.12972222,2021,1,12,12,2021-01-12,17,34.53,19.41,25.58,5.68,29.88,0,3.81,44.81,0.3,0.39,0.41
13,-13.96972222,14.12972222,2021,1,13,13,2021-01-13,20.81,36.01,18.69,26.19,5.49,28.62,0,3.89,48.19,0.3,0.39,0.4
14,-13.96972222,14.12972222,2021,1,14,14,2021-01-14,20.94,36.44,17.33,26.18,5.07,26.94,0,4.03,53.38,0.29,0.39,0.4
15,-13.96972222,14.12972222,2021,1,15,15,2021-01-15,18.68,35.57,18.58,25.73,4.52,24.12,0,4.19,60.12,0.29,0.39,0.4
16,-13.96972222,14.12972222,2021,1,16,16,2021-01-16,18.07,34.83,17.79,25.25,4.33,23.5,0,4.43,60,0.28,0.38,0.4
17,-13.96972222,14.12972222,2021,1,17,17,2021-01-17,15.9,33.36,15.74,23.98,3.85,22.5,0,3.99,60.44,0.28,0.38,0.4
18,-13.96972222,14.12972222,2021,1,18,18,2021-01-18,19.05,35.19,17.09,25.25,3.97,21.5,0,3.7,58.19,0.28,0.38,0.39
19,-13.96972222,14.12972222,2021,1,19,19,2021-01-19,20.35,35.23,17.17,25.02,4.09,22.5,0,3.74,52.81,0.28,0.38,0.39
20,-13.96972222,14.12972222,2021,1,20,20,2021-01-20,20.82,37.11,17.74,26.87,4.7,23.25,0,3.28,56.12,0.27,0.38,0.39
21,-13.96972222,14.12972222,2021,1,21,21,2021-01-21,19.01,37.11,19.94,27.05,4.94,24.56,0,4.2,59.44,0.27,0.38,0.39
22,-13.96972222,14.12972222,2021,1,22,22,2021-01-22,19.28,35.83,17.64,25.74,3.97,21.06,0,4.15,62.75,0.27,0.38,0.39
23,-13.96972222,14.12972222,2021,1,23,23,2021-01-23,20.2,35.79,17.48,25.78,3.91,20.44,0,3.66,63.12,0.27,0.38,0.39
24,-13.96972222,14.12972222,2021,1,24,24,2021-01-24,23.74,36.03,16.87,25.4,3.3,17.94,0,3.74,60.88,0.27,0.38,0.38
25,-13.96972222,14.12972222,2021,1,25,25,2021-01-25,23.29,37.01,16.19,25.62,3.42,18.44,0,3.56,69.25,0.26,0.38,0.38
26,-13.96972222,14.12972222,2021,1,26,26,2021-01-26,23.92,37.4,15.73,25.68,3.11,16.75,0,3.64,66.81,0.25,0.38,0.38
27,-13.96972222,14.12972222,2021,1,27,27,2021-01-27,24.13,37.88,16.09,26,2.93,15.56,0,3.58,66.44,0.24,0.38,0.38
28,-13.96972222,14.12972222,2021,1,28,28,2021-01-28,23.81,37.61,16.58,26.26,2.87,15,0,3.73,63.81,0.23,0.38,0.38
29,-13.96972222,14.12972222,2021,1,29,29,2021-01-29,19.45,37.79,16.19,26.28,3.17,17.06,0,3.13,54.56,0.23,0.37,0.38
30,-13.96972222,14.12972222,2021,1,30,30,2021-01-30,21.54,38.52,17.15,27.27,3.3,16.25,0,3.13,50.31,0.22,0.37,0.38
31,-13.96972222,14.12972222,2021,1,31,31,2021-01-31,20.39,36.84,20.01,27.22,3.48,16.56,0,4.1,61.81,0.21,0.37,0.38
32,-13.96972222,14.12972222,2021,2,1,32,2021-02-01,18.14,36.54,17.31,27.01,3.05,15.06,0,3.3,66.56,0.21,0.37,0.38
33,-13.96972222,14.12972222,2021,2,2,33,2021-02-02,22.83,38,19.81,27.48,3.3,15.88,0,3.3,71.69,0.2,0.37,0.38
34,-13.96972222,14.12972222,2021,2,3,34,2021-02-03,20.29,38.44,17.72,28.25,3.78,17.12,0,2.23,76.31,0.2,0.37,0.38
35,-13.96972222,14.12972222,2021,2,4,35,2021-02-04,20.15,39.19,19.93,29.34,3.54,15.44,0,1.64,157.44,0.2,0.37,0.38
36,-13.96972222,14.12972222,2021,2,5,36,2021-02-05,13.96,30.36,21.48,25.37,4.52,22.56,0,2.96,233.88,0.19,0.37,0.38
37,-13.96972222,14.12972222,2021,2,6,37,2021-02-06,10.76,27.56,19.33,23.08,5.37,31.25,0,3.62,74.75,0.2,0.37,0.38
38,-13.96972222,14.12972222,2021,2,7,38,2021-02-07,21.9,34.28,16.44,25.06,4.21,23.12,0,4.17,43.31,0.2,0.37,0.38
39,-13.96972222,14.12972222,2021,2,8,39,2021-02-08,21.93,35.69,17.9,26.5,4.46,22.38,0,3.45,53.88,0.19,0.37,0.38
40,-13.96972222,14.12972222,2021,2,9,40,2021-02-09,16.35,38.35,19.12,28.35,4.33,19.62,0,3.62,46.5,0.19,0.37,0.38
41,-13.96972222,14.12972222,2021,2,10,41,2021-02-10,18.47,37.03,21.47,28.94,4.03,17.06,0,3.71,64.19,0.18,0.37,0.38
42,-13.96972222,14.12972222,2021,2,11,42,2021-02-11,22.19,40.15,22.19,30.5,3.72,14.94,0,3.6,50.88,0.17,0.37,0.38
43,-13.96972222,14.12972222,2021,2,12,43,2021-02-12,23.63,40.71,20.33,29.95,3.3,14.12,0,3.33,43.56,0.16,0.37,0.38
44,-13.96972222,14.12972222,2021,2,13,44,2021-02-13,23.83,40.65,19.78,30.01,3.17,13.5,0,3.08,39.38,0.16,0.37,0.38
