Var1,LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,ALLSKY_SFC_SW_DWN,T2M_MAX,T2M_MIN,T2M,QV2M,RH2M,PRECTOTCORR,WS2M,WD2M,GWETTOP,GWETROOT,GWETPROF
1,-14.57972222,13.99973684,2021,1,1,1,2021-01-01,21.22,37.58,21.54,28.58,8.54,37.69,0,2.92,38.56,0.32,0.38,0.39
2,-14.57972222,13.99973684,2021,1,2,2,2021-01-02,21.39,36.15,19.35,26.92,7.93,38.12,0,2.67,27.94,0.31,0.38,0.39
3,-14.57972222,13.99973684,2021,1,3,3,2021-01-03,21.61,35.91,18.48,26.4,6.84,34.06,0,2.53,90.19,0.3,0.38,0.38
4,-14.57972222,13.99973684,2021,1,4,4,2021-01-04,21.67,37.08,18.46,26.83,6.16,30.38,0,2.78,38.5,0.29,0.38,0.38
5,-14.57972222,13.99973684,2021,1,5,5,2021-01-05,21.64,37.73,18.73,27.46,6.29,30.38,0,3.8,51.81,0.28,0.38,0.38
6,-14.57972222,13.99973684,2021,1,6,6,2021-01-06,21.48,34.66,21.51,27.37,7.45,33.94,0,3.02,65.62,0.27,0.38,0.38
7,-14.57972222,13.99973684,2021,1,7,7,2021-01-07,21.53,37.36,18.69,27.4,7.02,34.19,0,2.32,122.69,0.27,0.38,0.38
8,-14.57972222,13.99973684,2021,1,8,8,2021-01-08,21.3,37.8,18.76,27.32,6.41,31.88,0,2.02,46.31,0.27,0.38,0.38
9,-14.57972222,13.99973684,2021,1,9,9,2021-01-09,20.96,36.65,19.46,27.3,8,39.31,0,4.47,55.94,0.26,0.38,0.38
10,-14.57972222,13.99973684,2021,1,10,10,2021-01-10,20.91,35.05,19.14,26.34,6.84,34.06,0,5.08,22.38,0.25,0.38,0.38
11,-14.57972222,13.99973684,2021,1,11,11,2021-01-11,20.11,33.9,17.47,24.92,5.86,32.44,0,4.45,36.94,0.25,0.37,0.38
12,-14.57972222,13.99973684,2021,1,12,12,2021-01-12,18.21,34.81,19.78,26.26,5.37,27.25,0,4.04,41.75,0.24,0.37,0.38
13,-14.57972222,13.99973684,2021,1,13,13,2021-01-13,21.54,36.27,19.12,26.66,5.19,26.19,0,4.08,45.31,0.23,0.37,0.38
14,-14.57972222,13.99973684,2021,1,14,14,2021-01-14,21.2,36.69,18.04,26.76,4.7,24.12,0,4.34,52.38,0.23,0.37,0.38
15,-14.57972222,13.99973684,2021,1,15,15,2021-01-15,19.33,35.87,19.62,26.76,4.21,21,0,4.41,58.75,0.23,0.37,0.38
16,-14.57972222,13.99973684,2021,1,16,16,2021-01-16,18.49,35.03,19.27,25.87,4.09,21.31,0,4.59,56.88,0.22,0.37,0.38
17,-14.57972222,13.99973684,2021,1,17,17,2021-01-17,16.04,33.81,16.63,24.4,3.6,20.5,0,4.12,62.31,0.22,0.37,0.37
18,-14.57972222,13.99973684,2021,1,18,18,2021-01-18,19.33,35.49,17.62,25.8,3.72,19.62,0,3.87,58.81,0.22,0.37,0.37
19,-14.57972222,13.99973684,2021,1,19,19,2021-01-19,20.81,35.68,18.31,26,3.78,19.5,0,3.93,52.62,0.21,0.36,0.37
20,-14.57972222,13.99973684,2021,1,20,20,2021-01-20,21.19,37.17,18.21,27.19,4.27,20.69,0,3.3,54.06,0.2,0.36,0.37
21,-14.57972222,13.99973684,2021,1,21,21,2021-01-21,21.69,37.53,20.26,27.76,4.64,21.94,0,4.47,58.75,0.2,0.36,0.37
22,-14.57972222,13.99973684,2021,1,22,22,2021-01-22,17.14,36.08,18.8,26.4,3.72,18.94,0,4.3,63.5,0.2,0.36,0.37
23,-14.57972222,13.99973684,2021,1,23,23,2021-01-23,18.06,34.37,18.84,25.83,3.66,18.81,0,3.72,61.56,0.2,0.36,0.37
24,-14.57972222,13.99973684,2021,1,24,24,2021-01-24,23.66,36.26,17.62,25.92,2.93,15.75,0,3.83,60.38,0.19,0.36,0.37
25,-14.57972222,13.99973684,2021,1,25,25,2021-01-25,23.04,37.12,16.37,25.95,3.05,16.19,0,3.58,69.19,0.18,0.36,0.37
26,-14.57972222,13.99973684,2021,1,26,26,2021-01-26,23.44,37.51,15.98,26.09,2.81,15.19,0,3.65,66.25,0.18,0.36,0.37
27,-14.57972222,13.99973684,2021,1,27,27,2021-01-27,23.55,37.99,16.11,26.27,2.62,14.12,0,3.51,66.94,0.17,0.36,0.37
28,-14.57972222,13.99973684,2021,1,28,28,2021-01-28,22.71,37.84,17.26,26.69,2.62,13.38,0,3.86,64.19,0.16,0.36,0.36
29,-14.57972222,13.99973684,2021,1,29,29,2021-01-29,18.06,37.96,16.6,26.61,2.99,15.75,0,3.23,52.56,0.16,0.36,0.36
30,-14.57972222,13.99973684,2021,1,30,30,2021-01-30,21.6,38.73,18.01,27.83,2.99,14.25,0,3.3,47.5,0.16,0.36,0.36
31,-14.57972222,13.99973684,2021,1,31,31,2021-01-31,19.83,37.14,20.62,27.91,3.36,15.31,0,4.18,61.81,0.16,0.36,0.36
32,-14.57972222,13.99973684,2021,2,1,32,2021-02-01,16.73,37.43,17.97,27.42,2.87,13.94,0,3.3,66.88,0.15,0.36,0.36
33,-14.57972222,13.99973684,2021,2,2,33,2021-02-02,23.37,38.23,19.55,27.8,3.11,14.62,0,3.09,71.19,0.15,0.36,0.36
34,-14.57972222,13.99973684,2021,2,3,34,2021-02-03,20.33,38.69,18.27,28.66,3.36,15.31,0,2.12,86,0.14,0.36,0.36
35,-14.57972222,13.99973684,2021,2,4,35,2021-02-04,19.78,39.37,20.33,29.48,3.11,13.38,0,1.83,151,0.14,0.36,0.36
36,-14.57972222,13.99973684,2021,2,5,36,2021-02-05,14.75,29.12,21.26,24.92,5.31,27.19,0,3.23,295.69,0.14,0.35,0.36
37,-14.57972222,13.99973684,2021,2,6,37,2021-02-06,11.2,27.77,18.54,22.81,5.49,32.56,0,3.98,77.69,0.14,0.35,0.36
38,-14.57972222,13.99973684,2021,2,7,38,2021-02-07,22.08,33.98,16.4,24.87,4.21,23.5,0,4.26,40.75,0.14,0.35,0.36
39,-14.57972222,13.99973684,2021,2,8,39,2021-02-08,22.37,35.62,18.05,26.51,4.21,20.94,0,3.64,48.94,0.14,0.35,0.36
40,-14.57972222,13.99973684,2021,2,9,40,2021-02-09,20.37,38.1,18.99,28.24,4.21,19.06,0,3.76,41.12,0.14,0.35,0.36
41,-14.57972222,13.99973684,2021,2,10,41,2021-02-10,18.31,38.14,21.47,29.4,3.97,16.62,0,3.66,67,0.13,0.35,0.36
42,-14.57972222,13.99973684,2021,2,11,42,2021-02-11,22.39,40.26,22.9,30.77,3.66,14.5,0,3.87,48,0.13,0.35,0.36
43,-14.57972222,13.99973684,2021,2,12,43,2021-02-12,24.19,40.71,20.6,29.97,3.17,13.56,0,3.62,39.31,0.12,0.35,0.36
44,-14.57972222,13.99973684,2021,2,13,44,2021-02-13,23.9,40.5,19.91,29.87,2.99,12.69,0,3.32,35.81,0.12,0.35,0.36
45,-14.57972222,13.99973684,2021,2,14,45,2021-02-14,23.97,39.62,21.34,29.87,2.93,12.19,0,2.35,53.31,0.12,0.35,0.36
46,-14.57972222,13.99973684,2021,2,15,46,2021-02-15,19.78,40.2,20.88,29.96,2.99,12.62,0,1.93,126.06,0.12,0.35,0.36
47,-14.57972222,13.99973684,2021,2,16,47,2021-02-16,20.64,38.88,21.15,29.88,3.48,14.19,0,1.82,182.38,0.12,0.35,0.36
48,-14.57972222,13.99973684,2021,2,17,48,2021-02-17,8.08,37.83,23.26,30.2,4.76,18.69,0,2.62,127.44,0.12,0.35,0.36
49,-14.57972222,13.99973684,2021,2,18,49,2021-02-18,11.3,37,23.69,29.96,5.74,22.75,0,2.92,38.88,0.12,0.35,0.36
50,-14.57972222,13.99973684,2021,2,19,50,2021-02-19,10.61,36.62,23.32,29.94,5.37,21.12,0,2.09,106.75,0.11,0.35,0.36
51,-14.57972222,13.99973684,2021,2,20,51,2021-02-20,14.58,38.98,23.36,30.48,4.88,18.88,0,2.45,60.38,0.11,0.35,0.36
52,-14.57972222,13.99973684,2021,2,21,52,2021-02-21,22.2,40.02,23.53,30.75,3.3,12.81,0,4.28,22.06,0.11,0.35,0.36
53,-14.57972222,13.99973684,2021,2,22,53,2021-02-22,21.97,40.33,20.4,29.86,3.48,13.94,0,3.78,46.88,0.11,0.35,0.36
54,-14.57972222,13.99973684,2021,2,23,54,2021-02-23,23.96,40.27,21.22,30.13,2.62,11.12,0,3.64,71.69,0.1,0.35,0.36
55,-14.57972222,13.99973684,2021,2,24,55,2021-02-24,24.67,39.87,19.95,29.28,2.26,10,0,3.51,60.88,0.1,0.35,0.36
56,-14.57972222,13.99973684,2021,2,25,56,2021-02-25,23.18,38.56,18.82,28.51,2.44,11,0,3.96,62.88,0.1,0.35,0.36
57,-14.57972222,13.99973684,2021,2,26,57,2021-02-26,23.87,36.67,20.67,27.99,2.75,12.56,0,4.8,49.69,0.1,0.35,0.36
58,-14.57972222,13.99973684,2021,2,27,58,2021-02-27,22.6,37,18.58,27.44,2.44,11.5,0,3.58,35.19,0.1,0.35,0.36
59,-14.57972222,13.99973684,2021,2,28,59,2021-02-28,22.65,37.51,20.08,27.96,2.81,13.06,0,3.3,137.62,0.09,0.35,0.36
60,-14.57972222,13.99973684,2021,3,1,60,2021-03-01,24.3,37.74,20.08,28.13,3.17,14.38,0,3.38,23.94,0.09,0.35,0.36
61,-14.57972222,13.99973684,2021,3,2,61,2021-03-02,24.31,40.48,22.01,30.57,3.48,14.06,0,4.56,41.44,0.09,0.35,0.36
62,-14.57972222,13.99973684,2021,3,3,62,2021-03-03,24.79,41.3,22.56,31.55,3.78,13.94,0,3.95,48.44,0.09,0.35,0.36
63,-14.57972222,13.99973684,2021,3,4,63,2021-03-04,23.84,40.99,22.55,31.73,4.58,17.12,0,3.26,25.75,0.09,0.35,0.36
64,-14.57972222,13.99973684,2021,3,5,64,2021-03-05,24.43,40.06,23.43,31.83,5.43,19.25,0,1.97,127.56,0.09,0.35,0.36
65,-14.57972222,13.99973684,2021,3,6,65,2021-03-06,24.6,40.99,24.32,32.3,5.25,18.81,0,1.89,252.25,0.09,0.35,0.36
66,-14.57972222,13.99973684,2021,3,7,66,2021-03-07,22.72,40.44,24.14,31.71,4.21,15.06,0,3.05,99.19,0.09,0.35,0.36
67,-14.57972222,13.99973684,2021,3,8,67,2021-03-08,24.59,40.58,23.28,31.26,4.94,18.62,0,4.15,74.81,0.09,0.35,0.36
68,-14.57972222,13.99973684,2021,3,9,68,2021-03-09,25.27,39.12,22.26,29.99,4.39,17.75,0,4.59,13.44,0.09,0.35,0.36
69,-14.57972222,13.99973684,2021,3,10,69,2021-03-10,24.11,37.89,21.19,29.31,4.52,19.25,0,4.19,22.88,0.09,0.35,0.36
70,-14.57972222,13.99973684,2021,3,11,70,2021-03-11,22.08,38.19,23.03,29.7,2.87,11.69,0,3.96,35.62,0.09,0.35,0.36
71,-14.57972222,13.99973684,2021,3,12,71,2021-03-12,23.73,37.36,21.82,28.4,2.69,12.06,0,4.41,48.5,0.09,0.35,0.36
72,-14.57972222,13.99973684,2021,3,13,72,2021-03-13,22.91,38.46,20.71,29.3,3.72,15.38,0,3.23,59.06,0.09,0.35,0.36
73,-14.57972222,13.99973684,2021,3,14,73,2021-03-14,23.15,39.16,22.48,30.69,4.15,15,0,2.48,55.81,0.09,0.35,0.36
74,-14.57972222,13.99973684,2021,3,15,74,2021-03-15,23.79,39.52,21.84,30.49,4.03,15.62,0,1.92,160.44,0.09,0.35,0.36
75,-14.57972222,13.99973684,2021,3,16,75,2021-03-16,25.7,39.97,20.88,30.19,3.85,15.94,0,2.12,225.94,0.08,0.35,0.36
76,-14.57972222,13.99973684,2021,3,17,76,2021-03-17,26.9,39.45,20.19,29.6,4.88,21.62,0,2.54,288.75,0.08,0.35,0.36
77,-14.57972222,13.99973684,2021,3,18,77,2021-03-18,26.5,39.64,19.79,29.65,5.98,26.69,0,2.41,241.06,0.08,0.35,0.36
78,-14.57972222,13.99973684,2021,3,19,78,2021-03-19,26.62,39.09,20.44,29.48,6.9,30.44,0,3.29,265.12,0.08,0.35,0.36
79,-14.57972222,13.99973684,2021,3,20,79,2021-03-20,25.76,40.22,20.23,29.94,5.86,25.75,0,2.95,285.44,0.08,0.35,0.36
80,-14.57972222,13.99973684,2021,3,21,80,2021-03-21,25.9,40.97,20.61,30.63,4.82,19.25,0,2.7,304.06,0.08,0.35,0.36
81,-14.57972222,13.99973684,2021,3,22,81,2021-03-22,23.76,40.66,21.74,31.37,5.43,19.94,0,2.35,260.94,0.08,0.35,0.36
82,-14.57972222,13.99973684,2021,3,23,82,2021-03-23,24.46,40.46,22.58,31.55,5.25,19.94,0,3.3,180.31,0.08,0.35,0.35
83,-14.57972222,13.99973684,2021,3,24,83,2021-03-24,26.13,42.65,25.06,34.21,6.9,20.38,0,4.12,41.25,0.08,0.35,0.35
84,-14.57972222,13.99973684,2021,3,25,84,2021-03-25,24.6,42.72,26.85,34.4,4.82,14.94,0,4.62,65.38,0.08,0.35,0.35
85,-14.57972222,13.99973684,2021,3,26,85,2021-03-26,25.01,42.55,24.45,33.3,4.33,15.06,0,3.12,83.38,0.08,0.35,0.35
86,-14.57972222,13.99973684,2021,3,27,86,2021-03-27,26.11,43.36,24.62,33.72,3.05,10.25,0,3.14,65.31,0.07,0.35,0.35
