LON,LAT,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,SLLL,SDUL,SSAT,SSKS
-16.3907,12.694,0.668,0.155,0.177,1.61,0.55,0.54,0.47,6.1,0.10882924312,0.186750356396226,0.390845274012226,2.59
-16.3907,12.7787,0.627,0.175,0.197,1.59,0.64,0.55,0.5,6.4,0.12125283088,0.206325004438455,0.392077952382455,0.43
-16.3907,12.8634,0.621,0.166,0.213,1.6,0.78,0.74,0.51,6.3,0.13220163256,0.218553914199072,0.395970950887072,0.43
-16.3907,12.9481,0.626,0.164,0.21,1.62,1,0.79,0.55,6.3,0.1307550592,0.216477675852243,0.396696816092243,0.43
-16.3907,13.0328,0.626,0.167,0.207,1.62,0.66,0.57,0.52,6.4,0.12736415884,0.212299031700725,0.392399205292725,0.43
-16.3907,13.1175,0.617,0.172,0.211,1.58,0.85,0.56,0.51,6.4,0.12974268904,0.216198498060519,0.39268819729252,0.43
-16.306,12.4399,0.652,0.15,0.198,1.6,0.66,0.74,0.56,6.1,0.12307475152,0.204074073922158,0.394598952738158,0.43
-16.306,12.5246,0.625,0.147,0.228,1.61,0.71,0.56,0.5,6.1,0.1398008224,0.224176906926936,0.392158097966936,0.43
-16.306,12.6093,0.633,0.157,0.21,1.61,0.7,0.61,0.53,6.3,0.1293885526,0.213040741080461,0.392743663320461,0.43
-16.306,12.694,0.595,0.161,0.244,1.61,0.57,0.81,0.54,6.2,0.1511375638,0.241513785756218,0.399112247756218,0.43
-16.306,12.7787,0.616,0.174,0.21,1.6,0.86,0.97,0.5,6.4,0.1321238572,0.220506317660752,0.400930071660752,0.43
-16.306,12.8634,0.624,0.162,0.213,1.6,0.92,0.56,0.49,6.1,0.13087851664,0.215927697374219,0.392264861406219,0.43
-16.306,12.9481,0.621,0.178,0.201,1.58,0.77,0.66,0.52,6.3,0.12450132472,0.211019233882775,0.394574751978775,0.43
-16.306,13.0328,0.605,0.184,0.21,1.62,0.79,0.68,0.61,6.4,0.1301038,0.219390014291258,0.395818166291259,0.43
-16.306,13.1175,0.628,0.16,0.211,1.66,0.77,0.56,0.52,6.1,0.12965676496,0.214019339023718,0.392045987471718,0.43
-16.2213,12.5246,0.679,0.122,0.199,1.6,0.69,0.45,0.5,6.2,0.12121046392,0.195839574607776,0.387613497303776,0.43
-16.2213,12.6093,0.613,0.162,0.225,1.59,0.78,0.5,0.48,6.2,0.137675566,0.224140621785205,0.391824308585205,0.43
-16.2213,12.694,0.635,0.152,0.213,1.62,0.63,0.5,0.51,6,0.1303561276,0.213081419537515,0.390461480417515,0.43
-16.2213,12.7787,0.612,0.18,0.208,1.61,0.86,0.55,0.65,6.3,0.12792631792,0.215419214356113,0.392783975252113,0.43
-16.2213,12.8634,0.62,0.174,0.207,1.62,0.99,0.54,0.62,6.3,0.1271933572,0.213153127481879,0.392136082761879,0.43
-16.2213,12.9481,0.64,0.169,0.191,1.62,0.63,0.71,0.67,6.2,0.1187817646,0.202265925317922,0.394887183437922,2.59
-16.2213,13.0328,0.649,0.163,0.188,1.62,0.89,0.57,0.48,6.1,0.11583486004,0.197109025843955,0.391706806595955,2.59
-16.2213,13.1175,0.602,0.175,0.223,1.63,0.78,0.73,0.43,6.3,0.13816674412,0.227684582024058,0.396977481760058,0.43
-16.1366,12.5246,0.65,0.14,0.21,1.62,0.78,0.5,0.49,6,0.12844168,0.208430267111269,0.389666471111269,0.43
-16.1366,12.6093,0.647,0.151,0.203,1.6,0.73,0.59,0.54,6.1,0.12495764392,0.206111571756804,0.391730290692804,0.43
-16.1366,12.694,0.633,0.149,0.219,1.61,0.84,0.54,0.53,6,0.13424126584,0.217312747076214,0.391293288148214,0.43
-16.1366,12.7787,0.629,0.162,0.21,1.61,0.75,0.69,0.56,5.9,0.1300040158,0.214743792904562,0.394545339464562,0.43
-16.1366,12.8634,0.642,0.177,0.181,1.64,0.77,0.52,0.6,5.9,0.11133526864,0.19408526586193,0.39117921725393,2.59
-16.1366,12.9481,0.629,0.182,0.189,1.62,0.8,0.56,0.54,6.1,0.11654485432,0.201633162609156,0.392341162065156,2.59
-16.1366,13.0328,0.633,0.164,0.203,1.63,0.83,0.64,0.57,6.1,0.12544527208,0.209484832208524,0.393472019632524,0.43
-16.1366,13.1175,0.606,0.171,0.223,1.65,0.92,0.78,0.63,6.3,0.13849256296,0.227458609263138,0.397659322431138,0.43
-16.0519,12.5246,0.658,0.145,0.197,1.62,0.81,0.48,0.46,6.2,0.12043829632,0.19925151715765,0.389205717093651,0.43
-16.0519,12.6093,0.641,0.144,0.215,1.59,0.75,0.51,0.58,6.1,0.1315761328,0.213148183344045,0.390284127304045,0.43
-16.0519,12.694,0.621,0.156,0.222,1.61,0.61,0.46,0.5,5.9,0.13554770584,0.220455525703543,0.390527517895543,0.43
-16.0519,12.7787,0.616,0.16,0.224,1.62,0.99,0.63,0.66,5.9,0.13797293728,0.224425480917404,0.394082987221405,0.43
-16.0519,12.8634,0.617,0.183,0.2,1.65,0.72,0.55,0.49,6,0.123126943,0.210003379261081,0.392547894861081,0.43
-16.0519,12.9481,0.63,0.178,0.191,1.66,0.8,0.69,0.68,6.1,0.1187148238,0.204064814421882,0.394961875021882,2.59
-16.0519,13.0328,0.64,0.185,0.175,1.65,0.73,0.58,0.6,5.8,0.10824715,0.191948265250298,0.392740901650298,2.59
-16.0519,13.1175,0.644,0.168,0.188,1.66,0.68,0.58,0.69,6,0.11595979264,0.198249345751849,0.392127343383849,2.59
-15.9672,12.5246,0.629,0.159,0.212,1.61,0.87,0.51,0.42,6.1,0.12988042156,0.213814991310462,0.391006051198462,0.43
-15.9672,12.6093,0.642,0.152,0.206,1.61,0.95,0.56,0.59,6.1,0.12656416384,0.208442670949219,0.391337909221219,0.43
-15.9672,13.0328,0.618,0.171,0.21,1.67,0.97,0.58,0.67,5.9,0.1292850976,0.215671394811571,0.393030721371571,0.43
-15.9672,13.1175,0.629,0.194,0.177,1.66,0.87,0.55,0.73,5.6,0.10931914216,0.194968430661957,0.392420810669957,2.59
-15.9836,12.694,0.631,0.163,0.206,1.6,0.87,0.54,0.47,6.2,0.12650667592,0.210401357379887,0.391540880515887,0.43
-15.9836,12.7787,0.64,0.147,0.212,1.63,1.39,0.46,0.45,5.9,0.1294249072,0.211077903692328,0.389422558732328,0.43
-15.8989,12.5246,0.653,0.12,0.227,1.62,0.94,0.49,0.59,6,0.13851764752,0.217476904530929,0.389037073466929,0.43
