*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 18, 2025 01:32:02

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!YR        Days  Days              Leaf  <--------- Dry Weight -----------> Grain Kernl              <------ Stress (0-1) ------>   Leaf  Shell  Spec  <-Canopy->  Root  <-- Root Length Density ---><Senesced Mat>   Phot  
!  and    after after  Leaf  Grow  Area  <------------ kg/Ha ------------->   per  wght  Harv Tillr  <--- Water ---->                Nit   -ing  Leaf  Hght Brdth Depth  <---- cm3/cm3 of soil -----> <--(kg/ha)-->  Therm  
!     DOY start plant   Num Stage Index  Leaf  Stem Grain  Root Panic  Crop    m2    mg  Indx   No.  Phot  Grow  Excs  Nitr Potas     %      %   Area    m     m     m    0-5  5-15 15-20 20-4747-100   Surf   Soil   Days  
@YEAR DOY   DAS   DAP  L#SD  GSTD  LAID  LWAD  SWAD  GWAD  RWAD  EWAD  CWAD  G#AD  GWGD  HIAD  T#AD  WSPD  WSGD  EWSD  NSTD  KSTD   LN%D   SH%D  SLAD  CHTD  CWID  RDPD  RL1D  RL2D  RL3D  RL4D  RL5D  SNW0C  SNW1C   DTTC  
 2012 241    89    21   6.0     1  0.08    43     1     0    23     0    44     0   0.0 0.000   159 0.000 0.000 0.000 0.000 0.000   0.00   0.00 193.1  0.00  0.00  0.60  0.78  0.54  0.08  0.02  0.00      0      0    402
 2012 242    90    22   7.0     1  0.09    49     1     0    26     0    49     0   0.0 0.000   164 0.000 0.000 0.000 0.000 0.000   0.00   0.00 189.3  0.00  0.00  0.64  0.79  0.55  0.08  0.02  0.00      0      0    421
 2012 243    91    23   7.0     1  0.10    52     1     0    28     0    53     0   0.0 0.000   164 0.000 0.000 0.000 0.000 0.000   0.00   0.00 188.7  0.00  0.00  0.67  0.79  0.56  0.09  0.02  0.01      0      0    438
 2012 244    92    24   7.0     1  0.11    59     1     0    31     0    59     0   0.0 0.000   175 0.000 0.000 0.000 0.000 0.000   0.00   0.00 186.3  0.00  0.00  0.70  0.80  0.56  0.10  0.02  0.01      0      0    456
 2012 245    93    25   7.0     1  0.12    65     1     0    35     0    66     0   0.0 0.000   182 0.000 0.000 0.000 0.000 0.000   0.00   0.00 183.8  0.00  0.00  0.73  0.80  0.57  0.11  0.03  0.01      0      0    475
 2012 246    94    26   8.0     1  0.13    69     1     0    37     0    70     0   0.0 0.000   182 0.000 0.000 0.000 0.000 0.000   0.00   0.00 183.7  0.00  0.00  0.77  0.81  0.58  0.12  0.03  0.01      0      0    491
 2012 247    95    27   8.0     1  0.14    75     1     0    40     0    76     0   0.0 0.000   194 0.000 0.000 0.000 0.000 0.000   0.00   0.00 183.5  0.00  0.00  0.80  0.81  0.58  0.13  0.03  0.02      0      0    509
 2012 248    96    28   8.0     1  0.15    84     1     0    45     0    85     0   0.0 0.000   205 0.000 0.000 0.000 0.000 0.000   0.00   0.00 181.1  0.00  0.00  0.83  0.82  0.59  0.14  0.04  0.02      0      0    527
 2012 249    97    29   8.0     1  0.17    92     1     0    49     0    93     0   0.0 0.000   217 0.000 0.000 0.000 0.000 0.000   0.00   0.00 179.6  0.00  0.00  0.86  0.83  0.60  0.15  0.04  0.02      0      0    546
 2012 250    98    30   9.0     1  0.18   102     1     0    54     0   102     0   0.0 0.000   230 0.000 0.140 0.000 0.000 0.000   0.00   0.00 176.2  0.00  0.00  0.89  0.84  0.61  0.16  0.04  0.03      0      0    564
 2012 251    99    31   9.0     1  0.19   113     1     0    61     0   113     0   0.0 0.000   239 0.118 0.412 0.000 0.000 0.000   0.00   0.00 167.4  0.00  0.00  0.93  0.84  0.62  0.17  0.05  0.03      0      0    583
 2012 252   100    32   9.0     1  0.20   120     1     0    64     0   121     0   0.0 0.000   250 0.000 0.000 0.000 0.000 0.000   0.00   0.00 167.3  0.00  0.00  0.96  0.86  0.63  0.19  0.05  0.04      0      0    601
 2012 253   101    33   9.0     1  0.21   132     1     0    71     0   133     0   0.0 0.000   262 0.088 0.392 0.000 0.000 0.000   0.00   0.00 160.6  0.00  0.00  0.99  0.86  0.64  0.20  0.05  0.04      0      0    619
 2012 254   102    34  10.0     1  0.22   143     1     0    77     0   144     0   0.0 0.000   274 0.221 0.480 0.000 0.000 0.000   0.00   0.00 153.3  0.00  0.00  1.00  0.86  0.66  0.22  0.06  0.04      0      0    638
 2012 255   103    35  10.0     1  0.23   155     1     0    83     0   155     0   0.0 0.000   287 0.125 0.417 0.000 0.000 0.000   0.00   0.00 148.1  0.00  0.00  1.00  0.88  0.67  0.23  0.06  0.05      0      0    656
 2012 256   104    36  10.0     2  0.25   170    26     0    89     0   196     0   0.0 0.000   317 0.000 0.000 0.000 0.000 0.000   0.00   0.00 149.7  0.00  0.00  1.00  0.89  0.68  0.25  0.07  0.05      1      0    674
 2012 257   105    37  10.0     2  0.28   183    38     0    95     0   221     0   0.0 0.000   349 0.000 0.000 0.000 0.000 0.000   0.00   0.00 151.0  0.00  0.00  1.00  0.90  0.70  0.26  0.07  0.06      1      0    693
 2012 258   106    38  11.0     2  0.30   200    52     0   101     0   251     0   0.0 0.000   384 0.000 0.000 0.000 0.000 0.000   0.00   0.00 152.2  0.00  0.00  1.00  0.91  0.71  0.28  0.08  0.06      1      0    711
 2012 259   107    39  11.0     2  0.33   216    66     0   108     0   282     0   0.0 0.000   419 0.000 0.000 0.000 0.000 0.000   0.00   0.00 153.3  0.00  0.00  1.00  0.92  0.72  0.29  0.08  0.07      1      0    728
 2012 260   108    40  11.0     2  0.35   229    78     0   113     0   307     0   0.0 0.000   444 0.000 0.000 0.000 0.000 0.000   0.00   0.00 154.1  0.00  0.00  1.00  0.94  0.74  0.31  0.09  0.07      1      0    745
 2012 261   109    41  11.0     2  0.39   250    96     0   122     0   345     0   0.0 0.000   483 0.000 0.000 0.000 0.000 0.000   0.00   0.00 155.1  0.00  0.00  1.00  0.95  0.75  0.32  0.09  0.08      1      0    762
 2012 262   110    42  11.0     2  0.42   271   113     0   130     0   384     0   0.0 0.000   525 0.000 0.000 0.000 0.000 0.000   0.00   0.00 156.0  0.00  0.00  1.00  0.97  0.77  0.35  0.10  0.08      1      0    778
 2012 263   111    43  12.0     2  0.46   295   135     0   140     0   430     0   0.0 0.000   568 0.000 0.000 0.000 0.000 0.000   0.00   0.00 156.9  0.00  0.00  1.00  0.98  0.79  0.37  0.10  0.09      2      0    795
 2012 264   112    44  12.0     2  0.50   317   162     0   151     0   479     0   0.0 0.000   606 0.000 0.189 0.000 0.000 0.000   0.00   0.00 157.6  0.00  0.00  1.00  1.01  0.81  0.39  0.11  0.10      2      0    813
 2012 265   113    45  12.0     3  0.51   325   179     0   154     0   504     0   0.0 0.000   624 0.000 0.000 0.000 0.000 0.000   0.00   0.00 157.9  0.00  0.00  1.00  1.03  0.83  0.42  0.12  0.11      2      0    829
 2012 266   114    46  12.0     3  0.55   347   211     0   162     0   559     0   0.0 0.000   676 0.000 0.000 0.000 0.000 0.000   0.00   0.00 159.2  0.00  0.00  1.00  1.04  0.84  0.43  0.12  0.11      2      0    846
 2012 267   115    47  12.0     3  0.59   370   247     0   171     0   618     0   0.0 0.000   730 0.000 0.000 0.000 0.000 0.000   0.00   0.00 160.4  0.00  0.00  1.00  1.05  0.86  0.45  0.13  0.12      2      0    864
 2012 268   116    48  13.0     3  0.63   390   283     0   179     0   673     0   0.0 0.000   787 0.000 0.000 0.000 0.000 0.000   0.00   0.00 161.4  0.00  0.00  1.00  1.07  0.88  0.47  0.14  0.12      2      0    882
 2012 269   117    49  13.0     3  0.66   408   325     0   187     0   733     0   0.0 0.000   829 0.000 0.247 0.000 0.000 0.000   0.00   0.00 162.3  0.00  0.00  1.00  1.09  0.90  0.49  0.14  0.13      2      0    900
 2012 270   118    50  13.0     3  0.71   435   368     0   198     0   803     0   0.0 0.000   829 0.000 0.000 0.000 0.000 0.000   0.00   0.00 163.4  0.00  0.00  1.00  1.11  0.92  0.51  0.15  0.14      3      0    917
 2012 271   119    51  13.0     3  0.74   451   419     0   208     0   870     0   0.0 0.000   829 0.119 0.412 0.000 0.000 0.000   0.00   0.00 163.1  0.00  0.00  1.00  1.13  0.94  0.54  0.16  0.14      3      0    935
 2012 272   120    52  13.0     3  0.74   459   459     0   214     0   918     0   0.0 0.000   824 0.350 0.567 0.000 0.000 0.000   0.00   0.00 160.7  0.00  0.00  1.00  1.16  0.97  0.57  0.17  0.15      3      0    953
 2012 273   121    53  13.0     3  0.73   464   494     0   219     0   958     0   0.0 0.000   811 0.477 0.651 0.000 0.000 0.000   0.00   0.00 157.2  0.00  0.00  1.00  1.17  0.98  0.58  0.17  0.16      5      0    971
 2012 274   122    54  14.0     3  0.77   487   529     0   227     0  1016     0   0.0 0.000   793 0.000 0.000 0.000 0.000 0.000   0.00   0.00 158.1  0.00  0.00  1.00  1.18  1.00  0.60  0.17  0.16      6      0    987
 2012 275   123    55  14.0     3  0.81   507   565     0   235     0  1073     0   0.0 0.000   793 0.000 0.000 0.000 0.000 0.000   0.00   0.00 158.8  0.00  0.00  1.00  1.20  1.01  0.62  0.18  0.17      7      0   1005
 2012 276   124    56  14.0     3  0.84   527   614     0   245     0  1141     0   0.0 0.000   793 0.000 0.191 0.000 0.000 0.000   0.00   0.00 159.5  0.00  0.00  1.00  1.22  1.03  0.64  0.19  0.17      8      0   1023
 2012 277   125    57  14.0     3  0.86   539   662     0   253     0  1201     0   0.0 0.000   792 0.141 0.427 0.000 0.000 0.000   0.00   0.00 158.9  0.00  0.00  1.00  1.24  1.06  0.67  0.20  0.18      9      0   1041
 2012 278   126    58  14.0     3  0.85   542   694     0   257     0  1236     0   0.0 0.000   787 0.605 0.737 0.000 0.000 0.000   0.00   0.00 156.6  0.00  0.00  1.00  1.25  1.08  0.69  0.20  0.19     11      0   1057
 2012 279   127    59  14.0     3  0.84   544   723     0   259     0  1267     0   0.0 0.000   765 0.626 0.751 0.000 0.000 0.000   0.00   0.00 154.3  0.00  0.00  1.00  1.25  1.09  0.70  0.21  0.19     12      0   1074
 2012 280   128    60  15.0     3  0.83   547   753     0   263     0  1300     0   0.0 0.000   743 0.469 0.646 0.000 0.000 0.000   0.00   0.00 151.0  0.00  0.00  1.00  1.24  1.10  0.71  0.21  0.20     15      0   1092
 2012 281   129    61  15.0     3  0.82   548   776     0   264     0  1324     0   0.0 0.000   727 0.722 0.814 0.000 0.000 0.000   0.00   0.00 148.7  0.00  0.00  1.00  1.24  1.11  0.73  0.21  0.20     18      0   1109
 2012 282   130    62  15.0     3  0.80   549   793     0   265     0  1341     0   0.0 0.000   703 0.789 0.859 0.000 0.000 0.000   0.00   0.00 146.3  0.00  0.00  1.00  1.23  1.11  0.73  0.22  0.20     21      0   1124
 2012 283   131    63  15.0     3  0.79   549   810     0   266     0  1359     0   0.0 0.000   678 0.775 0.850 0.000 0.000 0.000   0.00   0.00 143.9  0.00  0.00  1.00  1.22  1.12  0.74  0.22  0.20     24      0   1140
 2012 284   132    64  15.0     3  0.78   550   826     0   266     0  1376     0   0.0 0.000   654 0.795 0.863 0.000 0.000 0.000   0.00   0.00 141.5  0.00  0.00  1.00  1.22  1.12  0.74  0.22  0.21     28      0   1156
 2012 285   133    65  15.0     3  0.76   550   843     0   266     0  1393     0   0.0 0.000   630 0.762 0.842 0.000 0.000 0.000   0.00   0.00 139.1  0.00  0.00  1.00  1.21  1.12  0.75  0.22  0.21     32      0   1174
 2012 286   134    66  15.0     3  0.75   550   857     0   266     0  1407     0   0.0 0.000   608 0.823 0.882 0.000 0.000 0.000   0.00   0.00 136.7  0.00  0.00  1.00  1.20  1.12  0.75  0.22  0.21     37      0   1190
 2012 287   135    67  16.0     3  0.74   550   870     0   266     0  1420     0   0.0 0.000   586 0.830 0.886 0.000 0.000 0.000   0.00   0.00 134.2  0.00  0.00  1.00  1.20  1.12  0.76  0.22  0.21     41      0   1206
 2012 288   136    68  16.0     3  0.72   549   882     0   265     0  1432     0   0.0 0.000   564 0.846 0.897 0.000 0.000 0.000   0.00   0.00 131.8  0.00  0.00  1.00  1.19  1.12  0.76  0.22  0.21     47      0   1222
 2012 289   137    69  16.0     3  0.71   549   893     0   265     0  1442     0   0.0 0.000   543 0.854 0.903 0.000 0.000 0.000   0.00   0.00 129.3  0.00  0.00  1.00  1.19  1.12  0.76  0.22  0.21     52      0   1237
 2012 290   138    70  16.0     3  0.70   549   903     0   264     0  1452     0   0.0 0.000   522 0.869 0.913 0.000 0.000 0.000   0.00   0.00 126.9  0.00  0.00  1.00  1.18  1.12  0.76  0.23  0.21     58      0   1251
 2012 291   139    71  16.0     3  0.68   549   913     0   263     0  1462     0   0.0 0.000   502 0.858 0.905 0.000 0.000 0.000   0.00   0.00 124.4  0.00  0.00  1.00  1.17  1.12  0.77  0.23  0.21     64      0   1268
 2012 292   140    72  16.0     3  0.67   549   924     0   262     0  1472     0   0.0 0.000   483 0.855 0.904 0.000 0.000 0.000   0.00   0.00 122.0  0.00  0.00  1.00  1.17  1.11  0.77  0.23  0.21     71      0   1284
 2012 293   141    73  16.0     3  0.66   548   933     0   261     0  1482     0   0.0 0.000   465 0.855 0.903 0.000 0.000 0.000   0.00   0.00 119.5  0.00  0.00  1.00  1.17  1.11  0.77  0.23  0.21     78      0   1299
 2012 294   142    74  16.0     4  0.65   548   995     0   269     0  1543     0   0.0 0.000   458 0.000 0.000 0.000 0.000 0.000   0.00   0.00 118.9  0.00  0.00  1.00  1.17  1.11  0.77  0.23  0.21     85      0   1315
 2012 295   143    75  16.0     4  0.65   548  1047     0   276     0  1595     0   0.0 0.000   452 0.000 0.000 0.000 0.000 0.000   0.00   0.00 118.3  0.00  0.00  1.00  1.19  1.13  0.79  0.23  0.22     92      0   1331
 2012 296   144    76  16.0     4  0.65   548  1104     0   283     0  1652     0   0.0 0.000   444 0.000 0.200 0.000 0.000 0.000   0.00   0.00 117.8  0.00  0.00  1.00  1.20  1.15  0.81  0.24  0.23     99      0   1349
 2012 297   145    77  16.0     4  0.63   548  1147     0   288     0  1695     0   0.0 0.000   434 0.372 0.581 0.000 0.000 0.000   0.00   0.00 115.6  0.00  0.00  1.00  1.22  1.17  0.83  0.24  0.23    107      0   1365
