Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,20.4,33.6,24.7,NA,6.051,0,6.051,6.051,0,6.051,0,0,6.05,6.05,0,6.05,0,0,NA,NA,NA,1.61,1.078,0.998,0.694,0.546,0.614,0.512,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,23.9,36.7,25,NA,7.976,0,7.976,6.265,0,6.265,0,0,14.03,12.32,0,12.32,0,0,NA,NA,NA,1.708,1.116,1.023,0.711,0.559,0.629,0.52,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,21.7,36.7,22.7,NA,7.083,0,7.083,6.005,0,6.005,0,0,21.11,18.32,0,18.32,0,0,NA,NA,NA,1.514,1.085,1.011,0.706,0.553,0.622,0.514,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,19.1,34.6,23.7,NA,5.668,0,5.668,1.101,0,1.101,0,0,26.78,19.42,0,19.42,0,0,NA,NA,NA,0.915,0.115,0.04,0.014,0.007,0.006,0.003,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,20,36.4,24,NA,6.439,0,6.439,1.102,0,1.102,0,0,33.22,20.52,0,20.52,0,0,NA,NA,NA,0.915,0.117,0.04,0.014,0.007,0.006,0.003,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,17.5,34.8,25,NA,5.25,0,5.25,5.25,0,5.25,0,0,38.47,25.77,0,25.77,0,0,NA,NA,NA,1.275,0.963,0.892,0.623,0.488,0.551,0.457,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,24,35,25,NA,7.217,0,7.217,1.112,0,1.112,0,0,45.68,26.89,0,26.89,0,0,NA,NA,NA,0.927,0.116,0.039,0.014,0.007,0.006,0.003,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,20.2,36.9,25.2,NA,6.734,0,6.734,1.113,0,1.113,0,0,52.42,28,0,28,0,0,NA,NA,NA,0.926,0.117,0.039,0.014,0.007,0.006,0.003,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,20.1,36.1,24.5,NA,6.395,0,6.395,5.762,0,5.762,0,0,58.81,33.76,0,33.76,0,0,NA,NA,NA,1.386,1.067,0.983,0.681,0.535,0.606,0.503,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,18.8,35.5,24.4,NA,5.768,0,5.768,1.079,0,1.079,0,0,64.58,34.84,0,34.84,0,0,NA,NA,NA,0.897,0.114,0.038,0.014,0.007,0.006,0.003,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,20.4,36.4,24.4,NA,6.592,0,6.592,1.109,0,1.109,0,0,71.17,35.95,0,35.95,0,0,NA,NA,NA,0.924,0.116,0.038,0.014,0.007,0.006,0.003,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,25,37.8,24.3,NA,8.668,0,8.668,5.715,0,5.715,0,0,79.84,41.66,0,41.66,0,0,NA,NA,NA,1.404,1.064,0.959,0.667,0.526,0.598,0.498,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,23.4,36.9,25.4,NA,7.796,0,7.796,5.711,0,5.711,0,0,87.64,47.37,0,47.37,0,0,NA,NA,NA,1.462,1.052,0.944,0.653,0.518,0.59,0.492,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,21.7,35,25.6,NA,6.575,0,6.575,5.669,0,5.669,0,0,94.21,53.04,0,53.04,0,0,NA,NA,NA,1.47,1.055,0.926,0.639,0.509,0.582,0.487,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,24.8,38.8,24.7,NA,9.049,0,9.049,1.039,0,1.039,0,0,103.26,54.08,0,54.08,0,0,NA,NA,NA,0.862,0.113,0.036,0.013,0.007,0.005,0.003,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,25.2,38.4,23.7,NA,8.92,0,8.92,0.96,0,0.96,0,0,112.18,55.04,0,55.04,0,0,NA,NA,NA,0.784,0.112,0.036,0.013,0.007,0.005,0.003,0,0
