Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,11.1,12,12.9,9,18,0.66,31.4,23.2,27.1,28.5,19.5,27.1,28.5,173,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,4.2,12,12.9,24.6,49.2,0.08,31.1,24.2,27.5,28.6,20.4,27.5,28.6,171,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,6.1,12,12.9,21.3,42.6,0.2,32.6,23.3,27.7,29.3,19,27.7,29.3,227,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,3.8,12,12.9,10,20,0.63,29.4,24,26.6,27.5,21.1,26.6,27.5,181,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,5.7,12,12.9,21.8,43.6,0.18,32.3,23.2,27.6,29,19,27.6,29,99,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,4.2,12,12.9,20,40,0.25,36.1,23.7,29.6,31.6,17.6,29.6,31.6,213,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,8.7,12,12.9,23,46,0.14,33.8,23.1,28.2,30,18.5,28.2,30,173,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,9.6,12,12.9,22,44,0.18,31.2,24.2,27.5,28.7,21,27.5,28.7,293,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,3.4,12,12.9,15.5,31,0.42,31.4,24.1,27.6,28.8,21.2,27.6,28.8,312,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,8.8,12,12.9,19.3,38.6,0.28,29.2,23.8,26.4,27.3,21.2,26.4,27.3,216,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,6.3,12,12.9,18.6,37.2,0.3,29.5,23.2,26.2,27.2,19.9,26.2,27.2,141,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,4,12,12.9,22.6,45.2,0.15,32,22.2,26.9,28.5,17.8,26.9,28.5,141,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,9.4,12,12.9,23.6,47.2,0.11,33.9,23.5,28.5,30.2,18.4,28.5,30.2,212,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,2.9,12,12.9,21.8,43.6,0.18,31.7,22.9,27.1,28.5,19.4,27.1,28.5,237,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,1.7,12,12.9,22.7,45.4,0.15,31.4,23.3,27.2,28.5,20.1,27.2,28.5,221,393.8,0,0,NA,2012-06-15
16,CRDA1201,RICER048,1,1,2012-06-16,16,2.9,12,12.9,24.4,48.8,0.08,34.5,23.4,28.7,30.5,18.6,28.7,30.5,143,393.8,0,0,NA,2012-06-16
17,CRDA1201,RICER048,1,1,2012-06-17,17,3.2,12,12.9,20.9,41.8,0.21,31.9,24.2,27.9,29.1,20.5,27.9,29.1,134,393.8,0,0,NA,2012-06-17
18,CRDA1201,RICER048,1,1,2012-06-18,18,3,12,12.9,20.4,40.8,0.23,30.8,24.3,27.4,28.5,20.3,27.4,28.5,142,393.8,0,0,NA,2012-06-18
19,CRDA1201,RICER048,1,1,2012-06-19,19,3,12,12.9,25.2,50.4,0.05,35,23.8,29.2,31,18.3,29.2,31,212,393.8,0,0,NA,2012-06-19
20,CRDA1201,RICER048,1,1,2012-06-20,20,4.7,12,12.9,21.8,43.6,0.18,32.1,23.4,27.6,29,19.9,27.6,29,255,393.8,0,0,NA,2012-06-20
21,CRDA1201,RICER048,1,1,2012-06-21,21,2,12,12.9,16.9,33.8,0.36,29,24,26.4,27.2,21.5,26.4,27.2,232,393.8,0,0,NA,2012-06-21
22,CRDA1201,RICER048,1,1,2012-06-22,22,0.3,12,12.9,24.4,48.8,0.08,34.2,22.9,28.3,30.1,17.9,28.3,30.1,157,393.8,0,0,NA,2012-06-22
23,CRDA1201,RICER048,1,1,2012-06-23,23,5.2,12,12.9,23.5,47,0.12,34.2,22.5,28.1,30,17.5,28.1,30,157,393.8,0,0,NA,2012-06-23
24,CRDA1201,RICER048,1,1,2012-06-24,24,33.5,12,12.9,21,42,0.21,30.4,23.3,26.7,27.9,20.8,26.7,27.9,259,393.8,0,0,NA,2012-06-24
25,CRDA1201,RICER048,1,1,2012-06-25,25,6.6,12,12.9,17.2,34.4,0.35,27.9,23.9,25.8,26.5,22.3,25.8,26.5,252,393.8,0,0,NA,2012-06-25
26,CRDA1201,RICER048,1,1,2012-06-26,26,27,12,12.9,24.1,48.2,0.09,28.8,23.2,25.9,26.8,21.1,25.9,26.8,227,393.8,0,0,NA,2012-06-26
27,CRDA1201,RICER048,1,1,2012-06-27,27,26.8,12,12.9,19.9,39.8,0.25,27.8,23.5,25.6,26.3,21.6,25.6,26.3,164,393.8,0,0,NA,2012-06-27
28,CRDA1201,RICER048,1,1,2012-06-28,28,32.5,12,12.9,23.2,46.4,0.13,29.7,23.1,26.3,27.3,20.4,26.3,27.3,140,393.8,0,0,NA,2012-06-28
29,CRDA1201,RICER048,1,1,2012-06-29,29,7.4,12,12.9,20.8,41.6,0.22,32.4,22.9,27.4,29,18.5,27.4,29,116,393.8,0,0,NA,2012-06-29
30,CRDA1201,RICER048,1,1,2012-06-30,30,9.2,12,12.9,16.8,33.6,0.37,30.8,23.1,26.8,28,20.1,26.8,28,130,393.8,0,0,NA,2012-06-30
31,CRDA1201,RICER048,1,1,2012-07-01,31,5.3,12,12.9,14.5,29,0.46,29.4,23.5,26.3,27.3,21,26.3,27.3,118,393.8,0,0,NA,2012-07-01
32,CRDA1201,RICER048,1,1,2012-07-02,32,19.5,12,12.9,21.1,42.2,0.21,30.6,23.2,26.7,27.9,20,26.7,27.9,118,393.8,0,0,NA,2012-07-02
33,CRDA1201,RICER048,1,1,2012-07-03,33,22.9,12,12.9,18.2,36.4,0.32,30.3,23,26.5,27.7,19.9,26.5,27.7,116,393.8,0,0,NA,2012-07-03
34,CRDA1201,RICER048,1,1,2012-07-04,34,9.7,12,12.9,18.5,37,0.31,30.6,23.2,26.7,27.9,19.9,26.7,27.9,79,393.8,0,0,NA,2012-07-04
35,CRDA1201,RICER048,1,1,2012-07-05,35,5.4,12,12.9,21.7,43.4,0.19,30.6,23.1,26.7,27.9,20.4,26.7,27.9,218,393.8,0,0,NA,2012-07-05
36,CRDA1201,RICER048,1,1,2012-07-06,36,4.5,12,12.9,17.4,34.8,0.35,29.1,22.2,25.5,26.6,20,25.5,26.6,377,393.8,0,0,NA,2012-07-06
37,CRDA1201,RICER048,1,1,2012-07-07,37,6.2,12,12.9,20.6,41.2,0.23,29.1,22.3,25.6,26.7,20.2,25.6,26.7,297,393.8,0,0,NA,2012-07-07
38,CRDA1201,RICER048,1,1,2012-07-08,38,1.9,12,12.9,21,42,0.22,29.7,22.2,25.8,27,19.4,25.8,27,203,393.8,0,0,NA,2012-07-08
