Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,21.1,33.6,24.7,NA,6.259,0,6.259,5.881,0,5.881,0,0,6.26,5.88,0,5.88,0,0,NA,NA,NA,1.724,1.16,0.889,0.617,0.486,0.548,0.457,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,22.4,36.7,25,NA,7.468,0,7.468,5.916,0,5.916,0,0,13.73,11.8,0,11.8,0,0,NA,NA,NA,1.765,1.164,0.888,0.616,0.484,0.548,0.452,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,24,36.7,22.7,NA,7.828,0,7.828,5.662,0,5.662,0,0,21.55,17.46,0,17.46,0,0,NA,NA,NA,1.572,1.132,0.877,0.613,0.479,0.543,0.447,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,22.1,34.6,23.7,NA,6.556,0,6.556,1.139,0,1.139,0,0,28.11,18.6,0,18.6,0,0,NA,NA,NA,0.959,0.121,0.033,0.012,0.006,0.005,0.003,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,21.7,36.4,24,NA,6.984,0,6.984,1.141,0,1.141,0,0,35.09,19.74,0,19.74,0,0,NA,NA,NA,0.96,0.123,0.033,0.012,0.006,0.005,0.003,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,20.6,34.8,25,NA,6.178,0,6.178,5.508,0,5.508,0,0,41.27,25.25,0,25.25,0,0,NA,NA,NA,1.48,1.116,0.86,0.604,0.471,0.536,0.442,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,24.7,35,25,NA,7.419,0,7.419,1.14,0,1.14,0,0,48.69,26.39,0,26.39,0,0,NA,NA,NA,0.962,0.121,0.032,0.012,0.006,0.005,0.003,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,21.8,36.9,25.2,NA,7.263,0,7.263,1.147,0,1.147,0,0,55.95,27.53,0,27.53,0,0,NA,NA,NA,0.967,0.122,0.032,0.012,0.006,0.005,0.003,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,21.5,36.1,24.5,NA,6.837,0,6.837,1.14,0,1.14,0,0,62.79,28.67,0,28.67,0,0,NA,NA,NA,0.959,0.124,0.032,0.012,0.006,0.005,0.003,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,23,35.5,24.4,NA,7.071,0,7.071,5.443,0,5.443,0,0,69.86,34.12,0,34.12,0,0,NA,NA,NA,1.464,1.118,0.843,0.591,0.463,0.528,0.437,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,24.3,36.4,24.4,NA,7.838,0,7.838,1.126,0,1.126,0,0,77.7,35.24,0,35.24,0,0,NA,NA,NA,0.949,0.12,0.032,0.011,0.006,0.005,0.003,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,25.7,37.8,24.3,NA,8.903,0,8.903,1.142,0,1.142,0,0,86.6,36.39,0,36.39,0,0,NA,NA,NA,0.965,0.121,0.032,0.011,0.006,0.005,0.003,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,24.1,36.9,25.4,NA,8.044,0,8.044,5.514,0,5.514,0,0,94.65,41.9,0,41.9,0,0,NA,NA,NA,1.564,1.125,0.838,0.578,0.455,0.521,0.432,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,23.9,35,25.6,NA,7.243,0,7.243,5.443,0,5.443,0,0,101.89,47.34,0,47.34,0,0,NA,NA,NA,1.544,1.11,0.834,0.566,0.448,0.514,0.427,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,25.3,38.8,24.7,NA,9.231,0,9.231,1.082,0,1.082,0,0,111.12,48.42,0,48.42,0,0,NA,NA,NA,0.908,0.119,0.031,0.011,0.006,0.005,0.003,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,24.6,38.4,23.7,NA,8.706,0,8.706,0.999,0,0.999,0,0,119.83,49.42,0,49.42,0,0,NA,NA,NA,0.825,0.118,0.031,0.011,0.006,0.005,0.003,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,23,37.6,25.1,NA,7.862,0,7.862,0.941,0,0.941,0,0,127.69,50.36,0,50.36,0,0,NA,NA,NA,0.768,0.118,0.031,0.011,0.006,0.005,0.003,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,22.7,36,25.9,NA,7.166,0,7.166,0.93,0,0.93,0,0,134.86,51.29,0,51.29,0,0,NA,NA,NA,0.758,0.117,0.031,0.011,0.006,0.005,0.003,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,25.1,37.4,25.1,NA,8.484,0,8.484,0.942,0,0.942,0,0,143.34,52.24,0,52.24,0,0,NA,NA,NA,0.771,0.116,0.031,0.011,0.006,0.005,0.003,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,22.9,34.6,26,NA,6.834,0,6.834,0.994,0,0.994,0,0,150.17,53.23,0,53.23,0,0,NA,NA,NA,0.823,0.116,0.031,0.011,0.006,0.005,0.003,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,20.2,35.7,25.5,NA,6.297,0,6.297,1.023,0,1.023,0,0,156.47,54.25,0,54.25,0,0,NA,NA,NA,0.853,0.115,0.031,0.011,0.006,0.005,0.003,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,22.5,36.7,25.2,NA,7.369,0,7.369,1.004,0,1.004,0,0,163.84,55.26,0,55.26,0,0,NA,NA,NA,0.835,0.114,0.031,0.011,0.006,0.005,0.003,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,20.7,33.4,25.9,NA,6.117,0,6.117,1.064,0,1.064,0,0,169.96,56.32,0,56.32,0,0,NA,NA,NA,0.895,0.114,0.031,0.011,0.006,0.005,0.003,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,23.5,30.6,24.7,NA,6.734,0,6.734,6.196,0,6.196,0,0,176.69,62.52,0,62.52,0,0,NA,NA,NA,1.706,1.257,0.989,0.687,0.544,0.562,0.451,0,0
