Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,SRAA,TMAXA,TMINA,REFA,EOAA,EOPA,EOSA,ETAA,EPAA,ESAA,EFAA,EMAA,EOAC,ETAC,EPAC,ESAC,EFAC,EMAC,KCAA,KBSA,KEAA,ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,TRWUD,TWUPD
1,CRDA1201,RICER048,1,1,2012-06-01,1,9,31.4,23.2,NA,2.583,0,2.583,2.583,0,2.583,0,0,2.58,2.58,0,2.58,0,0,NA,NA,NA,0.682,0.48,0.427,0.296,0.233,0.252,0.212,0,0
2,CRDA1201,RICER048,1,1,2012-06-02,2,24.6,31.1,24.2,NA,7.171,0,7.171,7.171,0,7.171,0,0,9.75,9.75,0,9.75,0,0,NA,NA,NA,1.99,1.335,1.166,0.804,0.629,0.678,0.569,0,0
3,CRDA1201,RICER048,1,1,2012-06-03,3,21.3,32.6,23.3,NA,6.226,0,6.226,6.226,0,6.226,0,0,15.98,15.98,0,15.98,0,0,NA,NA,NA,1.685,1.145,1.023,0.711,0.558,0.601,0.503,0,0
4,CRDA1201,RICER048,1,1,2012-06-04,4,10,29.4,24,NA,2.846,0,2.846,2.846,0,2.846,0,0,18.83,18.83,0,18.83,0,0,NA,NA,NA,0.767,0.52,0.468,0.326,0.256,0.277,0.232,0,0
5,CRDA1201,RICER048,1,1,2012-06-05,5,21.8,32.3,23.2,NA,6.363,0,6.363,6.363,0,6.363,0,0,25.19,25.19,0,25.19,0,0,NA,NA,NA,1.751,1.16,1.037,0.721,0.567,0.612,0.513,0,0
6,CRDA1201,RICER048,1,1,2012-06-06,6,20,36.1,23.7,NA,6.391,0,6.391,6.391,0,6.391,0,0,31.58,31.58,0,31.58,0,0,NA,NA,NA,1.732,1.167,1.047,0.729,0.574,0.62,0.521,0,0
7,CRDA1201,RICER048,1,1,2012-06-07,7,23,33.8,23.1,NA,6.79,0,6.79,6.79,0,6.79,0,0,38.37,38.37,0,38.37,0,0,NA,NA,NA,1.839,1.253,1.112,0.772,0.607,0.656,0.552,0,0
8,CRDA1201,RICER048,1,1,2012-06-08,8,22,31.2,24.2,NA,6.388,0,6.388,6.388,0,6.388,0,0,44.76,44.76,0,44.76,0,0,NA,NA,NA,1.74,1.204,1.044,0.72,0.563,0.607,0.51,0,0
9,CRDA1201,RICER048,1,1,2012-06-09,9,15.5,31.4,24.1,NA,4.509,0,4.509,4.509,0,4.509,0,0,49.27,49.27,0,49.27,0,0,NA,NA,NA,1.199,0.844,0.747,0.517,0.404,0.434,0.364,0,0
10,CRDA1201,RICER048,1,1,2012-06-10,10,19.3,29.2,23.8,NA,5.461,0,5.461,5.461,0,5.461,0,0,54.73,54.73,0,54.73,0,0,NA,NA,NA,1.468,1.018,0.9,0.624,0.488,0.524,0.438,0,0
11,CRDA1201,RICER048,1,1,2012-06-11,11,18.6,29.5,23.2,NA,5.276,0,5.276,5.276,0,5.276,0,0,60,60,0,60,0,0,NA,NA,NA,1.444,0.982,0.863,0.598,0.468,0.503,0.419,0,0
12,CRDA1201,RICER048,1,1,2012-06-12,12,22.6,32,22.2,NA,6.537,0,6.537,6.537,0,6.537,0,0,66.54,66.54,0,66.54,0,0,NA,NA,NA,1.768,1.205,1.074,0.747,0.587,0.63,0.526,0,0
13,CRDA1201,RICER048,1,1,2012-06-13,13,23.6,33.9,23.5,NA,6.994,0,6.994,6.994,0,6.994,0,0,73.54,73.54,0,73.54,0,0,NA,NA,NA,1.878,1.298,1.15,0.8,0.628,0.676,0.564,0,0
14,CRDA1201,RICER048,1,1,2012-06-14,14,21.8,31.7,22.9,NA,6.305,0,6.305,6.305,0,6.305,0,0,79.84,79.84,0,79.84,0,0,NA,NA,NA,1.664,1.172,1.044,0.726,0.571,0.615,0.513,0,0
15,CRDA1201,RICER048,1,1,2012-06-15,15,22.7,31.4,23.3,NA,6.53,0,6.53,6.53,0,6.53,0,0,86.37,86.37,0,86.37,0,0,NA,NA,NA,1.64,1.205,1.1,0.77,0.607,0.657,0.55,0,0
16,CRDA1201,RICER048,1,1,2012-06-16,16,24.4,34.5,23.4,NA,7.219,0,7.219,6.718,0,6.718,0,0,93.59,93.09,0,93.09,0,0,NA,NA,NA,1.66,1.232,1.136,0.796,0.631,0.686,0.576,0,0
17,CRDA1201,RICER048,1,1,2012-06-17,17,20.9,31.9,24.2,NA,6.055,0,6.055,6.055,0,6.055,0,0,99.64,99.14,0,99.14,0,0,NA,NA,NA,1.523,1.11,1.012,0.71,0.565,0.616,0.519,0,0
18,CRDA1201,RICER048,1,1,2012-06-18,18,20.4,30.8,24.3,NA,5.854,0,5.854,5.854,0,5.854,0,0,105.5,105,0,105,0,0,NA,NA,NA,1.501,1.08,0.965,0.677,0.541,0.591,0.499,0,0
19,CRDA1201,RICER048,1,1,2012-06-19,19,25.2,35,23.8,NA,7.526,0,7.526,6.571,0,6.571,0,0,113.02,111.57,0,111.57,0,0,NA,NA,NA,1.703,1.223,1.071,0.752,0.603,0.661,0.559,0,0
20,CRDA1201,RICER048,1,1,2012-06-20,20,21.8,32.1,23.4,NA,6.298,0,6.298,6.298,0,6.298,0,0,119.32,117.87,0,117.87,0,0,NA,NA,NA,1.67,1.179,1.015,0.707,0.57,0.626,0.531,0,0
21,CRDA1201,RICER048,1,1,2012-06-21,21,16.9,29,24,NA,4.761,0,4.761,4.761,0,4.761,0,0,124.08,122.63,0,122.63,0,0,NA,NA,NA,1.266,0.901,0.765,0.529,0.428,0.472,0.4,0,0
22,CRDA1201,RICER048,1,1,2012-06-22,22,24.4,34.2,22.9,NA,7.187,0,7.187,1.316,0,1.316,0,0,131.27,123.94,0,123.94,0,0,NA,NA,NA,1.101,0.138,0.043,0.015,0.008,0.006,0.004,0,0
23,CRDA1201,RICER048,1,1,2012-06-23,23,23.5,34.2,22.5,NA,6.879,0,6.879,6.436,0,6.436,0,0,138.15,130.38,0,130.38,0,0,NA,NA,NA,1.698,1.234,1.037,0.71,0.577,0.637,0.542,0,0
24,CRDA1201,RICER048,1,1,2012-06-24,24,21,30.4,23.3,NA,5.973,0,5.973,5.973,0,5.973,0,0,144.12,136.35,0,136.35,0,0,NA,NA,NA,1.624,1.186,1.003,0.656,0.502,0.541,0.461,0,0
25,CRDA1201,RICER048,1,1,2012-06-25,25,17.2,27.9,23.9,NA,4.816,0,4.816,4.816,0,4.816,0,0,148.94,141.17,0,141.17,0,0,NA,NA,NA,1.313,0.949,0.835,0.551,0.406,0.413,0.349,0,0
26,CRDA1201,RICER048,1,1,2012-06-26,26,24.1,28.8,23.2,NA,6.789,0,6.789,6.789,0,6.789,0,0,155.73,147.96,0,147.96,0,0,NA,NA,NA,1.815,1.324,1.163,0.803,0.605,0.598,0.48,0,0
27,CRDA1201,RICER048,1,1,2012-06-27,27,19.9,27.8,23.5,NA,5.546,0,5.546,5.546,0,5.546,0,0,161.27,153.5,0,153.5,0,0,NA,NA,NA,1.415,1.081,0.944,0.663,0.513,0.524,0.406,0,0
28,CRDA1201,RICER048,1,1,2012-06-28,28,23.2,29.7,23.1,NA,6.592,0,6.592,6.592,0,6.592,0,0,167.86,160.09,0,160.09,0,0,NA,NA,NA,1.667,1.262,1.1,0.772,0.611,0.653,0.526,0,0
29,CRDA1201,RICER048,1,1,2012-06-29,29,20.8,32.4,22.9,NA,6.065,0,6.065,6.065,0,6.065,0,0,173.93,166.16,0,166.16,0,0,NA,NA,NA,1.55,1.133,0.999,0.706,0.562,0.605,0.511,0,0
