Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,DAP,L_SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,EWAD,CWAD,G_AD,GWGD,HIAD,T_AD,WSPD,WSGD,EWSD,NSTD,KSTD,LN_D,SH_D,SLAD,CHTD,CWID,RDPD,RL1D,RL2D,RL3D,RL4D,RL5D,SNW0C,SNW1C,DTTC
1,CRDA1201,RICER048,1,1,2012-07-13,43,0,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,17
2,CRDA1201,RICER048,1,1,2012-07-14,44,1,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,34
3,CRDA1201,RICER048,1,1,2012-07-15,45,2,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,51
4,CRDA1201,RICER048,1,1,2012-07-16,46,3,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,68
5,CRDA1201,RICER048,1,1,2012-07-17,47,4,0,0,0,1,1,0,1,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,85
6,CRDA1201,RICER048,1,1,2012-07-18,48,5,1,1,0.01,2,1,0,1,0,2,0,0,0,60,0,0,0,0,0,0,0,291.3,0,0,0.07,0.71,0.5,0,0,0,0,0,102
7,CRDA1201,RICER048,1,1,2012-07-19,49,6,1,1,0.01,3,1,0,1,0,3,0,0,0,60,0,0,0,0,0,0,0,248.5,0,0,0.07,0.71,0.5,0,0,0,0,0,119
8,CRDA1201,RICER048,1,1,2012-07-20,50,7,1,1,0.01,4,1,0,1,0,5,0,0,0,60,0,0,0,0,0,0,0,229.7,0,0,0.1,0.71,0.5,0,0,0,0,0,136
9,CRDA1201,RICER048,1,1,2012-07-21,51,8,2,1,0.01,5,1,0,2,0,6,0,0,0,60,0,0,0,0,0,0,0,218,0,0,0.13,0.71,0.5,0,0,0,0,0,154
10,CRDA1201,RICER048,1,1,2012-07-22,52,9,2,1,0.01,7,1,0,2,0,7,0,0,0,60,0,0,0,0,0,0,0,210.9,0,0,0.16,0.71,0.5,0,0,0,0,0,171
11,CRDA1201,RICER048,1,1,2012-07-23,53,10,3,1,0.02,8,1,0,3,0,9,0,0,0,60,0,0,0,0,0,0,0,205.6,0,0,0.19,0.71,0.5,0,0,0,0,0,188
12,CRDA1201,RICER048,1,1,2012-07-24,54,11,3,1,0.02,10,1,0,4,0,10,0,0,0,60,0,0,0,0,0,0,0,201.6,0,0,0.23,0.71,0.5,0,0,0,0,0,205
13,CRDA1201,RICER048,1,1,2012-07-25,55,12,3,1,0.02,11,1,0,5,0,12,0,0,0,60,0,0,0,0,0,0,0,198.5,0,0,0.26,0.71,0.5,0.01,0,0,0,0,222
14,CRDA1201,RICER048,1,1,2012-07-26,56,13,4,1,0.03,13,1,0,7,0,14,0,0,0,60,0,0,0,0,0,0,0,196.1,0,0,0.29,0.71,0.5,0.01,0,0,0,0,240
15,CRDA1201,RICER048,1,1,2012-07-27,57,14,4,1,0.03,16,1,0,9,0,16,0,0,0,60,0,0,0,0,0,0,0,194.1,0,0,0.32,0.71,0.51,0.02,0,0,0,0,258
16,CRDA1201,RICER048,1,1,2012-07-28,58,15,4,1,0.03,18,1,0,12,0,19,0,0,0,60,0,0,0,0,0,0,0,192.5,0,0,0.35,0.71,0.51,0.02,0,0,0,0,276
17,CRDA1201,RICER048,1,1,2012-07-29,59,16,5,1,0.04,20,1,0,14,0,21,0,0,0,60,0,0,0,0,0,0,0,191.2,0,0,0.38,0.72,0.52,0.03,0.01,0,0,0,293
18,CRDA1201,RICER048,1,1,2012-07-30,60,17,5,1,0.04,22,1,0,18,0,23,0,0,0,60,0,0,0,0,0,0,0,190.4,0,0,0.41,0.72,0.52,0.04,0.01,0,0,0,310
19,CRDA1201,RICER048,1,1,2012-07-31,61,18,5,1,0.05,24,1,0,21,0,25,0,0,0,60,0,0,0,0,0,0,0,189.6,0,0,0.44,0.73,0.53,0.05,0.02,0,0,0,327
20,CRDA1201,RICER048,1,1,2012-08-01,62,19,5,1,0.05,27,1,0,22,0,27,0,0,0,60,0,0,0,0,0,0,0,200.2,0,0,0.47,0.73,0.53,0.05,0.03,0,0,0,343
21,CRDA1201,RICER048,1,1,2012-08-02,63,20,5,1,0.06,30,1,0,24,0,31,0,0,0,114,0,0,0,0,0,0,0,198.1,0,0,0.5,0.73,0.53,0.06,0.03,0,0,0,360
22,CRDA1201,RICER048,1,1,2012-08-03,64,21,6,1,0.07,34,1,0,26,0,34,0,0,0,118,0,0,0,0,0,0,0,196.4,0,0,0.53,0.73,0.53,0.06,0.04,0,0,0,375
