Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
28,CRDA1201,RICER048,1,1,2012-06-28,28,32.3,12,12.9,24.6,49.2,0.08,30.6,23.8,27.1,28.2,21.2,27.1,28.2,190,393.8,0,0,NA,2012-06-28
29,CRDA1201,RICER048,1,1,2012-06-29,29,5.7,12,12.9,23.6,47.2,0.11,32.5,23.6,27.9,29.3,19.8,27.9,29.3,112,393.8,0,0,NA,2012-06-29
30,CRDA1201,RICER048,1,1,2012-06-30,30,6,12,12.9,16.9,33.8,0.37,30.9,23.9,27.2,28.4,20.6,27.2,28.4,162,393.8,0,0,NA,2012-06-30
31,CRDA1201,RICER048,1,1,2012-07-01,31,6.4,12,12.9,15.9,31.8,0.4,29.9,24,26.8,27.8,21.2,26.8,27.8,130,393.8,0,0,NA,2012-07-01
32,CRDA1201,RICER048,1,1,2012-07-02,32,11,12,12.9,22.6,45.2,0.15,31.5,24.1,27.6,28.8,20.9,27.6,28.8,116,393.8,0,0,NA,2012-07-02
33,CRDA1201,RICER048,1,1,2012-07-03,33,12.7,12,12.9,19.1,38.2,0.28,31.2,23.8,27.3,28.5,20.6,27.3,28.5,116,393.8,0,0,NA,2012-07-03
34,CRDA1201,RICER048,1,1,2012-07-04,34,3.4,12,12.9,23.8,47.6,0.11,31.8,24.4,27.9,29.1,20.3,27.9,29.1,69,393.8,0,0,NA,2012-07-04
35,CRDA1201,RICER048,1,1,2012-07-05,35,2,12,12.9,22.9,45.8,0.14,32,23.8,27.7,29.1,20.8,27.7,29.1,255,393.8,0,0,NA,2012-07-05
36,CRDA1201,RICER048,1,1,2012-07-06,36,2.6,12,12.9,18.2,36.4,0.32,30.2,23.1,26.5,27.7,20.8,26.5,27.7,413,393.8,0,0,NA,2012-07-06
37,CRDA1201,RICER048,1,1,2012-07-07,37,3.2,12,12.9,18.8,37.6,0.3,30.3,23.2,26.6,27.8,20.9,26.6,27.8,336,393.8,0,0,NA,2012-07-07
38,CRDA1201,RICER048,1,1,2012-07-08,38,1.4,12,12.9,19.6,39.2,0.27,30.3,23.4,26.7,27.8,20.7,26.7,27.8,227,393.8,0,0,NA,2012-07-08
39,CRDA1201,RICER048,1,1,2012-07-09,39,4,12,12.9,22.8,45.6,0.15,31,23.2,26.9,28.2,19.8,26.9,28.2,121,393.8,0,0,NA,2012-07-09
40,CRDA1201,RICER048,1,1,2012-07-10,40,3,12,12.9,22.6,45.2,0.16,31.9,23.4,27.5,28.8,19.6,27.5,28.8,105,393.8,0,0,NA,2012-07-10
41,CRDA1201,RICER048,1,1,2012-07-11,41,2.5,12,12.9,24.3,48.6,0.1,32.6,23.7,28,29.4,20.2,28,29.4,205,393.8,0,0,NA,2012-07-11
42,CRDA1201,RICER048,1,1,2012-07-12,42,6.2,12,12.9,21.1,42.2,0.22,31.4,24.4,27.7,28.9,21.9,27.7,28.9,388,393.8,0,0,NA,2012-07-12
43,CRDA1201,RICER048,1,1,2012-07-13,43,4,12,12.9,14.1,28.2,0.48,29.5,24.3,26.8,27.6,22.2,26.8,27.6,262,393.8,0,0,NA,2012-07-13
44,CRDA1201,RICER048,1,1,2012-07-14,44,7.3,12,12.9,21.6,43.2,0.2,28.1,22.9,25.4,26.2,21.2,25.4,26.2,267,393.8,0,0,NA,2012-07-14
45,CRDA1201,RICER048,1,1,2012-07-15,45,5.2,12,12.9,20.7,41.4,0.23,29.4,23.2,26.2,27.2,21.1,26.2,27.2,220,394.1,0,0,NA,2012-07-15
46,CRDA1201,RICER048,1,1,2012-07-16,46,9.8,12,12.9,13.7,27.4,0.49,28.8,24,26.3,27.1,22,26.3,27.1,109,394.1,0,0,NA,2012-07-16
47,CRDA1201,RICER048,1,1,2012-07-17,47,8.2,12,12.9,24.6,49.2,0.09,30,22.9,26.3,27.5,20.3,26.3,27.5,210,394.1,0,0,NA,2012-07-17
48,CRDA1201,RICER048,1,1,2012-07-18,48,2.6,12,12.9,23.7,47.4,0.12,30,22.9,26.3,27.5,20.3,26.3,27.5,194,394.1,0,0,NA,2012-07-18
49,CRDA1201,RICER048,1,1,2012-07-19,49,2.2,12,12.9,19.3,38.6,0.29,30.7,22.5,26.4,27.8,20,26.4,27.8,177,394.1,0,0,NA,2012-07-19
50,CRDA1201,RICER048,1,1,2012-07-20,50,3.1,12,12.9,24.1,48.2,0.11,29.8,23.4,26.5,27.5,21.3,26.5,27.5,194,394.1,0,0,NA,2012-07-20
51,CRDA1201,RICER048,1,1,2012-07-21,51,4.3,12,12.9,22.3,44.6,0.18,31.5,23.5,27.3,28.6,20.7,27.3,28.6,234,394.1,0,0,NA,2012-07-21
52,CRDA1201,RICER048,1,1,2012-07-22,52,2.4,12,12.9,15.9,31.8,0.42,29.4,22.9,26,27.1,20.6,26,27.1,298,394.1,0,0,NA,2012-07-22
53,CRDA1201,RICER048,1,1,2012-07-23,53,1.2,12,12.9,18.3,36.6,0.33,29.3,23.4,26.2,27.2,21.2,26.2,27.2,244,394.1,0,0,NA,2012-07-23
54,CRDA1201,RICER048,1,1,2012-07-24,54,5.1,12,12.9,19.1,38.2,0.3,30.5,23.8,27,28.1,21.3,27,28.1,162,394.1,0,0,NA,2012-07-24
55,CRDA1201,RICER048,1,1,2012-07-25,55,1.8,12,12.9,19.2,38.4,0.3,31.6,22.9,27.1,28.5,19.7,27.1,28.5,155,394.1,0,0,NA,2012-07-25
56,CRDA1201,RICER048,1,1,2012-07-26,56,2.4,12,12.8,25.1,50.2,0.08,30.9,23.6,27.1,28.3,20.6,27.1,28.3,154,394.1,0,0,NA,2012-07-26
57,CRDA1201,RICER048,1,1,2012-07-27,57,2.8,12,12.8,24.8,49.6,0.09,33.1,23.5,28.1,29.7,20.1,28.1,29.7,154,394.1,0,0,NA,2012-07-27
58,CRDA1201,RICER048,1,1,2012-07-28,58,3.7,12,12.8,22.2,44.4,0.19,30.4,23.1,26.6,27.8,20.6,26.6,27.8,231,394.1,0,0,NA,2012-07-28
59,CRDA1201,RICER048,1,1,2012-07-29,59,7.8,12,12.8,12.6,25.2,0.54,29.1,23.4,26.1,27.1,21.1,26.1,27.1,225,394.1,0,0,NA,2012-07-29
60,CRDA1201,RICER048,1,1,2012-07-30,60,14,12,12.8,23.7,47.4,0.14,28.4,23.6,25.9,26.7,21.9,25.9,26.7,192,394.1,0,0,NA,2012-07-30
