Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
1,CRDA1201,RICER048,1,1,2012-06-01,1,7.2,12,12.9,9,18,0.66,32.5,23.4,27.8,29.2,19.2,27.8,29.2,153,393.6,0,0,NA,2012-06-01
2,CRDA1201,RICER048,1,1,2012-06-02,2,4.2,12,12.9,24.6,49.2,0.08,33,24.9,28.8,30.1,20.4,28.8,30.1,171,393.6,0,0,NA,2012-06-02
3,CRDA1201,RICER048,1,1,2012-06-03,3,4.9,12,12.9,21.3,42.6,0.2,33.6,23.8,28.5,30.1,19.5,28.5,30.1,261,393.6,0,0,NA,2012-06-03
4,CRDA1201,RICER048,1,1,2012-06-04,4,4.3,12,12.9,10,20,0.63,29.9,24.4,27,27.9,21.8,27,27.9,201,393.6,0,0,NA,2012-06-04
5,CRDA1201,RICER048,1,1,2012-06-05,5,7.4,12,12.9,21.8,43.6,0.18,32.6,23.9,28.1,29.5,20.1,28.1,29.5,109,393.6,0,0,NA,2012-06-05
6,CRDA1201,RICER048,1,1,2012-06-06,6,8,12,12.9,20,40,0.25,36,25.1,30.3,32.1,19.4,30.3,32.1,160,393.6,0,0,NA,2012-06-06
7,CRDA1201,RICER048,1,1,2012-06-07,7,5.5,12,12.9,23,46,0.14,33.5,24.1,28.6,30.1,20.1,28.6,30.1,180,393.6,0,0,NA,2012-06-07
8,CRDA1201,RICER048,1,1,2012-06-08,8,8.3,12,12.9,22,44,0.18,32.9,24.9,28.7,30,21.2,28.7,30,289,393.6,0,0,NA,2012-06-08
9,CRDA1201,RICER048,1,1,2012-06-09,9,3.1,12,12.9,15.5,31,0.42,31.8,24.8,28.1,29.3,21.8,28.1,29.3,318,393.6,0,0,NA,2012-06-09
10,CRDA1201,RICER048,1,1,2012-06-10,10,6.8,12,12.9,19.3,38.6,0.28,30.9,24.2,27.4,28.5,20.9,27.4,28.5,226,393.6,0,0,NA,2012-06-10
11,CRDA1201,RICER048,1,1,2012-06-11,11,4.1,12,12.9,18.6,37.2,0.3,31.3,23.9,27.4,28.6,20.4,27.4,28.6,151,393.6,0,0,NA,2012-06-11
12,CRDA1201,RICER048,1,1,2012-06-12,12,5,12,12.9,22.6,45.2,0.15,33.9,22.9,28.2,30,18.4,28.2,30,145,393.6,0,0,NA,2012-06-12
13,CRDA1201,RICER048,1,1,2012-06-13,13,7.9,12,12.9,23.6,47.2,0.11,35,24.3,29.4,31.2,19.5,29.4,31.2,200,393.6,0,0,NA,2012-06-13
14,CRDA1201,RICER048,1,1,2012-06-14,14,1.4,12,12.9,21.8,43.6,0.18,32.3,23.4,27.7,29.1,19.6,27.7,29.1,285,393.6,0,0,NA,2012-06-14
15,CRDA1201,RICER048,1,1,2012-06-15,15,0.9,12,12.9,22.7,45.4,0.15,33.5,24.1,28.6,30.1,20.1,28.6,30.1,228,393.8,0,0,NA,2012-06-15
16,CRDA1201,RICER048,1,1,2012-06-16,16,1.1,12,12.9,24.4,48.8,0.08,34,24,28.8,30.4,20,28.8,30.4,191,393.8,0,0,NA,2012-06-16
17,CRDA1201,RICER048,1,1,2012-06-17,17,1.4,12,12.9,20.9,41.8,0.21,33.6,24.9,29.1,30.5,20.7,29.1,30.5,146,393.8,0,0,NA,2012-06-17
18,CRDA1201,RICER048,1,1,2012-06-18,18,1.4,12,12.9,20.4,40.8,0.23,31.2,25,28,29,20.8,28,29,149,393.8,0,0,NA,2012-06-18
19,CRDA1201,RICER048,1,1,2012-06-19,19,3.7,12,12.9,25.2,50.4,0.05,36.3,24.8,30.3,32.2,19,30.3,32.2,242,393.8,0,0,NA,2012-06-19
20,CRDA1201,RICER048,1,1,2012-06-20,20,4.5,12,12.9,21.8,43.6,0.18,33,24.1,28.4,29.8,20.1,28.4,29.8,290,393.8,0,0,NA,2012-06-20
21,CRDA1201,RICER048,1,1,2012-06-21,21,3.4,12,12.9,16.9,33.8,0.36,30.1,24.6,27.2,28.1,22.1,27.2,28.1,255,393.8,0,0,NA,2012-06-21
22,CRDA1201,RICER048,1,1,2012-06-22,22,1.8,12,12.9,24.4,48.8,0.08,34,23.7,28.6,30.3,18.9,28.6,30.3,105,393.8,0,0,NA,2012-06-22
23,CRDA1201,RICER048,1,1,2012-06-23,23,5.1,12,12.9,23.5,47,0.12,33.8,23.9,28.6,30.2,19.2,28.6,30.2,192,393.8,0,0,NA,2012-06-23
24,CRDA1201,RICER048,1,1,2012-06-24,24,56.4,12,12.9,21,42,0.21,30.7,24.2,27.3,28.4,21.7,27.3,28.4,235,393.8,0,0,NA,2012-06-24
25,CRDA1201,RICER048,1,1,2012-06-25,25,17.9,12,12.9,17.2,34.4,0.35,28.8,24.5,26.6,27.3,22.8,26.6,27.3,262,393.8,0,0,NA,2012-06-25
26,CRDA1201,RICER048,1,1,2012-06-26,26,36.3,12,12.9,24.1,48.2,0.09,30,23.5,26.6,27.7,21.2,26.6,27.7,234,393.8,0,0,NA,2012-06-26
27,CRDA1201,RICER048,1,1,2012-06-27,27,23,12,12.9,19.9,39.8,0.25,29.4,23.9,26.5,27.4,21.8,26.5,27.4,171,393.8,0,0,NA,2012-06-27
28,CRDA1201,RICER048,1,1,2012-06-28,28,39.3,12,12.9,23.2,46.4,0.13,29.4,23.6,26.4,27.3,21.3,26.4,27.3,155,393.8,0,0,NA,2012-06-28
29,CRDA1201,RICER048,1,1,2012-06-29,29,8,12,12.9,20.8,41.6,0.22,32.5,23.4,27.8,29.2,20.4,27.8,29.2,152,393.8,0,0,NA,2012-06-29
30,CRDA1201,RICER048,1,1,2012-06-30,30,9.3,12,12.9,16.8,33.6,0.37,31.1,23.5,27.1,28.4,20.6,27.1,28.4,166,393.8,0,0,NA,2012-06-30
31,CRDA1201,RICER048,1,1,2012-07-01,31,7.9,12,12.9,14.5,29,0.46,29.6,24.4,26.9,27.7,22.1,26.9,27.7,126,393.8,0,0,NA,2012-07-01
32,CRDA1201,RICER048,1,1,2012-07-02,32,18.8,12,12.9,21.1,42.2,0.21,31.3,23.7,27.3,28.6,20.8,27.3,28.6,100,393.8,0,0,NA,2012-07-02
33,CRDA1201,RICER048,1,1,2012-07-03,33,24.8,12,12.9,18.2,36.4,0.32,30.8,24.1,27.3,28.4,21.3,27.3,28.4,92,393.8,0,0,NA,2012-07-03
34,CRDA1201,RICER048,1,1,2012-07-04,34,9.8,12,12.9,18.5,37,0.31,31.2,23.9,27.4,28.6,20.9,27.4,28.6,77,393.8,0,0,NA,2012-07-04
35,CRDA1201,RICER048,1,1,2012-07-05,35,4.8,12,12.9,21.7,43.4,0.19,31.5,23.8,27.5,28.7,21.1,27.5,28.7,221,393.8,0,0,NA,2012-07-05
36,CRDA1201,RICER048,1,1,2012-07-06,36,4.8,12,12.9,17.4,34.8,0.35,30.1,23.2,26.5,27.6,21.1,26.5,27.6,366,393.8,0,0,NA,2012-07-06
37,CRDA1201,RICER048,1,1,2012-07-07,37,6,12,12.9,20.6,41.2,0.23,29.9,23.4,26.5,27.6,21.5,26.5,27.6,320,393.8,0,0,NA,2012-07-07
38,CRDA1201,RICER048,1,1,2012-07-08,38,3.5,12,12.9,21,42,0.22,30.1,23.4,26.6,27.7,21.1,26.6,27.7,243,393.8,0,0,NA,2012-07-08
39,CRDA1201,RICER048,1,1,2012-07-09,39,1.5,12,12.9,22,44,0.18,31,23.1,26.9,28.2,20.1,26.9,28.2,122,393.8,0,0,NA,2012-07-09
40,CRDA1201,RICER048,1,1,2012-07-10,40,2,12,12.9,13,26,0.52,29.9,23.2,26.4,27.5,20.4,26.4,27.5,88,393.8,0,0,NA,2012-07-10
41,CRDA1201,RICER048,1,1,2012-07-11,41,1.6,12,12.9,23.3,46.6,0.13,32.1,23.8,27.8,29.1,20.8,27.8,29.1,166,393.8,0,0,NA,2012-07-11
42,CRDA1201,RICER048,1,1,2012-07-12,42,3.2,12,12.9,21.3,42.6,0.21,31,24.2,27.5,28.6,22.1,27.5,28.6,345,393.8,0,0,NA,2012-07-12
43,CRDA1201,RICER048,1,1,2012-07-13,43,2.3,12,12.9,15.2,30.4,0.44,29.5,24.2,26.7,27.6,22.2,26.7,27.6,222,393.8,0,0,NA,2012-07-13
44,CRDA1201,RICER048,1,1,2012-07-14,44,13.1,12,12.9,20.5,41,0.24,28.4,22.7,25.4,26.4,21.2,25.4,26.4,305,393.8,0,0,NA,2012-07-14
45,CRDA1201,RICER048,1,1,2012-07-15,45,12.2,12,12.9,19.9,39.8,0.26,29.2,23.3,26.1,27.1,21.5,26.1,27.1,208,394.1,0,0,NA,2012-07-15
46,CRDA1201,RICER048,1,1,2012-07-16,46,18.8,12,12.9,12.8,25.6,0.53,28.6,24.2,26.3,27,22.1,26.3,27,67,394.1,0,0,NA,2012-07-16
47,CRDA1201,RICER048,1,1,2012-07-17,47,14.3,12,12.9,19.1,38.2,0.29,29.6,22.8,26.1,27.2,20.5,26.1,27.2,159,394.1,0,0,NA,2012-07-17
48,CRDA1201,RICER048,1,1,2012-07-18,48,8.2,12,12.9,17.5,35,0.35,28.7,23.1,25.8,26.7,21,25.8,26.7,190,394.1,0,0,NA,2012-07-18
49,CRDA1201,RICER048,1,1,2012-07-19,49,4.3,12,12.9,19.9,39.8,0.27,30.4,22.5,26.3,27.6,20.1,26.3,27.6,138,394.1,0,0,NA,2012-07-19
50,CRDA1201,RICER048,1,1,2012-07-20,50,4.8,12,12.9,20.4,40.8,0.25,28.9,23.3,26,26.9,21.4,26,26.9,135,394.1,0,0,NA,2012-07-20
51,CRDA1201,RICER048,1,1,2012-07-21,51,7.1,12,12.9,21,42,0.23,30.7,23.1,26.7,28,20.7,26.7,28,273,394.1,0,0,NA,2012-07-21
52,CRDA1201,RICER048,1,1,2012-07-22,52,3.7,12,12.9,18.1,36.2,0.33,29.7,22.8,26.1,27.2,20.9,26.1,27.2,271,394.1,0,0,NA,2012-07-22
53,CRDA1201,RICER048,1,1,2012-07-23,53,2.2,12,12.9,19.8,39.6,0.27,29.2,23.4,26.2,27.1,21.4,26.2,27.1,213,394.1,0,0,NA,2012-07-23
54,CRDA1201,RICER048,1,1,2012-07-24,54,6.6,12,12.9,16.5,33,0.4,30.2,23.4,26.7,27.8,20.9,26.7,27.8,111,394.1,0,0,NA,2012-07-24
55,CRDA1201,RICER048,1,1,2012-07-25,55,4.4,12,12.9,14.3,28.6,0.48,30.8,23.1,26.8,28,20.4,26.8,28,114,394.1,0,0,NA,2012-07-25
56,CRDA1201,RICER048,1,1,2012-07-26,56,2.9,12,12.8,23.9,47.8,0.13,31.2,23.7,27.3,28.5,20.9,27.3,28.5,136,394.1,0,0,NA,2012-07-26
57,CRDA1201,RICER048,1,1,2012-07-27,57,2.6,12,12.8,24.1,48.2,0.12,32.4,23.5,27.8,29.2,20.4,27.8,29.2,127,394.1,0,0,NA,2012-07-27
58,CRDA1201,RICER048,1,1,2012-07-28,58,5,12,12.8,21.5,43,0.22,30,22.5,26.1,27.3,20.4,26.1,27.3,284,394.1,0,0,NA,2012-07-28
59,CRDA1201,RICER048,1,1,2012-07-29,59,8.8,12,12.8,15.8,31.6,0.42,28.8,23.4,26,26.9,21.6,26,26.9,238,394.1,0,0,NA,2012-07-29
