0.00140557820305842,0.00140557820305842,0.00140557820305842,0.00140557820305842,0.00140557820305842,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.00140557820305842,0.00140557820305842,0.00140557820305842,0.00140557820305842,0.00140557820305842,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.0999333753880567,0.0999333753880567,0.0999333753880567,0.0999333753880567,0.0999333753880567,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.000385126735262253,0.000385126735262253,0.000385126735262253,0.000385126735262253,0.000385126735262253,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.000266282823926267,0.000266282823926267,0.000266282823926267,0.000266282823926267,0.000266282823926267,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0,0,0,0,1
0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0,0,0,0,1
0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0,0,0,0,1
0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0.0330612045704188,0,0,0,0,1
