DB,Cultivar,GY_Kg_H_,Year,LON,LAT,LONs,LATs,ELEV,sand,silt,clay,BULK,COARSE,OrganicCarbon,N,PH,No_DB1,Region,SLLL,SDUL,SSAT,SSKS
DB2,N4,3500,2021,-14.42,14.42,-14.41972222,14.41972222,0.033811728,0.633523376,0.19230238,0.1742925,1.600495064,0.03710577,0.592623368,5.345477715,6.167209498,27,5,0.111350161,0.198300603,0.402610088,2.59
DB2,N4,3000,2021,-14.61,14.4,-14.60972222,14.39972222,0.035216049,0.629345272,0.180983112,0.189809381,1.595028607,0.038915556,0.654565185,4.364664304,6.203450896,28,5,0.121332255,0.208745598,0.404182407,2.59
DB2,N4,2000,2021,-14.32,14.49,-14.31972222,14.48972222,0.049018519,0.647796106,0.162348191,0.189856496,1.579058963,0.054960071,0.554407654,5.309347866,6.406946052,29,5,0.119915349,0.202967109,0.39954978,2.59
DB2,N4,2000,2021,-12.24,14.47,-12.23972222,14.46972222,0.039388889,0.302798347,0.285571096,0.411561553,1.596643257,0.039047491,0.522214826,4.910154298,6.659226067,30,5,0.247422266,0.373151391,0.456920872,0.06
DB2,N4,221.544,2017,-15.97,12.8,-15.96972222,12.79972222,0.01579321,0.506442911,0.283529424,0.210026373,1.432717555,0.106321105,1.418467832,9.840107936,5.319874967,31,2,0.142468614,0.258799068,0.442465544,1.32
DB2,N4,1013.128,2017,-15.85,12.7,-15.84972222,12.69972222,0.011398148,0.547782372,0.263541266,0.188629843,1.23597507,0.105238722,1.808643043,9.790465243,5.436589063,32,2,0.135381343,0.248612152,0.455855653,2.59
DB2,N4,1009.89,2017,-15.93,12.63,-15.92972222,12.62972222,0.007308642,0.349447057,0.197134133,0.161869986,0.913457427,0.060771571,1.061587001,8.356274073,3.69749932,33,2,0.111777112,0.264678259,0.442155,1.32
DB2,N4,445,2017,-15.82,12.7,-15.81972222,12.69972222,0.017188272,0.590495138,0.237782831,0.171719247,1.363864732,0.110975265,1.539076678,10.60143977,5.566000525,34,2,0.122659764,0.226254935,0.442985889,2.59
DB2,N4,183.5,2017,-15.8,12.73,-15.79972222,12.72972222,0.015910494,0.551345606,0.259095915,0.189592345,1.431597513,0.117782752,1.8155992,11.54553156,5.477814574,35,2,0.136016086,0.24848023,0.455580523,2.59
DB2,N4,377,2017,-15.81,12.73,-15.80972222,12.72972222,0.014685185,0.527816072,0.273681365,0.198507736,1.424715777,0.133092051,2.427490944,12.23324599,5.41707,36,2,0.148065978,0.269700418,0.481870873,0.43
DB3,N4,3362,2015,-15.788,13.758,-15.78972222,13.75972222,0.01457716,0.792199815,0.093923562,0.113841758,1.612401042,0.049713511,0.657200751,5.579815048,5.86754003,37,6,0.074788275,0.133861743,0.409722326,2.59
DB3,N4,400,2015,-15.449,13.928,-15.44972222,13.92972222,0.009055556,0.544963792,0.26063524,0.194389537,1.635984765,0.080448213,0.707426725,6.812270196,6.268345807,38,7,0.125160119,0.229491851,0.411511195,2.59
DB3,N4,1000,2015,-16.3,13.902,-16.29972222,13.89972222,0.019984568,0.810537791,0.073373368,0.115974412,1.646381348,0.041658879,0.73080334,5.676154544,5.390275658,39,8,0.077082035,0.132901664,0.411965557,2.59
DB3,N4,1100,2015,-14.859,14.196,-14.85972222,14.19972222,0.050691358,0.664106319,0.177547348,0.158327285,1.614084828,0.069448647,0.592602982,5.295239484,6.248801939,40,7,0.101659714,0.183374398,0.402576367,2.59
DB3,N4,100,2015,-15.178,14.252,-15.17972222,14.24972222,0.022271605,0.697550804,0.168060998,0.134304303,1.610262215,0.041652513,0.567009579,4.246511055,6.244795445,41,7,0.086687735,0.162880772,0.403323084,2.59
DB3,N4,370,2016,-16.462,13.837,-16.45972222,13.83972222,0.004151235,0.446982508,0.132430642,0.156037354,0.651272155,0.091735493,2.620406112,10.28619535,4.29557927,42,8,0.127035278,0.273829356,0.511242348,1.32
DB3,N4,700,2016,-15.875,13.781,-15.87972222,13.77972222,0.040842593,0.8699885,0.05156352,0.078442931,1.712465992,0.076692166,0.554915569,5.524802772,5.518129673,43,6,0.050529343,0.096206679,0.416857439,6.11
DB3,N4,430,2016,-16.576,14.077,-16.57972222,14.07972222,0.001787037,0.383357514,0.383357514,0.151559589,0.837961204,0.08991397,2.416397617,11.19604607,3.799854296,44,8,0.121673229,0.281731163,0.510272066,1.32
