*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2012 152     0   0.000    0.00       0    0.00
 2012 153     1   0.000    0.00       0    0.00
 2012 154     2   0.000    0.00       0    0.00
 2012 155     3   0.000    0.00       0    0.00
 2012 156     4   0.000    0.00       0    0.00
 2012 157     5   0.000    0.00       0    0.00
 2012 158     6   0.000    0.00       0    0.00
 2012 159     7   0.000    0.00       0    0.00
 2012 160     8   0.000    0.00       0    0.00
 2012 161     9   0.000    0.00       0    0.00
 2012 162    10   0.000    0.00       0    0.00
 2012 163    11   0.000    0.00       0    0.00
 2012 164    12   0.000    0.00       0    0.00
 2012 165    13   0.000    0.00       0    0.00
 2012 166    14   0.000    0.00       0    0.00
 2012 167    15   0.000    0.00       0    0.00
 2012 168    16   0.000    0.00       0    0.00
 2012 169    17   0.000    0.00       0    0.00
 2012 170    18   0.000    0.00       0    0.00
 2012 171    19   0.000    0.00       0    0.00
 2012 172    20   0.000    0.00       0    0.00
 2012 173    21   0.000    0.00       0    0.00
 2012 174    22   0.000    0.00       0    0.00
 2012 175    23   0.000    0.00       0    0.00
 2012 176    24   0.000    0.00       0    0.00
 2012 177    25   0.000    0.00       0    0.00
 2012 178    26   0.000    0.00       0    0.00
 2012 179    27   0.000    0.00       0    0.00
 2012 180    28   0.000    0.00       0    0.00
 2012 181    29   0.000    0.00       0    0.00
 2012 182    30   0.000    0.00       0    0.00
 2012 183    31   0.000    0.00       0    0.00
 2012 184    32   0.000    0.00       0    0.00
 2012 185    33   0.000    0.00       0    0.00
 2012 186    34   0.000    0.00       0    0.00
 2012 187    35   0.000    0.00       0    0.00
 2012 188    36   0.000    0.00       0    0.00
 2012 189    37   0.000    0.00       0    0.00
 2012 190    38   0.000    0.00       0    0.00
 2012 191    39   0.000    0.00       0    0.00
 2012 192    40   0.000    0.00       0    0.00
 2012 193    41   0.000    0.00       0    0.00
 2012 194    42   0.000    0.00       0    0.00
 2012 195    43   0.000    0.00       0    0.00
 2012 196    44   0.000    0.00       0    0.00
 2012 197    45   0.000    0.00       0    0.00
 2012 198    46   0.000    0.00       0    0.00
 2012 199    47   0.000    0.00       0    0.00
 2012 200    48   0.000    0.00       0    0.00
