*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2012 256   104   26105   0.835   12518   0.399   26111   0.836   12522   0.399     70085       5   70080    7650   15331    9389    9394   28316       1     200      49     104      10      10      27    6451    1850    3723     176     175     527   63415    5749   11500    9199    9207   27759       4      14       2       3       3       2       3       4       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     540
 2012 257   105   26101   0.835   12518   0.399   26108   0.835   12522   0.399     70081       5   70076    7649   15329    9389    9394   28315       1     199      49     104      10      10      27    6448    1849    3722     176     175     527   63414    5749   11500    9199    9207   27759       5      14       2       3       3       2       3       4       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     544
 2012 258   106   26098   0.835   12518   0.399   26105   0.835   12521   0.399     70078       6   70072    7648   15327    9389    9393   28315       1     198      49     103      10      10      27    6446    1848    3720     176     175     526   63413    5749   11500    9199    9206   27759       5      14       2       3       3       2       3       4       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     548
 2012 259   107   26095   0.835   12517   0.399   26102   0.835   12521   0.399     70074       6   70068    7647   15324    9389    9393   28314       1     198      49     103      10       9      27    6443    1847    3718     176     175     526   63413    5749   11500    9199    9206   27758       5      14       2       3       3       2       3       4       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     552
 2012 260   108   26092   0.835   12517   0.399   26099   0.835   12521   0.399     70070       7   70064    7646   15322    9388    9393   28314       1     197      49     102      10       9      26    6441    1847    3717     176     175     526   63412    5749   11500    9199    9206   27758       6      14       2       3       3       2       3       5       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     556
 2012 261   109   26089   0.835   12517   0.399   26096   0.835   12521   0.399     70067       7   70060    7645   15320    9388    9393   28313       1     196      48     102      10       9      26    6438    1846    3715     176     175     526   63411    5749   11500    9199    9206   27758       6      14       2       3       3       2       3       5       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     560
 2012 262   110   26086   0.835   12517   0.399   26092   0.835   12520   0.399     70063       8   70056    7644   15318    9388    9393   28313       1     196      48     101      10       9      26    6436    1845    3714     176     175     526   63410    5749   11499    9199    9206   27758       7      14       2       3       3       2       3       5       0       0       0       0       0       0       1      14       2       3       3       2       3       0       1     564
 2012 263   111   26083   0.835   12516   0.399   26090   0.835   12520   0.399     70060       8   70052    7643   15316    9388    9393   28313       1     195      48     101      10       9      26    6433    1844    3712     176     175     526   63410    5749   11499    9198    9206   27757       7      14       2       3       3       2       3       6       0       0       0       0       0       0       1      14       2       3       3       2       3       0       2     568
 2012 264   112   26081   0.835   12516   0.399   26087   0.835   12520   0.399     70057       9   70049    7642   15314    9388    9392   28312       1     194      48     101      10       9      26    6431    1844    3711     176     175     526   63409    5749   11499    9198    9206   27757       7      14       2       3       3       2       3       6       0       0       0       0       0       0       1      14       2       3       3       2       3       0       2     571
 2012 265   113   26078   0.834   12516   0.399   26085   0.835   12520   0.399     70054       9   70045    7641   15313    9387    9392   28312       1     194      48     100      10       9      26    6429    1843    3710     176     175     526   63408    5749   11499    9198    9206   27757       8      14       2       3       3       2       3       6       0       0       0       0       0       0       1      14       2       3       3       2       3       0       2     575
 2012 266   114   26076   0.834   12516   0.399   26082   0.835   12520   0.399     70052      10   70042    7641   15311    9387    9392   28311       1     193      48     100      10       9      26    6427    1842    3708     176     175     525   63408    5749   11499    9198    9206   27756       8      14       2       3       3       2       3       7       0       0       0       0       0       0       2      14       2       3       3       2       3       0       2     578
 2012 267   115   26073   0.834   12516   0.399   26079   0.835   12519   0.399     70049      10   70038    7640   15309    9387    9392   28311       2     193      47     100      10       9      26    6425    1842    3707     176     175     525   63407    5749   11499    9198    9206   27756       9      14       2       3       3       2       3       7       0       0       0       0       0       0       2      14       2       3       3       2       3       0       2     582
 2012 268   116   26070   0.834   12515   0.399   26077   0.834   12519   0.399     70046      11   70035    7639   15307    9387    9392   28310       2     192      47      99      10       9      26    6423    1841    3706     176     175     525   63406    5749   11499    9198    9205   27756       9      14       2       3       3       2       3       7       0       0       0       0       0       0       2      14       2       3       3       2       3       0       2     585
 2012 269   117   26068   0.834   12515   0.399   26074   0.834   12519   0.399     70043      12   70032    7638   15306    9387    9392   28310       2     192      47      99      10       9      26    6420    1840    3704     176     175     525   63406    5748   11499    9198    9205   27755      10      14       2       3       3       2       3       8       0       0       0       0       0       0       2      14       2       3       3       2       3       0       2     589
 2012 270   118   26065   0.834   12515   0.399   26072   0.834   12519   0.399     70040      12   70028    7637   15304    9387    9391   28309       2     191      47      99      10       9      26    6418    1840    3703     176     175     525   63405    5748   11499    9198    9205   27755      10      14       2       3       3       2       3       8       0       0       0       0       0       0       2      14       2       3       3       2       3       0       3     592
 2012 271   119   26062   0.834   12515   0.399   26069   0.834   12518   0.399     70037      13   70024    7636   15302    9386    9391   28309       2     190      47      98      10       9      26    6416    1839    3702     176     175     525   63404    5748   11498    9198    9205   27755      11      14       2       3       3       2       3       9       0       0       0       0       0       0       2      14       2       3       3       2       3       0       3     596
 2012 272   120   26060   0.834   12514   0.399   26066   0.834   12518   0.399     70034      13   70021    7635   15300    9386    9391   28308       2     190      47      98      10       9      26    6413    1838    3700     175     175     525   63404    5748   11498    9197    9205   27754      11      14       2       3       3       2       3       9       0       0       0       0       0       0       2      14       2       3       3       2       3       0       3     599
 2012 273   121   26057   0.834   12514   0.399   26063   0.834   12518   0.399     70031      14   70017    7634   15298    9386    9391   28308       2     189      47      98      10       9      26    6411    1838    3699     175     175     525   63403    5748   11498    9197    9205   27754      12      14       2       3       3       2       3       9       0       0       0       0       0       0       2      14       2       3       3       2       3       0       3     603
 2012 274   122   26054   0.834   12514   0.399   26061   0.834   12518   0.399     70028      15   70013    7634   15296    9386    9391   28307       2     189      46      97      10       9      26    6409    1837    3697     175     175     524   63402    5748   11498    9197    9205   27754      12      14       2       3       3       2       3      10       0       0       0       0       0       0       2      14       2       3       3       2       3       0       3     607
 2012 275   123   26052   0.834   12514   0.399   26058   0.834   12518   0.399     70025      16   70010    7633   15294    9386    9391   28307       3     188      46      97      10       9      26    6406    1836    3696     175     175     524   63401    5748   11498    9197    9205   27753      13      14       2       3       3       2       3      10       0       0       0       0       0       0       3      14       2       3       3       2       3       0       4     610
 2012 276   124   26049   0.834   12514   0.399   26055   0.834   12517   0.399     70022      16   70006    7632   15292    9386    9390   28306       3     188      46      97      10       9      26    6404    1836    3694     175     175     524   63401    5748   11498    9197    9205   27753      13      14       2       3       3       2       3      11       0       0       0       0       0       0       3      14       2       3       3       2       3       0       4     614
 2012 277   125   26046   0.833   12513   0.399   26053   0.834   12517   0.399     70019      17   70002    7631   15290    9385    9390   28306       3     187      46      96      10       9      26    6401    1835    3693     175     174     524   63400    5748   11498    9197    9204   27753      14      14       2       3       3       2       3      11       0       0       0       0       0       0       3      14       2       3       3       2       3       0       4     618
 2012 278   126   26043   0.833   12513   0.399   26050   0.834   12517   0.399     70016      18   69999    7630   15288    9385    9390   28305       3     187      46      96      10       9      26    6399    1834    3691     175     174     524   63399    5748   11498    9197    9204   27752      15      14       2       3       3       2       3      12       0       0       0       0       0       0       3      14       2       3       3       2       3       0       5     622
 2012 279   127   26041   0.833   12513   0.398   26047   0.834   12517   0.399     70013      19   69995    7629   15286    9385    9390   28305       3     186      46      96      10       9      26    6397    1833    3690     175     174     524   63398    5748   11497    9197    9204   27752      15      14       2       3       3       2       3      12       0       0       0       0       0       0       3      14       2       3       3       2       3       0       5     625
 2012 280   128   26038   0.833   12513   0.398   26044   0.833   12516   0.399     70010      19   69991    7628   15284    9385    9390   28304       4     185      46      95      10       9      26    6394    1833    3688     175     174     524   63398    5748   11497    9197    9204   27752      16      14       2       3       3       2       3      13       0       0       0       0       0       0       3      14       2       3       3       2       3       0       5     629
 2012 281   129   26035   0.833   12512   0.398   26041   0.833   12516   0.399     70007      20   69987    7627   15282    9385    9389   28304       4     185      46      95      10       9      26    6391    1832    3686     175     174     524   63397    5748   11497    9196    9204   27751      16      14       2       3       3       2       3      13       0       0       0       0       0       0       3      14       2       3       3       2       3       0       5     633
 2012 282   130   26032   0.833   12512   0.398   26038   0.833   12516   0.399     70004      21   69983    7626   15280    9384    9389   28303       4     184      45      95      10       9      26    6389    1831    3685     175     174     523   63396    5748   11497    9196    9204   27751      17      14       2       3       3       2       3      13       0       0       0       0       0       0       3      14       2       3       3       2       3       0       6     637
 2012 283   131   26029   0.833   12512   0.398   26036   0.833   12516   0.399     70001      22   69979    7625   15278    9384    9389   28303       4     184      45      94      10       9      26    6386    1830    3683     175     174     523   63395    5748   11497    9196    9204   27751      18      14       2       3       3       2       3      14       0       0       0       0       0       0       4      14       2       3       3       2       3       0       6     641
 2012 284   132   26027   0.833   12512   0.398   26033   0.833   12515   0.399     69999      23   69976    7624   15276    9384    9389   28302       4     183      45      94      10       9      26    6384    1830    3682     175     174     523   63395    5748   11497    9196    9204   27750      18      14       2       3       3       2       3      15       0       0       0       0       0       0       4      14       2       3       3       2       3       0       7     645
 2012 285   133   26024   0.833   12511   0.398   26031   0.833   12515   0.399     69995      22   69972    7624   15274    9384    9389   28302       5     183      45      94      10       9      26    6382    1829    3680     175     174     523   63394    5748   11497    9196    9204   27750      18      14       2       3       3       2       3      14       0       0       0       0       0       0       4      14       2       3       3       2       3       0       7     648
 2012 286   134   26022   0.833   12511   0.398   26028   0.833   12515   0.399     69991      22   69969    7623   15273    9384    9389   28301       5     182      45      94       9       9      25    6380    1829    3679     175     174     523   63393    5748   11497    9196    9203   27750      17      14       2       3       3       2       3      14       0       0       0       0       0       0       4      14       2       3       3       2       3       0       7     651
