*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  DEC 30, 2025 00:11:04

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2012 204    52       0   13501   70288       0   70288   70271    17.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 205    53       0   13499   70283       0   70283   70266    17.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 206    54       0   13497   70279       0   70279   70261    17.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 207    55       0   13495   70274       0   70274   70257    16.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 208    56       0   13493   70269       0   70269   70252    16.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 209    57       0   13491   70264       0   70264   70248    16.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 210    58       0   13489   70260       0   70260   70243    16.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 211    59       0   13487   70255       0   70255   70238    16.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 212    60       0   13485   70250       0   70250   70234    16.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 213    61       0   13483   70245       0   70245   70229    16.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 214    62       0   13480   70240       0   70240   70224    16.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 215    63       0   13479   70236       0   70236   70220    16.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 216    64       0   13477   70232       0   70232   70216    15.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 217    65       0   13475   70228       0   70228   70212    15.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 218    66       0   13473   70224       0   70224   70208    15.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 219    67       0   13471   70220       0   70220   70204    15.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 220    68       0   13469   70216       0   70216   70200    15.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 221    69       0   13467   70211       0   70211   70196    15.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 222    70       0   13465   70207       0   70207   70192    15.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 223    71       0   13464   70203       0   70203   70188    15.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 224    72       0   13462   70199       0   70199   70184    15.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 225    73       0   13460   70195       0   70195   70180    15.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 226    74       0   13458   70191       0   70191   70176    15.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 227    75       0   13457   70188       0   70188   70172    15.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 228    76       0   13455   70184       0   70184   70169    15.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 229    77       0   13453   70180       0   70180   70165    15.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 230    78       0   13451   70176       0   70176   70161    15.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 231    79       0   13450   70173       0   70172   70158    14.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 232    80       0   13448   70169       0   70169   70154    14.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 233    81       0   13446   70165       0   70165   70150    14.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 234    82       0   13445   70162       0   70161   70146    14.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 235    83       0   13443   70158       0   70158   70143    14.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 236    84       0   13441   70154       0   70154   70139    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 237    85       0   13440   70151       0   70150   70136    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 238    86       0   13438   70147       1   70147   70132    14.7    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 239    87       0   13436   70144       1   70143   70129    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 240    88       0   13435   70140       1   70140   70125    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 241    89       0   13433   70137       1   70136   70121    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 242    90       0   13431   70133       1   70132   70117    14.6    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 243    91       0   13430   70129       1   70128   70114    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 244    92       0   13428   70126       1   70124   70110    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 245    93       0   13426   70122       2   70120   70106    14.5    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 246    94       0   13424   70118       2   70116   70102    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 247    95       0   13422   70115       2   70113   70098    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 248    96       0   13421   70112       2   70109   70095    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 249    97       0   13419   70108       3   70106   70091    14.4    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 250    98       0   13418   70105       3   70102   70088    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 251    99       0   13416   70102       3   70099   70085    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 252   100       0   13415   70099       4   70096   70081    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 253   101       0   13413   70096       4   70092   70077    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 254   102       0   13411   70092       4   70088   70074    14.3    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 255   103       0   13409   70088       5   70084   70070    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 256   104       0   13408   70085       5   70080   70065    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 257   105       0   13406   70081       5   70076   70061    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 258   106       0   13404   70078       6   70072   70058    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 259   107       0   13402   70074       6   70068   70053    14.2    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 260   108       0   13400   70070       7   70064   70049    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 261   109       0   13398   70067       7   70060   70046    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 262   110       0   13397   70063       8   70056   70042    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 263   111       0   13395   70060       8   70052   70038    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 264   112       0   13393   70057       9   70049   70035    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 265   113       0   13392   70054       9   70045   70031    14.1    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 266   114       0   13390   70052      10   70042   70028    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 267   115       0   13389   70049      10   70038   70024    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 268   116       0   13387   70046      11   70035   70021    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 269   117       0   13386   70043      12   70032   70018    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 270   118       0   13384   70040      12   70028   70014    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 271   119       0   13382   70037      13   70024   70010    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 272   120       0   13381   70034      13   70021   70007    14.0    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 273   121       0   13379   70031      14   70017   70003    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 274   122       0   13377   70028      15   70013   69999    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 275   123       0   13376   70025      16   70010   69996    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 276   124       0   13374   70022      16   70006   69992    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 277   125       0   13372   70019      17   70002   69988    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 278   126       0   13371   70016      18   69999   69985    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 279   127       0   13369   70013      19   69995   69981    13.9    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 280   128       0   13367   70010      19   69991   69977    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 281   129       0   13365   70007      20   69987   69973    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 282   130       0   13364   70004      21   69983   69969    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 283   131       0   13362   70001      22   69979   69965    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 284   132       0   13360   69999      23   69976   69962    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 285   133       0   13359   69995      22   69972   69959    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
 2012 286   134       0   13357   69991      22   69969   69955    13.8    0.00     0.0     0.0    0.00     0.0     0.0    0.00
