*SOM C DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 22, 2025 15:19:20

*RUN   1        : F1 NE 4                   RICER048 CRDA1201    1
 MODEL          : RICER048 - Rice
 EXPERIMENT     : CRDA1201 WH ESSAI VARIETE DAROU PAKA 2012
 DATA PATH      :
 TREATMENT  1   : F1 NE 4                   RICER048
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Cumul.
!               <---- SOM C in top layers ----> <- SOM + LIT C in top layers -> <------------ Total Soil Organic Carbon (SOM + LIT) ------------> <--------- Active Soil Organic Carbon (SOM1) ---------> <---- Intermediate Soil Organic C (SOM2) -----> <------- Passive Soil Organic C (SOM3) -------> <------------------ Litter Carbon --------------------> <-------------- Metabolic Litter Carbon --------------> <------------- Structural Litter Carbon -------------->  Resid.  <-Accum. CO2->
!               20cm-kg  20cm-% 40cm-kg  40cm-% 20cm-kg  20cm-% 40cm-kg  40cm-%     Total Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 Surface    Soil     0-5    5-15   15-30   30-45  45-100 (kg/ha) Surface    Soil
@YEAR DOY   DAS  SCS20D  SC%20D  SCS40D  SC%40D  SLC20D  SL%20D  SLC40D  SL%40D      SOCD    SC0D    SCTD    SC1D    SC2D    SC3D    SC4D   SC5+D   S1C0D   S1CTD   S1C1D   S1C2D   S1C3D   S1C4D  S1C5+D   S2CTD   S2C1D   S2C2D   S2C3D   S2C4D  S2C5+D   S3CTD   S3C1D   S3C2D   S3C3D   S3C4D  S3C5+D    LC0D    LCTD    LC1D    LC2D    LC3D    LC4D   LC5+D   MEC0D   MECTD   MEC1D   MEC2D   MEC3D   MEC4D  MEC5+D   STC0D   STCTD   STC1D   STC2D   STC3D   STC4D  STC5+D    RESC   CO20C   CO2SC
 2012 165    13   46195   1.515   48017   1.590   46215   1.515   48028   1.590    262295       0  262295   11408   22801   36020   36023  156044       0    6692     276     542     851     850    4172  145296    5939   11875   18511   18518   90454  110263    5187   10373   16648   16648   61408       0      43       7      10      10       7      10       0      29       5       7       7       4       6       0      15       2       4       4       2       3       0       0    1650
 2012 166    14   46173   1.514   47997   1.589   46193   1.515   48008   1.590    262176       0  262176   11402   22789   36004   36008  155973       0    6626     273     536     843     842    4132  145246    5936   11870   18504   18512   90424  110263    5187   10373   16648   16648   61408       0      42       7      10      10       6       9       0      27       4       6       6       4       6       0      15       2       4       4       2       3       0       0    1769
 2012 167    15   46152   1.513   47979   1.589   46171   1.514   47989   1.589    262064       0  262064   11396   22778   35990   35994  155906       0    6564     270     530     835     835    4095  145197    5934   11865   18498   18506   90394  110263    5187   10373   16648   16648   61408       0      40       6       9       9       6       9       0      25       4       6       6       4       6       0      15       2       4       4       2       3       0       0    1881
 2012 168    16   46132   1.513   47961   1.588   46149   1.513   47971   1.588    261957       0  261957   11391   22767   35975   35981  155843       0    6505     267     524     827     828    4060  145150    5931   11861   18492   18500   90366  110263    5187   10373   16648   16648   61408       0      38       6       9       9       6       8       0      23       4       5       6       4       5       0      15       2       4       4       2       3       0       0    1988
 2012 169    17   46111   1.512   47944   1.588   46128   1.512   47953   1.588    261855       0  261855   11385   22756   35961   35969  155783       0    6450     264     519     820     821    4027  145105    5929   11856   18485   18495   90339  110263    5187   10373   16648   16648   61409       0      37       6       8       9       6       8       0      22       3       5       5       3       5       0      15       2       4       4       2       3       0       0    2091
 2012 170    18   46092   1.511   47927   1.587   46108   1.512   47936   1.587    261756       0  261756   11380   22746   35946   35958  155726       0    6397     261     513     812     815    3996  145060    5927   11852   18479   18489   90314  110263    5187   10373   16648   16648   61409       0      36       5       8       8       6       8       0      21       3       5       5       3       5       0      15       2       4       4       2       3       0       0    2189
 2012 171    19   46072   1.511   47909   1.586   46088   1.511   47918   1.587    261661       0  261661   11375   22736   35931   35946  155672       0    6346     259     508     804     809    3967  145017    5925   11847   18472   18484   90289  110263    5187   10373   16647   16648   61409       0      34       5       8       8       5       8       0      19       3       4       5       3       4       0      15       2       4       4       2       3       0       0    2285
 2012 172    20   46053   1.510   47892   1.586   46068   1.510   47901   1.586    261568       0  261568   11370   22726   35917   35935  155621       0    6297     256     503     796     803    3939  144974    5922   11842   18465   18479   90265  110263    5187   10373   16647   16647   61409       0      33       5       8       8       5       8       0      18       3       4       4       3       4       0      15       2       4       4       2       3       0       0    2377
 2012 173    21   46034   1.509   47876   1.585   46049   1.510   47884   1.586    261480       0  261480   11365   22716   35903   35924  155573       0    6251     253     498     789     797    3913  144933    5920   11838   18459   18474   90243  110264    5187   10373   16647   16647   61409       0      32       5       7       8       5       7       0      17       3       4       4       3       4       0      15       2       4       4       2       3       0       0    2465
 2012 174    22   46016   1.509   47860   1.585   46030   1.509   47868   1.585    261396       0  261396   11360   22707   35889   35913  155526       0    6207     251     493     782     792    3889  144894    5918   11834   18452   18469   90221  110264    5187   10373   16647   16647   61409       0      31       5       7       7       5       7       0      16       2       4       4       3       4       0      15       2       4       4       2       3       0       0    2550
 2012 175    23   45999   1.508   47845   1.584   46013   1.509   47853   1.585    261315       0  261315   11356   22698   35876   35903  155481       0    6165     249     489     776     787    3865  144855    5916   11830   18446   18464   90199  110264    5186   10373   16647   16647   61409       0      30       5       7       7       5       7       0      16       2       3       4       3       4       0      15       2       4       4       2       3       0       0    2630
 2012 176    24   45981   1.508   47830   1.584   45994   1.508   47838   1.584    261233       0  261233   11351   22689   35864   35894  155436       0    6124     246     484     770     782    3842  144816    5914   11825   18440   18460   90178  110264    5186   10373   16647   16647   61409       0      30       4       7       7       5       7       0      15       2       3       3       2       4       0      15       2       4       4       2       3       0       0    2712
 2012 177    25   45963   1.507   47815   1.583   45976   1.507   47823   1.584    261152       0  261152   11346   22679   35850   35884  155393       0    6083     244     479     763     777    3819  144777    5912   11821   18433   18455   90157  110264    5186   10373   16647   16647   61410       0      29       4       6       7       5       7       0      14       2       3       3       2       3       0      15       2       4       4       2       3       0       0    2793
 2012 178    26   45947   1.506   47797   1.583   45959   1.507   47805   1.583    261071       0  261071   11342   22671   35837   35870  155350       0    6042     242     476     756     770    3798  144738    5910   11817   18427   18448   90136  110264    5186   10373   16647   16647   61410       0      28       4       6       7       4       7       0      13       2       3       3       2       3       0      15       2       4       4       2       3       0       0    2874
 2012 179    27   45929   1.506   47780   1.582   45942   1.506   47787   1.582    260989       0  260989   11338   22663   35824   35857  155307       0    6001     240     471     750     764    3776  144697    5907   11812   18420   18442   90115  110264    5186   10373   16647   16647   61410       0      27       4       6       6       4       6       0      12       2       3       3       2       3       0      15       2       4       4       2       3       0       0    2956
 2012 180    28   45913   1.505   47764   1.582   45925   1.506   47771   1.582    260908       0  260908   11333   22654   35811   35845  155265       0    5961     238     467     744     758    3754  144657    5905   11808   18414   18436   90094  110263    5186   10373   16647   16647   61410       0      27       4       6       6       4       6       0      12       2       2       3       2       3       0      15       2       4       4       2       3       0       0    3037
 2012 181    29   45896   1.505   47747   1.581   45908   1.505   47754   1.581    260828       0  260828   11330   22646   35798   35832  155222       0    5922     236     463     738     751    3733  144617    5903   11804   18407   18429   90073  110263    5186   10373   16647   16647   61410       0      26       4       6       6       4       6       0      11       2       2       2       2       3       0      15       2       4       4       2       3       0       0    3117
